Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Links,Condition,Service Lines,Facilities
House,Stone,1800 sq.m.,2,3,1,No Renovation,3000 sq.m.,"3-րդ փողոց, Գեղաշեն","$45,000",USD,"A two-storey private house is for sale in Geghashen village, Kotayk region, it is located on the central street. It is gasified and has permanent water. Living room. It has a corridor, a balcony leading to the outside. There are shops near the house, it is very close to the school.Land near the house for sale, with fruit trees. The total land is 3000 m. The garden has more than 20 walnuts.To see and for details call the mentioned phone number... PRICE NEGOTIABLEHe will be exchanged with the quartet...Translated from Armenian",Dec-12-2022_20-44,Not available,Not available,,,,,,,,https://list.am/en/item/17101874,House is Unfinished,"Electricity, water supply, natural gas, sewerage",
House,Panels,80 sq.m.,2,3,1,Major Renovation,500 sq.m.,"Թոմաս Էդիսոն փողոց, Քանաքեռավան","$95,000",USD,The house is located on the 5th street of Kanakeravan. The 1st floor is capitally renovated. The windows of the 2nd floor are installed. Total 500 square meters of land with fruit trees. For sale together with kitchen furniture. In addition to the gas stove and refrigerator. The house is located on Kanakeravan 5th street. 1st and 2nd floors together 160 sq. M.Translated from Armenian,Dec-12-2022_20-44,Partial Furniture,Not available,,,,,,,,https://list.am/en/item/16067204,House is Finished,,
Country House,Stone,195 sq.m.,2,3,1,Old Renovation,6500 sq.m.,Kotayk › Getamej,"$220,000",USD,"A private house for sale in the village of Getamej, Kotayk region, 6500 square meters (near Ptghni) 10 kilometers from Yerevan. The entire area is fenced with trellises and poplars. It has a large orchard. There is drinking and irrigation water, three-phase electricity, it is gasified. There are two swimming pools, a playground built for children. The price is negotiable. A partial sale is possible: The house with adjacent buildings on 3000 square meters of land for $160,000. It is possible to exchange land in Avan, Davitashen, Arabkir communities for an additional fee.Translated from Armenian",Dec-12-2022_20-44,,,,,,,,,,https://list.am/en/item/17460357,,,
House,Stone,110 sq.m.,1,4,1,Euro Renovation,1700 sq.m.,Kotayk › Mrgashen,"$130,000",USD,"4-room private house is for sale in Mrgashen community of Kotayk region. The house is fully repaired, provided with water and electricity. There is a natural water heater. The house has an orchard of 1300 sq. M. / m.: There are other buildings on the plot. The distance from Davitashen district is 10 km. On the other hand, it is close to the city of Abovyan. Not exchanged. For sale with the whole property.Call for more information.Translated from Armenian",Dec-12-2022_20-44,Available,1 spot,,,,,,,,https://list.am/en/item/16280503,House is Finished,,
House,Stone,200 sq.m.,2,6,2,Major Renovation,1200 sq.m.,"Մյասնիկյան փողոց 11, Հրազդան","$66,000",USD,"Address Khanjyan street. Has a garage 35 m, c. Area of public importance 30 m, c. Tonir, barbecue, fruit trees (poplar, cherry, pear, apple, cherry) raspberry. It is located on Khanjyan street, has permanent drinking water and gas. It is possible with rent.Translated from Armenian",Dec-12-2022_20-44,,,,,,,,,,https://list.am/en/item/17459752,,,
House,Stone,180 sq.m.,1,4,1,Euro Renovation,600 sq.m.,"3-я улица 31, Арзни","$75,000",USD,"Новый ремонт, теплые полы, перед домом на улицу выходит бывший гараж который переделан под коммерческую недвижимость. Вьезд для автомобиля. Участок. Распологается в 800 метрах от арзни дзор. Продаю неспеша.",Dec-12-2022_20-44,,,,,,,,,,https://list.am/en/item/18238272,,,
House,Stone,190 sq.m.,2,3,1,Cosmetic Renovation,1000 sq.m.,"Zovuni 6 street, Zovuni","$120,000",USD,"A private house is for sale in the new district of Zovun. The first floor is partially renovated, the second floor has not been renovated. It has a solar system (water heater) The house is residential. The plot is 1000 square meters. Call for details.Translated from Armenian",Dec-12-2022_20-44,Not available,Not available,,,,,,,,https://list.am/en/item/14345079,House is Finished,,
House,Stone,158 sq.m.,2,7,2,No Renovation,700 sq.m.,Kotayk › Kasagh,"$149,000",USD,Own house for sale. There are fruit trees on the plot. Call for details. Only real buyers should call.Translated from Armenian,Dec-12-2022_20-44,Not available,Not available,,,,,,,,https://list.am/en/item/18412798,House is Under Construction,,
House,Stone,200 sq.m.,2,5,2,Major Renovation,800 sq.m.,Kotayk › Abovian,"$140,000",USD,"A newly built stone private house is for sale very urgently, c. In Abovyan. The total area is 800 m. Residential: 200 m, basement 20 m.There are 100 fruit trees in the land. The apartment is provided with a heating system with all communal facilities. The apartment has 3 open balconies with a beautiful view. It has the possibility to expand 4000 square meters.Translated from Armenian",Dec-12-2022_20-44,Available,Not available,,,,,,,,https://list.am/en/item/17576164,House is Finished,,
House,Stone,315 sq.m.,2,7,2,Euro Renovation,765 sq.m.,"Mher Mkrtchyan distr. 5th street 18, Avan","$260,000",USD,URGENT New building. Garage grillTranslated from Armenian,Dec-12-2022_20-44,,,,,,,,,,https://list.am/en/item/18133386,,,
House,Monolith,360 sq.m.,3,4,2,Cosmetic Renovation,500 sq.m.,Kotayk › Arinj,"$385,000",USD,"The house has a very beautiful view, 3 floors, each floor 120 sq. M., 60 sq. M. Basement 60 sq. M. With trees.Translated from Armenian",Dec-12-2022_20-44,Available,1 spot,,,,,,,,https://list.am/en/item/16942241,House is Finished,,
House,Stone,793 sq.m.,2,8+,3+,Major Renovation,2500 sq.m.,Kotayk › Ptghni,"$1,000,000",USD,"Dear Buyer: For sale is a 2-storey private house with high-quality renovation and all facilities for recreation and entertainment, located in Ptghni, 25-30 minutes away from the center. The total area of the land is 2,500 square meters, the living area of the private house is 655.32 square meters, and the area of the 2nd building is 138 square meters. There is a spacious garage with an area of 105.22 square meters. The mansion was renovated exclusively with high-quality and ecologically clean materials, wood, stone were used, unique works of Blacksmith in the interior. The floor is covered with quality carpet, granite and stone. Gas boiler, air conditioners are installed. The rooms are furnished with expensive furniture and high-quality appliances. The house consists of a spacious living room with a fireplace, a kitchen, 5 bedrooms, a study, a laundry room, 4 bathrooms and 1 toilet, for entertainment: A gym, an indoor swimming pool, a game room. The other house has a kitchen, 2 bedrooms, 1 bathroom and 1 toilet. Bathrooms and toilets are tiled with European-made tiles, equipped with sanitary ware, shower cabins, jacuzzi. The mansion has a wonderful green area with fruit trees, the yard is well-kept, has a summer pavilion, an outdoor swimming pool of 35.31 square meters. Balconies have beautiful views. There is a car wash next to the plot, which is included in the price. The area is secured by cameras and a security system. Please contact the phone numbers listed to get the full pictures.For details or other property offers, call the number listedWith respectsProject real estate agencyGrigor MadatyanTranslated from Armenian",Dec-12-2022_20-44,Available,3 or more spots,,,,,,,,https://list.am/en/item/18137123,House is Finished,,
House,Stone,300 sq.m.,2,6,1,Partial Renovation,800 sq.m.,"Գ․ Սարյանի 2-րդ նրբանցք 1, Հրազդան","$45,000",USD,I am urgently selling a two-story private houseTranslated from Armenian,Dec-12-2022_20-44,Available,Not available,,,,,,,,https://list.am/en/item/18562185,House is Under Construction,,
House,Stone,300 sq.m.,2,6,1,Partial Renovation,800 sq.m.,"Գ․ Սարյանի 2-րդ նրբանցք 1, Հրազդան","$45,000",USD,I am urgently selling a two-story private houseTranslated from Armenian,Dec-12-2022_20-44,Available,Not available,,,,,,,,https://list.am/en/item/18562124,House is Finished,,
House,Stone,120 sq.m.,2,3,2,Partial Renovation,450 sq.m.,"Վազգեն Սարգսյանի փողոց 888888, Քասախ","$85,000",USD,"A two-story private house for sale in Kasakh, 37 Marshutnu, near Kanetsi, utilities: Electricity-water-sewage, gas is connected to the furnace, fenced, monolithic roof on two sides, tuff zalifka on two floors. At the moment, the renovation of the first floor is underwayTranslated from Armenian",Dec-12-2022_20-44,Available,3 or more spots,,,,,,,,https://list.am/en/item/17345835,House is Under Construction,,
House,Stone,510 sq.m.,2,6,2,Partial Renovation,1400 sq.m.,Kotayk › Kasagh,"$140,000",USD,"Տունը առանց ներքին հարդարման է, հողատարածքը պարսպապատ է, տեղադրված է դարպաս։ Առկա է ավտոտնակ։",Dec-12-2022_20-44,Not available,2 spots,,,,,,,,https://list.am/en/item/18268323,House is Finished,,
House,Stone,220 sq.m.,2,4,2,Euro Renovation,1000 sq.m.,Kotayk › Abovian,"$160,000",USD,"Newly built house for sale in Abovyan, in 8 micro-districts ․Uninhabited ․Made with European design ․Has access from 2 sides ․Residential 220 sq. M.4 rooms ․1 building serves as a workshop ․Fenced, euro windows ․Has a warm tiled floor ․2 bathrooms ․1 bathroom ․Has a small balcony on the side ․The total area with its land is 1000 square metersThere are fruit trees in the plot098062009:Translated from Armenian",Dec-12-2022_20-44,,,,,,,,,,https://list.am/en/item/16899447,,,
Country House,Stone,2000 sq.m.,2,6,1,Major Renovation,2000 sq.m.,"Զորավար Անդրանիկի փողոց, Աբովյան","30,000,000 ֏",AMD,"For sale, Kotayk region, c. The residential house in the village of Zar, Abovyan. All utilities are available. There are many kinds of fruit trees, livestock building, swimming pool, flower garden, bus station. Not so far from the city of Abovyan. For more information call.Translated from Armenian",Dec-12-2022_20-44,Available,2 spots,,,,,,,,https://list.am/en/item/17952419,House is Finished,,
House,Stone,12 sq.m.,2,2,1,No Renovation,12 sq.m.,"7th Street 8, Mrgashen village","$55,000",USD,Contact me amazing view village mrgashen kotayk,Dec-12-2022_20-44,,,,,,,,,,https://list.am/en/item/18482339,,,
House,Stone,400 sq.m.,2,6,1,Euro Renovation,1400 sq.m.,"Լևոն Ավետիսյան փողոց 4, 3-րդ փակուղի","$170,000",USD,"Two-storey private house is for sale in Balahovit village with 1400 m plot of land, has individual heating (baxi) system, all communications are in the apartment. The 1st floor is used as a parking lot (for 4-5 cars), basement, storage-technical floor, living space (2nd floor) about 200 m - 4 bedrooms, spacious living room, kitchen, storage room, bathroom. The windows and the doors are changed (the inner doors are made of natural wood), the bathroom is tiled. It has an orchard. The first floor has a height of more than 4 meters and can be used for various activities, the house has an open spacious balcony. Owner:Translated from Armenian",Dec-12-2022_20-44,Available,3 or more spots,,,,,,,,https://list.am/en/item/13800101,House is Finished,,
House,Panels,170 sq.m.,1,5,1,Cosmetic Renovation,4000 sq.m.,Kotayk › Abovian,"21,000,000 ֏",AMD,It has a big orchard. Call for questions. It is located in Geghashen village.Translated from Armenian,Dec-12-2022_20-44,Not available,2 spots,,,,,,,,https://list.am/en/item/17875085,House is Finished,,
Country House,Stone,230 sq.m.,3,7,2,Old Renovation,800 sq.m.,Kotayk › Argel,"$83,000",USD,"ARM/RU/ENG! ՍԱԿԱՐԿԵԼԻ!Վաճառվում է երեք հարկանի ամառանոց, Լուսակերտի (Արգել) ամառանոցային ավանում։ Շինությունը ռուսական ոճի, շինված երկտակ քարերով ու ամուր։ Ունի մշտական գազ, հոսանք, ոռոգման և խմելու ջուր։ Գտնվում է եկեղեցու հարևանությամբ, ճանապարհը` Ասֆալտապատ։ Սանհանգույցը սալիկապատ։ Դարպասների դիմաց ունի տարածություն, որը կարելի է օգրագործել որպես կայանատեղի, մի քանի մեքենաների համար։ Ամառանոցը հարմար է հյուրատան կամ/և հանգստի գոտու համար, նաև որպես մշտական բնակության վայրի։ Ամառանոցի հարևանությամբ կան բնակիչներ, մշտական մնացող և ժամանակավոր։ Բակը մաքուր է և գեղեցիկ, այգին` Մշակված ու բերքատու։Մանրամասների համար զանգահարել նշված հեռախոսահամարով։Продается трехэтажная дача, в дачном поселке Лусакерт (Аргел) Здание в русском стиле, двустенное, крепкое. Есть постоянный газ, электричество, поливая и питьевая вода. Находится рядом с церковью, дорога асфальтирована. Ванная комната выложена плиткой. Перед воротами есть пространство, которое можно использовать как парковочное место для более чем 1 автомобиля. Дачу можно использовать как гостевой дом и/или зону отдыха, а также как постоянное место жительства. Возле дачи есть постоянные и летние жители. Двор чистый и красивый, сад ухоженный и плодотворный.Для подробностей звоните по указанному номеру телефона.A three-storey cottage for sale in the cottage area fof Lusakert (Argel) The building is in the Russian style, double-walled, strong. There is permanent gas, electricity, irrigation and drinking water. Located next to the church, the road is paved. The bathroom is tiled. There is a space in front of the gate that can be used as a parking space for more than 1 car. The cottage can be used as a guest house and / or relaxing zone, as well as a permanent residence. Near the cottage there are permanent and summer residents. The yard is clean and beautiful, the garden is well-groomed and fruitful.For details, call the specified phone number.Translated from Armenian",Dec-12-2022_20-44,Available,3 or more spots,,,,,,,,https://list.am/en/item/18464585,,,
House,Stone,200 sq.m.,1,5,1,Major Renovation,800 sq.m.,"Arzni Highway, Abovyan","$150,000",USD,800 meters of land with fireplace and tonir.Translated from Armenian,Dec-12-2022_20-44,Available,3 or more spots,,,,,,,,https://list.am/en/item/17045435,House is Finished,,
House,Stone,50 sq.m.,1,3,1,Old Renovation,,"Arzni Highway, Abovyan","$53,000",USD,Hox@810m vorokman jur@ mej@ jeshti krishov.,Dec-12-2022_20-44,Available,3 or more spots,,,,,,,,https://list.am/en/item/15416601,House is Under Construction,,
House,Stone,110 sq.m.,1,4,1,No Renovation,,"6-րդ փողոց, Կամարիս","$50,000",USD,"The house is located in the Kamaris village of Abovyan. I will exchange it for a 4-5 room apartment in Abovyan. It is also available for rent for 100,000 AMD per month.Translated from Armenian",Dec-12-2022_20-44,Not available,Not available,,,,,,,,https://list.am/en/item/12619035,House is Finished,,
House,Stone,250 sq.m.,2,5,1,Old Renovation,2600 sq.m.,"Forest Street, Gorgoch","30,500,000 ֏",AMD,"A two-story detached house with attached structures, a swimming pool, a barn with a storage area, a working greenhouse of 300 square meters, natural gas, water, electricity, an adjacent recreation area in Maghalov, fruit trees...The house is located 2 km from Megradzora, the village of Gorgoch, the climate is like in Switzerland.We grow strawberries in a greenhouse.Translated from Armenian",Dec-12-2022_20-44,By agreement,1 spot,,"Fridge, stove",,,,,,https://list.am/en/item/17991958,,"Electricity, water supply, natural gas, sewerage","Swimming pool, barbecue oven, gazebo"
House,Stone,200 sq.m.,2,6,3+,Partial Renovation,560 sq.m.,"7-րդ միկրոշրջան 1, Աբովյան","$130,000",USD,"A two-story private house in Abovyan city is urgently for saleThe house is cosmetically renovated, ready to live in - it has all utilities: Gas, electricity, water.From the kitchen there is access to an open balcony - from where there are stairs to the garden / see picture /There is 1 more open balcony from a bedroom on the 2nd floor: / see picture/The ceiling height is 3.5 mIt has an attic structure that can be renovated into a roomThe house has a basement of 75 square meters, the height is 4.5 mIt has a garden, a garage of 14x6 square metersOn the front side of the house there is a large plot of 700 square meters, which can be owned.The house has great potential to become a luxury mansionFor more information, call the indicated phone numbers.NEGOTIABLETranslated from Armenian",Dec-12-2022_20-44,By agreement,2 spots,,,,,,,,https://list.am/en/item/18302975,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,156 sq.m.,2,5,2,Major Renovation,450 sq.m.,"4-я улица, Зовуни","$130,000",USD,"Очень срочно продается собственный дом в экологически чистом районе, рядом с главной дорогой. Ровная земля. Прекрасный вид. Рядом школа и детский сад.Солнечная сторона гостинной, 5 комнат, летняя кухня. Все удобства для комфортной жизни.Շատ շտապ, իրական արժեքից մաչելի, վաճառվում է սեփական տուն, կոմունալ բոլոր հարմարություններով ։ Տունը գտնվում է անմիջապես գլխավոր փողոցի մոտ։ Հողը հարթ է և պտղատու։Տունը գտնվում է դպրոցի և մանկապարտեզի մոտ։",Dec-12-2022_20-44,Not available,2 spots,,,,,,,,https://list.am/en/item/18588145,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,360 sq.m.,3,7,3+,No Renovation,513 sq.m.,Kotayk › Zovuni,"$300,000",USD,"A 3-storey newly built detached house is for sale in Zovuni community of Kotayk region, the house is 3-storey, there is also a spacious basement, the interior is in good condition, it has a land area of 513 square meters. It has a very convenient location. In case of buying the house, 5 bathrooms and bathroom accessories are provided free of charge.FOR URGENT SALE.Translated from Armenian",Dec-12-2022_20-44,Not available,2 spots,,,,,,,,https://list.am/en/item/18689686,House is Finished,,
House,Stone,250 sq.m.,3,7,3+,Major Renovation,470 sq.m.,"Վահան Տերյանի փողոց, Քասախ","105,000,000 ֏",AMD,"Նորակառույց տուն Քասախում կարմիր խաչի մոտ, Վահագնի թաղամաս չհասած, Տերյան փողոցում, 3 հարկ, 4 սանհանգույց, գազ, ջուր, ջեռուցում, ջեռուցում. Հիանալի տեսարան դեպի Արարատ լեռ, Արագած լեռ, քաղաք։ Վաճառվում կամ վարձով է տրվում Qasax, Qasaxum, Քասախում, Քասախ, Բակի և ավտոտնակի դարպասները էլեկտրական են! Երևան, ԵրևանումНовый дом около коасного креста, не доезжая ваагни района, по улице Теряна в Касахе, 3 этажа, 4 санузла, газ, вода, отопление, тёплый пол. Отличный вид на гору Арарат, гору Арагац, город. Продам или сдам в аренду Qasax, Qasaxum, Касахум, Касах, Ворота во двор и гараж электрические! Касах касахум qasax qasaxum Ереван Ереванум АРЕНДАTranslated from Armenian",Dec-12-2022_20-44,By agreement,2 spots,,,,,,,,https://list.am/en/item/18155460,House is Finished,,
House,Stone,83 sq.m.,1,3,1,Old Renovation,1300 sq.m.,"10-րդ փողոց, Ալափարս","$25,000",USD,"1-storey detached house for sale in Alapars village, Kotayk region. The house has a land area of 1300 m/sq.It is provided with constant water, electricity and gas. There is also irrigation water.Old renovated, needs renovation, call for price, we will negotiate/NEGOTIABLE/.Translated from Armenian",Dec-12-2022_20-44,By agreement,Not available,,,,,,,,https://list.am/en/item/17872645,House is Finished,,
House,Stone,130 sq.m.,1,4,1,No Renovation,400 sq.m.,Kotayk › Abovian,"40,000,000 ֏",AMD,"The house is located in K. In Abovyan, Hatisi Street, 1st District, 27, in the neighborhood behind the printing house. The house is half-built, one floor, 130 sq. M., 100 sq. M. Mansard. In exchange for a car or apartment at an additional cost on your part. The rest is negotiable by callingTranslated from Armenian",Dec-12-2022_20-44,,,,,,,,,,https://list.am/en/item/17559701,,,
House,Stone,155 sq.m.,2,6,2,Major Renovation,350 sq.m.,"Mush District, Yerevan","80,000,000 ֏",AMD,"The house was built in 2020, completely renovated and fully furnished with quality furniture and appliances. The price is indicated together with the property and appliances.It is gasified.Translated from Armenian",Dec-12-2022_20-44,Available,Not available,,,,,,,,https://list.am/en/item/15864861,House is Finished,,
House,Stone,210 sq.m.,2,6,2,Major Renovation,4500 sq.m.,"Ֆրոնտիկ Թևոսյան փողոց, Նոր Գեղի","$270,000",USD,"In one of the most beautiful villages of Kotayk marz, Nor Gyugh, a newly built 2-storey house is for sale.The house has:• On the 1st floor, living room, kitchen, 1 bedroom, bathroom and a spacious open balcony with a wonderful view.• 4 bedrooms, bathroom on the 2nd floor.• Basement floor (30 square meters), where there is a tennis table.• All rooms are equipped with expensive furniture and equipment, are provided with all amenities, are bright, the walls are covered with original collection posters.• The house is renovated in a beautiful modern style, all construction works are done exclusively with high quality materials.• An electric heating system and a boiler for hot water are installed.• The floors are covered with quality laminate, the bathrooms are tiled and equipped with sanitary equipment.• The mansion has 4500 sq. M. Plot of land, wonderful location and view, large orchard, chat room with grill.• There is a security system, cameras are installed.• Supermarkets, necessary shops, bus stop are very close to the house.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service commission: 2% of the selling price.Code GC0005Translated from Armenian",Dec-12-2022_20-44,By agreement,2 spots,,,,,,,,https://list.am/en/item/18113280,,,
House,Stone,2000 sq.m.,1,4,1,Cosmetic Renovation,1800 sq.m.,"10-րդ փողոց 5, Զովք","$67,000",USD,"Զովք գյուղում վաճառվում է սեփական տուն իր բոլոր հարմարություններով:4 ննջասենյակ, 1խոհանոց, շքամուտք, լոգարան, նկուղ ներսից և դրսից: Կա մեծ այգի պտղատու տարբեր ծառերով, ընդհանուր մակերեսը 2000 ք.: Գազ, հոսանք, ջուր մշտական: Փոխանակում Երևանում բնակարանի հետ:",Dec-12-2022_20-44,,,,,,,,,,https://list.am/en/item/17854406,,,
House,Stone,1000 sq.m.,4+,8+,1,No Renovation,,"Шоссе Кентронакан 29, Акунк","$150,000",USD,"4-storey stone house has 1500 sq. M. Land, completely fenced. There is an exchange option. The house is located in Akunk village.Translated from Armenian",Dec-12-2022_20-44,Not available,Not available,,,,,,,,https://list.am/en/item/12604409,House is Finished,,
House,Stone,198 sq.m.,2,3,1,Partial Renovation,520 sq.m.,"Այգեգործների փողոց, Նուռնուս","$60,000",USD,"The summer house has fruit trees, swimming pool, sieve, irrigation water, electricity, drinking water, gas. Call with other questions.Translated from Armenian",Dec-12-2022_20-44,By agreement,3 or more spots,,,,,,,,https://list.am/en/item/18490670,House is Finished,,
House,Stone,1000 sq.m.,3,8+,3+,Old Renovation,1000 sq.m.,"Safaryan Street, Yeghvard","$90,000",USD,Urgent sale.Translated from Armenian,Dec-12-2022_20-44,Not available,3 or more spots,,,,,,,,https://list.am/en/item/18689226,House is Finished,"Electricity, water supply, natural gas, sewerage","Swimming pool, sauna, fireplace, barbecue oven, gazebo, alarm system"
Country House,Stone,450 sq.m.,3,7,2,No Renovation,500 sq.m.,"Antarayin Street, Ձորաղբյուր","$50,000",USD,Call for more informationTranslated from Armenian,Dec-12-2022_20-44,Not available,1 spot,,,,,,,,https://list.am/en/item/17459681,House is Unfinished,"Electricity, natural gas, sewerage",
Country House,Stone,950 sq.m.,3,4,2,Partial Renovation,800 sq.m.,"16-րդ փողոց 1, 2-րդ փակուղի","$90,000",USD,"For sale: 3-storeyprivate house in Ptghni (without an intermediary) The private house is sold with complete property and appliances. There is drinking and irrigation water, it is not gasified, if desired, it can be gasified. The private house is sunny, the outer doors are iron, the inner doors are made of wood. There are fruit trees on the plot.1st floor: _kitchen_bathroom_swimming pool_steam bath_pantry. (repaired partially)2-floor: _1-living room_2-bedroom_bathroom_kitchen_ (completely renovated)3-Floor: _1-bedroom_open balcony_and there are separate 2-sections that can be changed into bathroom and bedroom.In the photos, the order of 1_2_3_floors is indicatedPrice: $90,000, negotiable.I will ask those who want real things to call.Viber + whatsappTranslated from Armenian",Dec-12-2022_20-44,,,,,,,,,,https://list.am/en/item/16746241,,,
House,Stone,136 sq.m.,2,4,1,Old Renovation,500 sq.m.,"6-րդ փողոց 1, 1-ին փակուղի","$25,000",USD,"12th street, 3rd houseThe summer house is located in Getamej village. The plot is 500 square meters. M: It is privatized, and 1000 square meters. On a slope M is an orchard.The house has 1.5 floors, 136 square meters. M with a total area of which 68 sq. M residential. The basement part is open on three sides and can be made habitable if desired. 4 rooms were renovated 5 years ago. There is electricity, irrigation and drinking water, possibility of gasification. The area offers a beautiful view of the valley.Translated from Armenian",Dec-12-2022_20-44,Not available,Not available,,,,,,,,https://list.am/en/item/18378606,House is Finished,,
House,Stone,84 sq.m.,1,4,1,Old Renovation,1492 sq.m.,"Խաչատուր Աբովյանի փողոց, Գառնի","20,000,000 ֏",AMD,"A house with a residential plot is for sale in Garni city, 1492m of land, it has permanent drinking water, gas is not drawn, but it passes right in front of the house.The house was built with 2 tuffs, beautiful and quiet environment, 800m from the main road. Fruit trees, residential land has a garageand attached garage-sized padval. Also available for rent, call for details.Translated from Armenian",Dec-12-2022_20-44,Available,1 spot,,,,,,,,https://list.am/en/item/16125996,,,
House,Stone,305 sq.m.,2,4,1,Major Renovation,765 sq.m.,"Երևանյան փողոց, Աբովյան","$240,000",USD,"Own house in the beginning of Abavyan city, first line. It will also be suitable as a commercial areaTranslated from Armenian",Dec-12-2022_20-44,By agreement,3 or more spots,,,,,,,,https://list.am/en/item/18689008,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,220 sq.m.,2,8+,2,Euro Renovation,1500 sq.m.,Kotayk › Arzakan,"$160,000",USD,"Two-story private house in the center of Arzakan, on the central street. The house is partially renovated, fully with European windows, constant drinking water (there are two drinking water tanks 1000l, 500l), gas, individual heating system (baxi), furnished, residential... There are fruit trees, walnut trees in the garden, there are also many attached areas (cattle barn, boiler room, basement according to the surface of the house, semi-residential, pantries, garage (garage with a thousand and one details) It is possible to exchange with the apartment/s in Yerevan.Translated from Armenian",Dec-12-2022_20-44,Available,1 spot,,"Air conditioner, fridge, stove, washing machine",,,,,,https://list.am/en/item/18481260,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,550 sq.m.,3,6,3+,Euro Renovation,810 sq.m.,"Bagrevand 26th street, Yerevan","$450,000",USD,"For SaleFully Furnished with all equipmentsPrivate house for sale in Bagrevand3 floors4 bedrooms3 bathrooms1 Sitting roomDining room + Sitting room2 balconies (2nd and 3rd floor)Indoor Private garageheating systemSolar energy systemswimming poolGardenBbq place outdoorEuro RenovationLand Area: 810 square metreFloor Area: 550 sq metreNote: 3rd floor it’s emptyPrice: 450,000 USD",Dec-12-2022_20-44,,,,,,,,,,https://list.am/en/item/18124738,,,
House,Stone,138 sq.m.,1,3,1,Old Renovation,1100 sq.m.,"Azatutyan Street 13th Lane, Dzoraghbyur","$100,000",USD,"A 1-storey detached house is for sale in Dzoraghbyur. Building area: 138 sq. M., land area: 1100 sq. M., frontage: 10 sq. M., depth: 91 sq. M. It has 2 bedrooms, 1 living room, 1 bathroom. The hall, kitchen and bathroom are tiled. An individual heating system is installed. There is an open balcony. It also has a basement of 60 square meters. And a garage of 20 square meters.Code 2-503585Translated from Armenian",Dec-12-2022_20-44,Not available,1 spot,,,,,,,,https://list.am/en/item/18047364,House is Finished,,
Country House,Wooden,110 sq.m.,1,3,1,Old Renovation,500 sq.m.,"Dzoraghbyur 1-st block, Dzoraxbyur","$45,000",USD,"Возле рынка ЛУА, Финский коттедж с каменным утолщением, Монолитный полуцокольный фундамент.",Dec-12-2022_20-44,Not available,Not available,,,,,,,,https://list.am/en/item/18607340,House is Finished,,
House,Stone,120 sq.m.,1,4,1,Designer Renovation,210 sq.m.,Kotayk › Zovuni,"$120,000",USD,"Новый дизайнерский ремонт. Центр, рядом есть школа почта дом культурыЕсть15 Квадратных метров Офисного помещения который дана в аренду.",Dec-12-2022_20-44,Available,1 spot,,,,,,,,https://list.am/en/item/18338584,House is Finished,,
House,Stone,800 sq.m.,2,8+,2,Euro Renovation,1000 sq.m.,"Հայ Ֆիդայինների փողոց 15/2, Հրազդան","$130,000",USD,"Urgent sale of a two-storey private house near the intersection of the road leading to Tsakhkadzor. It is very convenient for any type of business, as it is located on the first line.Building: Monolith_stoneTwo-storey private house (Condition: RenovatedBuilding area:2 floors together -475.4 sq. M.Garage-94.2 sq. M.For two unfinished business purposes:Tonratun - 20 square metersThe other is 15 square metersLand area - 1000 square metersConsists of 9 rooms:7 Bedrooms2 living rooms2 bathroomsComfortable balconies 2:Euro windows2 completely separate entrancesClosed garage for 4 cars, open parking for 3 carsBasement floors 2:MasardFruit garden.Etc•••TsakhkadzorMansion:Translated from Armenian",Dec-12-2022_20-44,,,,,,,,,,https://list.am/en/item/17853680,,,
House,Stone,280 sq.m.,2,4,3+,Major Renovation,2014 sq.m.,Kotayk › Arinj,"$350,000",USD,"A large private house is for sale in Arinj village. Land: 2014 square meters, house: 280 square meters + garage: 21 square meters, summer kitchen: 27 square meters.The house is completely renovated, completely newly furnished, uninhabited, it has 3 bedrooms, a large dining room, a kitchen, a balcony with a beautiful view, 3 bathrooms, a sauna, a small swimming pool, a gym/games room.It has a beautiful view, a large yard and a garden with fruit trees.The house has centralized sewage, drinking and irrigation water, heating, air conditioning.The area is fenced with a 3 m wall. The entire area is monitored by security cameras. The road to the house is paved.Mansion, plot, barn, sauna, swimming pool, dacha, own house.Translated from Armenian",Dec-12-2022_20-44,Available,1 spot,,,,,,,,https://list.am/en/item/12105510,House is Finished,,
House,Stone,176 sq.m.,2,5,2,Partial Renovation,162 sq.m.,"Մհեր Մկրտչյան 1-ին փողոց, Առինջ","$110,000",USD,"ART1373A 2-storey private house for sale in Mher Mkrtchyan district; The total area is 176 square meters, and the land area is 162 square meters. The house is partially renovated. Euro windows are installed. There is a parking space in the yard.Translated from Armenian",Dec-12-2022_20-44,By agreement,1 spot,,,,,,,,https://list.am/en/item/18688762,House is Finished,,
