Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Appliances,Window Views,Parking,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,The House Has
Stone,No,Not available,5,41 sq.m.,2,1,from 2.7 m,5,Open balcony,Major Renovation,Ararat › Artashat,"20,000 ֏ daily",AMD,Call the indicated numbers for details.700USD per monthTranslated from Armenian,Dec-12-2022_23-08,,,,,https://list.am/en/item/13282916,,8+,Yes,Yes,Not included,1 month,
Stone,No,Not available,5,40 sq.m.,2,1,from 2.7 m,4,Open balcony,Major Renovation,Ararat › Artashat,"20,000 ֏ daily",AMD,Call the indicated numbers for details.600 USD per monthTranslated from Armenian,Dec-12-2022_23-08,,,,,https://list.am/en/item/11893315,,2,Yes,Yes,Not included,1 month,
Stone,No,Not available,5,50 sq.m.,1,1,from 3.2 m,4,Open balcony,Euro Renovation,"Hanrapetutyun street, Masis","180,000 ֏ monthly",AMD,Сдам однокомнатную квартируЗвонить по WhatsApp Viber,Dec-12-2022_23-08,Available,"Fridge, stove, microwave, coffee maker, washing machine, water Heater",Park view,Outdoor parking,https://list.am/en/item/18420464,"Television, air conditioner, internet",2,Yes,No,Not included,By Agreement,
Stone,No,Not available,5,75 sq.m.,3,1,from 2.8 m,4,Open balcony,Major Renovation,"Երևանյան փողոց 1, Արտաշատ","180,000 ֏ monthly",AMD,Apartment for rent in Artashat. The apartment is provided with all utilities. For more information callTranslated from Armenian,Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18699757,,4,Yes,No,Not included,By Agreement,
Panels,No,Not available,5,60 sq.m.,2,1,from 2.75 m,4,Open balcony,Major Renovation,Ararat › Artashat,"150,000 ֏ monthly",AMD,"Right in the center of ArtashatNewly renovated unoccupiedCall for all other questionsFor normal people, the price is not finalTranslated from Armenian",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18364346,,3,No,No,Included,1 month,
Panels,No,Not available,5,75 sq.m.,3,1,from 2.75 m,3,Open balcony,Partial Renovation,"3-րդ թաղամաս 1, Մասիս","200,000 ֏ monthly",AMD,"3-room apartment for long-term rent in Masis city. The apartment is equipped with all utilities. It is newly renovated, bright, has constant water, heating boiler, internet. It has an open balcony. Near the building there are all the necessary shops, pharmacies, hairdressers. It is walking distance to kindergarten, school, hospital. The apartment is provided with furniture and appliances, including iron, ironing board, hair dryer, vacuum cleaner, as well as bed linen and towels. Kitchen furniture and utensils are also provided with the house.The house is rented only with a deposit.For more information call:Translated from Armenian",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18378126,,3,No,No,Not included,1 month,
Stone,No,Not available,2,55 sq.m.,2,1,from 2.8 m,1,Closed balcony,Euro Renovation,"Նելսոն Ստեփանյան փողոց 1/4, Երևան","100,000 ֏ monthly",AMD,"3 2-room apartments for rent, fully furnished with all utilities. Also with a daily wage of 9,000 AMD. From 100,000 to 130,000 AMD per month.Translated from Armenian",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/16746210,,4,No,No,Not included,2 weeks,
Monolith,Yes,Not available,5,80 sq.m.,3,1,from 3.2 m,4,Not available,Major Renovation,"Մխիթար Հերացու փողոց 9/12, Մասիս","250,000 ֏ monthly",AMD,"The house is located in a newly built building, in the central part of Masis, close to the kindergarten, schools. There are shops nearby, there are all the necessary conditions for living. The house will be available in the last days of December.Translated from Armenian",Dec-12-2022_23-08,Available,"Fridge, stove, washing machine, water Heater","Yard view, street view, city view, view of Ararat",Covered parking,https://list.am/en/item/18697926,"Television, internet, parking space",5,Yes,No,Not included,1 month,
Panels,No,Not available,5,68 sq.m.,2,1,from 3.2 m,1,Not available,Major Renovation,"Isakov street 76, Artaxata (Artashat)","190,000 ֏ monthly",AMD,"Բնակարանը տրվելու է վարձով ՄԱՐՏԻ 1-ԻՑ։Բնակարանը կապիտալ վերանորոգված է, գտնվում է 5 հարկանի շենքի 1-ին հարկում, առկա են կոմունալ բոլոր հարմարությունները, գազ, տաք և սառը ջուր, ինտերնետի կոմունիկացիաներ, սանհանգույցը ՝սալիկապատ և իտալական որակի, եվրո լուսամուտներով, ունի ամբողջական ջեռուցման համակարգ, տան հատակը տաքացվող է, տրվում է գույքի, տեխնիկայի (սառնարան, հեռուստացույց, լվացքի մեքենա, գազօջախ, փոշեկուլ և այլն) սպասքի հետ միասին ։Մանրամասների համար զանգահարել նշված հեռախոսահամարի VIBER -ին։Квартира сдается с 1 МАРТА.Квартира с капитальным ремонтом, расположена на 1 этаже 5-ти этажного дома, есть все коммуникации, газ, горячая и холодная вода, интернет, санузел выложен плиткой итальянского качества, евро окна, есть Полная система отопления, пол в доме с подогревом. , отдается вместе с имуществом, техникой (холодильник, телевизор, стиральная машина, газовая плита, пылесос и т. Д.) и посудой.За подробностями звоните в VIBER по указанному номеру телефона.The apartment will be rented from MARCH 1.The apartment is completely renovated, it is located on the 1st floor of a 5-story building, there are all utilities, gas, hot and cold water, internet connections, the bathroom is tiled and of Italian quality, with euro windows, it has a complete heating system, the floor of the house is heated. , is given along with the property, appliances (refrigerator, TV, washing machine, gas stove, vacuum cleaner, etc.) and dishes.For details, call VIBER on the specified phone number.",Dec-12-2022_23-08,Available,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer","Yard view, street view, park view",Outdoor parking,https://list.am/en/item/18018619,"Television, internet, parking space",5,Yes,Negotiable,Not included,By Agreement,Playground
Stone,No,Not available,5,43 sq.m.,2,1,from 2.8 m,5,Open balcony,Euro Renovation,"Օգոստոսի 23, Արտաշատ","20,000 ֏ monthly",AMD,"Сдается 2-комнатная квартира с евро ремонтом и современной мебелью посуточно в г. Арташат, улица Шаумяна, 5 этаж. Все коммунальные услуги, имущество, бытовая техника, кондиционер, посуда, постельные принадлежности бесплатноWI-FI, открытый балкон. Он также доступен с ежемесячной оплатой. Квартира рассчитана на 4 человека.Օրավարձով է տրվում եվրովերանորոգված և մոդեռն կահավորված 2 սենյականոց բնակարան Արտաշատ քաղաքում, Շահումյան փողոց, 5-րդ հարկ։ Առկա է կոմունալ բոլոր հարմարությունները, գույք, տեխնիկա, օդորակիչ, սպասք, անկողին, անվճարWI-FI, բաց պատշգամբ։ Տրվում է նաև ամսավճարով։ Բնակարանը նախատեսված է 4 հոգու համար։Translated from Armenian",Dec-12-2022_23-08,Available,"Fridge, stove, washing machine, water Heater, iron","Yard view, street view, city view, view of Ararat",Outdoor parking,https://list.am/en/item/18591151,"Television, air conditioner, internet",4,Yes,Yes,Not included,By Agreement,
Stone,Yes,Not available,2,50 sq.m.,2,1,from 2.8 m,2,Closed balcony,Designer Renovation,"Dprocakanner street, Masis","120,000 ֏ monthly",AMD,Званить по случи вапросов по указенному номеру,Dec-12-2022_23-08,Available,"Fridge, stove, washing machine",Street view,Outdoor parking,https://list.am/en/item/18695263,"Television, air conditioner, internet, parking space",3,Yes,Yes,Not included,1 month,
Stone,Yes,Not available,1,49 sq.m.,1,1,from 2.5 m,1,Closed balcony,Euro Renovation,Ararat › Artashat,"80,000 ֏ monthly",AMD,Newly renovatedTranslated from Armenian,Dec-12-2022_23-08,Available,,,,https://list.am/en/item/17971609,,2,Yes,No,Included,By Agreement,
Stone,No,Not available,5,38 sq.m.,1,1,from 2.8 m,4,Closed balcony,Cosmetic Renovation,Ararat › Vedi,"60,000 ֏ monthly",AMD,The house is in good conditionTranslated from Armenian,Dec-12-2022_23-08,Not available,"Stove, water Heater","Yard view, street view",,https://list.am/en/item/18694839,,1,Negotiable,No,Not included,1 month,
Stone,No,Not available,5,82 sq.m.,3,2,from 2.75 m,1,Closed balcony,Old Renovation,Ararat › Ararat,"40,000 ֏ monthly",AMD,"The apartment is located in Zod, Ararat, near the military unit.Translated from Armenian",Dec-12-2022_23-08,Partial Furniture,,"Yard view, street view",Covered parking,https://list.am/en/item/18693006,Parking space,6,Yes,Yes,Not included,By Agreement,Playground
Stone,No,Not available,5,68 sq.m.,2,1,from 2.6 m,5,Closed balcony,Partial Renovation,"Նոր թաղամաս 38, Մասիս","100,000 ֏ monthly",AMD,Հարցերի համար Զանգահարել,Dec-12-2022_23-08,,,,,https://list.am/en/item/18267551,,,,,,,
Stone,No,Not available,3,40 sq.m.,2,1,from 2.7 m,2,Open balcony,Major Renovation,"Օգոստոսի, Արտաշատ","180,000 ֏ monthly",AMD,"A fully renovated 2-room apartment is for rent in the center of Artashat city. The apartment is rented with furniture and appliances. The apartment also has an air conditioner. Those who want real estate should call. The apartment is currently occupied, it will be available from January 24.Translated from Armenian",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18455244,,4,Yes,No,Not included,2 months,
Stone,No,Not available,5,72 sq.m.,2,1,from 2.8 m,4,Open balcony,Cosmetic Renovation,Ararat › Masis,"160,000 ֏ monthly",AMD,"URGENT 2-room apartment with property. In the very center of the city. Near the station. There are all the necessary shops nearby. European windows, has an open-air balcony with a pleasant view of the garden and the church. Newly renovated. Furnished with furniture and appliances. Wi-Fi is available from the house. There is a wonderful view of Mount Masis.Translated from Armenian",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18205439,,6,Yes,Yes,By Agreement,By Agreement,
Stone,No,Not available,5,69 sq.m.,2,1,from 2.7 m,4,Open balcony,Partial Renovation,Ararat › Masis,"160,000 ֏ monthly",AMD,"2սենյականոց բնակարան գույքի հետ միասին։Քաղաքի հենց կենտրենում։Կանգառին մոտ։Մոտակայքում կան բոլոր անհրաժեշտ խանութները։Եվրոպատուհաններ, ունի բացօդյա բալկոն, որտեղից այգու և եկեղեցու հաճելի տեսարան է բացվում։Նոր վերանորոգված։Տրվում է կահույքով և տեխնիկայով։Առկա է Wi Fi, տանից երևում է հիանալի Մասիս սարի տեսարան։",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18364030,,6,Yes,Yes,By Agreement,By Agreement,
Stone,Yes,Not available,5,80 sq.m.,3,1,from 2.8 m,3,Open balcony,Euro Renovation,Ararat › Masis,"250,000 ֏ monthly",AMD,Сдается в аренду квартираВ квартире есть все коммунальные услугиудобства:* Система отопления* Газовая плита* Телевизор* Холодильник* Автоматическая стиральная машина* Долгосрочная арендадепозит за 1 месяцЗвоните для более подробной информации:Apartment for rentThe apartment has all utilities amenities:* Heating system* Gas stove* TV* Refrigerator* Automatic washing machine* Long-term rentaldeposit for 1 monthCall for more information:Տրվում է վարձով բնակարանԲնակարանում առկա են կոմունալ բոլոր հարմարությունները`• Ջեռուցման համակարգ• Գազօջախ• Հեռուստացույց• Սառնարան• Ավտոմատ լվացքի մեքենա• Երկարաժամկետ վարձակալության դեպքում 1 ամսվա դեպոզիտՄանրամասների համար զանգահարել`:,Dec-12-2022_23-08,Available,"Fridge, stove, washing machine, water Heater",,Outdoor parking,https://list.am/en/item/18687567,"Television, air conditioner, internet, parking space",2,Negotiable,No,Not included,2 months,
Stone,Yes,Not available,5,65 sq.m.,3,1,from 2.8 m,2,Open balcony,Euro Renovation,Ararat › Masis,"250,000 ֏ monthly",AMD,Сдается в аренду квартираВ квартире есть все коммунальные услугиудобства:* Система отопления* Газовая плита* Телевизор* Холодильник* Автоматическая стиральная машина* Долгосрочная арендадепозит за 1 месяцЗвоните для более подробной информации:Apartment for rentThe apartment has all utilities amenities:* Heating system* Gas stove* TV* Refrigerator* Automatic washing machine* Long-term rentaldeposit for 1 monthCall for more information:Տրվում է վարձով բնակարանԲնակարանում առկա են կոմունալ բոլոր հարմարությունները`• Ջեռուցման համակարգ• Գազօջախ• Հեռուստացույց• Սառնարան• Ավտոմատ լվացքի մեքենա• Երկարաժամկետ վարձակալության դեպքում 1 ամսվա դեպոզիտՄանրամասների համար զանգահարել`:,Dec-12-2022_23-08,Available,"Fridge, stove, washing machine, water Heater","Yard view, street view",Outdoor parking,https://list.am/en/item/18687551,"Television, air conditioner, internet, parking space",2,Negotiable,No,Not included,2 months,
Stone,No,Not available,5,48 sq.m.,2,1,from 2.8 m,2,Closed balcony,Euro Renovation,"Dprocakanner alley 10, Masis","120,000 ֏ monthly",AMD,"A two-room apartment is for rent, all communal facilities are available with partial use, for details, call and visit our agency.Translated from Armenian",Dec-12-2022_23-08,Available,"Stove, washing machine, water Heater","Yard view, street view, city view, park view, view of Ararat",,https://list.am/en/item/18573553,Television,3,Yes,No,Not included,2 months,
Monolith,Yes,Available,3,70 sq.m.,2,1,from 2.8 m,3,Open balcony,Euro Renovation,"Օգոստոսի 23, Արտաշատ","150,000 ֏ monthly",AMD,"В городе Арташат сдаются новые, отремонтированные и нежилые квартиры 2-х и 3-х комнатные. Имеются все коммуникации, имущество, бытовая техника, индивидуальная система отопления BAXI.Արտաշատ քաղաքում վարձով են տրվում 2 և 3 սենյականոց նոր, կապիտալ վերանորոգված և չբնակեցված բնակարաններ նորակառույց շենքում։ Առկա են բոլոր կոմունալ հարմարությունները, գույք, տեխնիկա, BAXI համակարգ։",Dec-12-2022_23-08,Available,"Fridge, stove, washing machine, water Heater","Yard view, street view, city view, view of Ararat","Outdoor parking, covered parking",https://list.am/en/item/18510703,"Television, internet, parking space",4,Yes,No,Not included,By Agreement,Intercom entry
Stone,No,Not available,2,62 sq.m.,2,1,from 2.6 m,2,Open balcony,Major Renovation,"Квартал Нор, Масис","200,000 ֏ monthly",AMD,"It is in an ideal condition. The house has all comforts, it also has the ability to heat and cool air conditioners. It is located only 30 minutes / 15 km from Yerevan. It has the possibility of parking 3 cars.Translated from Armenian",Dec-12-2022_23-08,Available,"Fridge, washing machine, water Heater","Yard view, street view",Covered parking,https://list.am/en/item/18141849,"Television, air conditioner, internet, parking space",4,No,No,Not included,By Agreement,"Intercom entry, playground"
Stone,No,Not available,5,82 sq.m.,3,1,from 2.7 m,5,Open balcony,Partial Renovation,Ararat › Masis,"100,000 ֏ monthly",AMD,A 3-room apartment is for rent in the city of MasisIt is in good conditionIt has a separate bathroom and toiletA large open dungeonTranslated from Armenian,Dec-12-2022_23-08,Not available,,"Yard view, street view, park view, view of Ararat",Outdoor parking,https://list.am/en/item/18676792,,4,Yes,Negotiable,Not included,By Agreement,Playground
Stone,No,Not available,1,100 sq.m.,4,1,from 3 m,1,Not available,Partial Renovation,"Գայի փողոց, Նշավան","70,000 ֏ monthly",AMD,"A private house is for rent in the village of Nshavan, which has hot water, gas, and electricity. It is in normal condition. Call for details.Translated from Armenian",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18562213,,5,Yes,Yes,By Agreement,1 month,
Stone,No,Not available,5,62 sq.m.,3,1,from 2.7 m,1,Closed balcony,Euro Renovation,Ararat › Masis,"200,000 ֏ monthly",AMD,The apartment is renovated. There are all the amenities for living.Translated from Armenian,Dec-12-2022_23-08,Available,,,Garage,https://list.am/en/item/18671100,,5,Yes,No,Not included,2 months,
Panels,No,Not available,5,43 sq.m.,1,1,from 3 m,3,Closed balcony,Old Renovation,Ararat › Masis,"80,000 ֏ monthly",AMD,One bedroom apartment with niche in MasisTranslated from Armenian,Dec-12-2022_23-08,Available,,"Yard view, street view",Outdoor parking,https://list.am/en/item/18669568,,6,Yes,Negotiable,Not included,By Agreement,Playground
Stone,Yes,Not available,3,60 sq.m.,3,1,from 2.7 m,3,Not available,Major Renovation,Ararat › Artashat,"150,000 ֏ monthly",AMD,"A 3-room apartment is for rent, at 34 Arazi Street, Artashat city.The apartment is fully renovated and has all the utilities.There is a heating system, constant hot and cold water.The apartment is fully furnished.Translated from Armenian",Dec-12-2022_23-08,Available,"Fridge, washing machine, water Heater","Yard view, street view",,https://list.am/en/item/18646245,"Television, internet",5,Yes,Negotiable,Not included,By Agreement,
Panels,Yes,Not available,4,65 sq.m.,3,1,from 2.8 m,2,Open balcony,Major Renovation,Ararat › Masis,"150,000 ֏ monthly",AMD,"3-room apartment in the city of Masis, in a newly built building.Kitchen, bathroomoverhauledhas all utilities hot and cold waterLight gasIt is furnishedIt is given only to responsible people and long-term. Deposit + 50,000 AMD No intermediaryTranslated from Armenian",Dec-12-2022_23-08,Available,"Fridge, washing machine, water Heater",Yard view,Outdoor parking,https://list.am/en/item/18351872,Television,4,Yes,No,Not included,1 month,
Panels,No,Not available,5,75 sq.m.,2,1,from 2.7 m,2,Open balcony,Partial Renovation,Ararat › Masis,"160,000 ֏ monthly",AMD,"A 2-room apartment is for rent in the center of Masis city. It is equipped with all utilities, Bucks system, kitchen furniture. It is located near the bus stop, there are shops nearby. For pricing and other information, just call the indicated phone number. DO NOT negotiableTranslated from Armenian",Dec-12-2022_23-08,Available,"Fridge, stove, washing machine, water Heater",,,https://list.am/en/item/18112357,,4,Negotiable,No,Not included,1 month,
Bricks,No,Not available,1,40 sq.m.,2,1,from 2.5 m,1,Not available,Euro Renovation,Ararat › Artashat,"140,000 ֏ monthly",AMD,"Отдельное жилье с удобствами в Араратской долине, город Арташат в 20 км от Еревана, преимущество отдается порядочному арендатору без вредных привычек.Две небольшие комнаты с кухней и совмещенный санузел, проведен интернет, есть необходимая мебель.Проживание с животными не предусмотрено.После евроремонта в квартире еще никто не жил.Аренда напрямую у владельца без комиссионных.",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18371121,,1,No,No,By Agreement,By Agreement,
Panels,No,Not available,5,80 sq.m.,3,1,from 3.5 m,1,Not available,Euro Renovation,"Dprocakanner street, Masis","200,000 ֏ monthly",AMD,"We offer a 3-room apartment for rent in K. In Masis, the apartment is located in the center, it has all the possibilities for living, the apartment is furnishedTranslated from Armenian",Dec-12-2022_23-08,,,,,https://list.am/en/item/18539223,,6,Yes,No,Included,Without prepayment,
Panels,No,Not available,5,67 sq.m.,2,1,from 2.5 m,3,Closed balcony,Designer Renovation,"Abovyan street, Ararat","60,000 ֏ monthly",AMD,"The apartment is located in Zod Banavan, OCF. Next to the troop. The apartment is renovated, 2 rooms have been converted into 3. It is handed over together with the property.Translated from Armenian",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18578990,,3,Yes,No,Not included,2 months,
Stone,Yes,Not available,5,78 sq.m.,3,1,from 2.8 m,2,Closed balcony,Major Renovation,"Dprocakanner street, Masis","200,000 ֏ monthly",AMD,"The apartment is located in the center of Masis city, it is newly renovatedTranslated from Armenian",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/17438243,,3,No,No,By Agreement,By Agreement,
Stone,Yes,Not available,4,64 sq.m.,3,1,from 3 m,2,Not available,Major Renovation,Ararat › Masis,"350,000 ֏ monthly",AMD,"A 3-room apartment is for rent in the city of Masis on the 2nd floor of a 4-story building (residential ground floor)The apartment is lined with two floors of stone, due to which it is warm in winter and cool in summer.Has all utilitiesThe pipes and wiring have been replaced, the floor has been completely replaced, the apartment is sunny and bright.The windows are of European production, the heating system is fondital, the bedroom and kitchen furniture are new. Used since August 2020.There are many shops nearby.A school, a bus stop and a kindergarten, as well as a newly reopened development center for children, a beauty salon and an entertainment center on the first floor of the building.Translated from Armenian",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18229351,,2,Yes,No,Not included,By Agreement,
Panels,No,Not available,5,96 sq.m.,4,1,from 2.8 m,3,Multiple balconies,Cosmetic Renovation,Ararat › Artashat,"100,000 ֏ monthly",AMD,Сдам в аренду 4х комнатную квартиру на ул Араз,Dec-12-2022_23-08,Available,,,,https://list.am/en/item/17748506,,4,Yes,No,Not included,2 months,
Panels,No,Not available,5,76 sq.m.,3,1,from 2.8 m,5,Multiple balconies,Partial Renovation,"Isakov street 101, Artaxata (Artashat)","90,000 ֏ monthly",AMD,The apartment is in a clean condition with partial furniture and is for long-term rent onlyTranslated from Armenian,Dec-12-2022_23-08,Available,"Stove, washing machine, water Heater",Street view,Outdoor parking,https://list.am/en/item/18602849,,5,Yes,No,Not included,1 month,Intercom entry
Stone,Yes,Available,4,72 sq.m.,3,1,from 3 m,4,Open balcony,Euro Renovation,"Kentronakan street, Yerevan","320,000 ֏ monthly",AMD,"House for rent, 3-room apartmentAlso available on a daily basisTranslated from Armenian",Dec-12-2022_23-08,Available,"Fridge, washing machine, iron","City view, view of Ararat",Outdoor parking,https://list.am/en/item/18602658,"Television, air conditioner, internet",4,Yes,Negotiable,Not included,By Agreement,
Stone,No,Not available,2,85 sq.m.,3,1,from 3.2 m,2,Closed balcony,Major Renovation,"8-րդ փողոց, Նոր Խարբերդ","200,000 ֏ monthly",AMD,"The apartment is completely renovated, it is rented together with the property, it is heated with a heating system, it is rented for a long term, there are shops and a supermarket nearby, and the transport is 30 meters away, for details, call 12; 00 21; 00:00Translated from Armenian",Dec-12-2022_23-08,,,,,https://list.am/en/item/18519728,,5,Yes,No,Not included,By Agreement,
Panels,No,Not available,5,94 sq.m.,4,1,from 2.8 m,2,Open balcony,Major Renovation,"Квартал Нор 18, Масис","220,000 ֏ monthly",AMD,Сдается на долгий срок.,Dec-12-2022_23-08,,,,,https://list.am/en/item/18541856,,8+,Yes,No,Not included,Without prepayment,
Panels,No,Not available,6,62 sq.m.,3,2,from 2.8 m,3,Not available,Euro Renovation,"Isakov street, Artaxata (Artashat)","350,000 ֏ monthly",AMD,"Сдается двухкомнатная переоборудованная трехкомнатная квартира в городе Арташат с ремонтом и мебелью. Имеются все коммуникации, имущество, бытовая техника, посуда, постельные принадлежности, индивидуальное отоплениеԱմսավճարով և օրավարձով է տրվում կապիտալ եվրովերանորոգված և կահավորված երկուսը դարձրած երեք սենյականոց բնակարան քաղաք Արտաշատում, Իսակովի փողոց։ Առկա է կոմունալ բոլոր հարմարությունները, գույք, տեխնիկա, սպասք, անկողին, Բաքսի համակարգԿոդ NNN1Translated from Armenian",Dec-12-2022_23-08,Available,"Fridge, stove, washing machine, water Heater","Yard view, street view, view of Ararat",Outdoor parking,https://list.am/en/item/18378367,"Television, internet, parking space",5,Yes,No,Not included,By Agreement,Playground
Stone,Yes,Not available,2,170 sq.m.,5,1,from 3.2 m,2,Open balcony,Euro Renovation,"Կամոյի փողոց 16, Ազատավան","8,000 ֏ daily",AMD,"For information, call the indicated hotline number.Translated from Armenian",Dec-12-2022_23-08,,,,,https://list.am/en/item/18519544,,8+,Yes,Yes,Included,By Agreement,
Panels,No,Not available,5,68 sq.m.,2,1,from 2.75 m,5,Open balcony,Euro Renovation,Ararat › Masis,"200,000 ֏ monthly",AMD,"Տրվում է վարձով բնակարան Բնակարանը եվրովերանորոգված է, ապահովված է անհատական ջեռուցման համակարգով,   օդորակիչով, տաք և սառը ջրով, Wi-Fi-ով: Առկա են կոմունալ բոլոր հարմարությունները, տեխնիկապես հագեցած է:Сдается посуточно чистая, комфортная и светлая 2-х комнотная кватрира  без посредников в г. Масис. В наличии все необходимые бытовые принадлежности: Техника,   Wi-Fi,локальная отопительная система BAXI, кондиционер.",Dec-12-2022_23-08,,,,,https://list.am/en/item/18493441,,3,No,No,By Agreement,By Agreement,
Panels,No,Not available,5,68 sq.m.,2,1,from 2.75 m,5,Open balcony,Euro Renovation,Ararat › Masis,"200,000 ֏ monthly",AMD,"Տրվում է վարձով բնակարան Բնակարանը եվրովերանորոգված է, ապահովված է անհատական ջեռուցման համակարգով,   օդորակիչով, տաք և սառը ջրով, Wi-Fi-ով: Առկա են կոմունալ բոլոր հարմարությունները, տեխնիկապես հագեցած է:Сдается посуточно чистая, комфортная и светлая 2-х комнотная кватрира  без посредников в г. Масис. В наличии все необходимые бытовые принадлежности: Техника,   Wi-Fi,локальная отопительная система BAXI, кондиционер.",Dec-12-2022_23-08,,,,,https://list.am/en/item/18493422,,3,No,No,By Agreement,By Agreement,
Panels,No,Not available,5,68 sq.m.,2,1,from 2.75 m,5,Open balcony,Euro Renovation,Ararat › Masis,"200,000 ֏ monthly",AMD,"Տրվում է վարձով բնակարան Բնակարանը եվրովերանորոգված է, ապահովված է անհատական ջեռուցման համակարգով,   օդորակիչով, տաք և սառը ջրով, Wi-Fi-ով: Առկա են կոմունալ բոլոր հարմարությունները, տեխնիկապես հագեցած է:Сдается посуточно чистая, комфортная и светлая 2-х комнотная кватрира  без посредников в г. Масис. В наличии все необходимые бытовые принадлежности: Техника,   Wi-Fi,локальная отопительная система BAXI, кондиционер.",Dec-12-2022_23-08,,,,,https://list.am/en/item/18493420,,3,No,No,By Agreement,By Agreement,
Stone,No,Not available,5,65 sq.m.,2,1,from 2.8 m,5,Closed balcony,Partial Renovation,"Գործարանային փողոց 43, Մասիս","130,000 ֏ monthly",AMD,"An apartment in the city of Masis is for rent, furnished with all utilities, negotiableTranslated from Armenian",Dec-12-2022_23-08,Available,"Stove, washing machine",Yard view,,https://list.am/en/item/18436118,Television,3,Yes,Yes,Not included,1 month,
