Type,Land Area,Service Lines,Address,Price,Currency,Description,Datetime,Links
For Residential Development,405 sq.m.,,Armavir › Echmiadzin,"$32,000",USD,"A 405 square meter land plot is for sale in Echmiadzin, on Charents 1st line. All the communications are attached.Code 17308Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17859724
For Residential Development,570 sq.m.,,"Շարլզ Ազնավուր փողոց, Փարաքար","$19,000",USD,"The address is indicated on the map. 11 kilometers from Yerevan, a plot of land in Parakar, 570 square meters (without an intermediary) At the moment it is agricultural, but it is possible to develop. All utilities pass directly in front of the land (water, electricity, gas) The plot is located in a very good neighborhood. Paraqar, Paraqarum, Parakar, Parakarum.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18265118
Agricultural,8000 sq.m.,,Armavir › Shahumyan,"$8,400",USD,"The land is privatized. Located in Shahumyan village, 30*270 meters, plain. There is water.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17868304
Agricultural,"17,000 sq.m.",,Armavir › Hatsik,"16,750,000 ֏",AMD,"Land for sale, Armavir Marz. Hatsik 6000 sq/m 15-year-old apricots and peaches 8000 sq/m 6-year-old apricots and peaches 3000 sq/m Victoria type plums 6 years old. There is no problem with irrigation water, it also has the possibility of artesian water, the price is negotiable.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18305612
For Industrial Use,700 sq.m.,,"Hanrapetutyun street, Armavir","$30,000",USD,"For sale is a workshop for garden support, water meter observation well, streams with auxiliary equipment.The land occupies an area of 700 sq/m, but it is fenced 400 sq/m.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18343879
For Residential Development,2600 sq.m.,,Armavir › Tandzut,"$12,000",USD,"Aygeshat village of Armavir region, in the middle of Armavir and Tandzut villages. 2 pieces of 1300 m = 2600 square meters of adjacent land, connected, privatized, about 80 fruit trees. The minimum annual income from the harvest of trees is 5-8000 USD. 2 side road, irrigation canal right next to it, no watering problem. Light and gas at a distance of 50 meters. Suitable for private house, greenhouse, dryer. High quality soil.Village Aygeshat / Armavir /, plot of land 2400 sq. M., 80 fruit trees, annual minimum income 5-8000 $, it is possible to build a house, dachu, teplicu, dryer for dry fruits...:Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/16950168
For Residential Development,5500 sq.m.,"Electricity, water supply, sewerage",Armavir › Geghakert,"$230,000",USD,"Կոդ` B-23434Վաճառվում է բնակելի կառուցապատման նշանակության հողատարածք Գեղակերտում։ Ունի շինություն (25քմ), 3 ջերմոց (1200քմ), այգի՝ պտղատու ծառերով, ջրավազան, լողավազան, պարիսպ, եռաֆազ հոսանք, գազի հնարավորություն, խմելու և ոռոգման ջուր։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A residential construction meaning plot for sale in Geghakert. It has a building (25 square meters), 3 greenhouses (1200 square meters), garden with fruitful trees, pool, swimming pool, fence, three-phase electricity, gas possibility and is supplied with drinking and irrigation water.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_18-22,https://list.am/en/item/12192886
For Residential Development,490 sq.m.,,Armavir › Musaler,"$25,000",USD,"Կոդ՝ B-22573Վաճառվում է բնակելի կառուցապատման նշանակության հողատարածք Մուսալեռ գյուղում: Ունի քարե պարիսպ, պտղատու ծառեր, կոյուղի, հոսանք, մշտական ջուր։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A residential construction meaning plot for sale in Musaler Village. The plot has stone fence, fruitful trees, sewage, electricity and is supplied with constant water.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_18-22,https://list.am/en/item/11630467
For Residential Development,1170 sq.m.,,Armavir › Ptghunk,"$15,000",USD,Կոդ՝ B-21920Վաճառվում է բնակելի կառուցապատման նշանակության հողատարածք Պտղունք գյուղում: Բոլոր կոմունալ հարմարությունները մոտակայքում են։An residential construction meaning plot for sale in Ptghunk Village. All communications are nearby.,Dec-12-2022_18-22,https://list.am/en/item/17048253
For Residential Development,1080 sq.m.,,Armavir › Tsaghkunk,"$8,000",USD,"A plot of land near the house in Tsaghkunk, there are already built and inhabited houses in the area. There is gas, electricity and irrigation water.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18554706
Agricultural,"20,000 sq.m.",,Armavir › Armavir,"$80,000",USD,A 4-year-old productive raisin orchard is for sale in the village of Nalbandian. Exchange with Fur is possible. For more information call.Translated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/18346792
Agricultural,"10,000 sq.m.",,Armavir › Araks,"$4,000",USD,"Irrigated arable land in Araks village, Etchmiadzin, Armavir marz. /Araratian plain/ the position of the land is flat-horizontal. The deep waters are about 3 meters. By water. In the territory of the Russian Zastav. Currently, alfalfa is sown. Cotton is sown in the photo.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/9010033
For Residential Development,1824 sq.m.,,Armavir › Armavir,"$22,000",USD,"A plot of land near the house is urgently for sale in the village of Zelimahat, Armavir marzFor details (whatsapp viber)Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18607810
For Residential Development,600 sq.m.,,Armavir › Armavir,"1,500,000 ֏",AMD,The rest is a call to Vatsap or Vaber.Translated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/16001569
For Industrial Use,"16,000 sq.m.","Electricity, water supply, natural gas, sewerage",Armavir › Sardarapat,"$2,000,000",USD,"Продается производственный комплексДанные о производстве:Земельный участок (в собственности) 1,6 ГААдминистративное здание (в собственности) современная постройка 2020гСобственный газ с средним давлением и с собственным понижающим чрпСобственный трансформатор 150квт, на первой линииАртезианская скважина с глубиной 60мСобственная канализацияСистема видеонаблюденияКаменный заборАвтоматические воротаСостав эксплуатируемого оборудования:ЦехаСушилкиПечиКонвейерыВсе оборудование на заводе современное.Мы продаем готовы комплекс под производство со всем оборудованием.",Dec-12-2022_18-22,https://list.am/en/item/18593383
Agricultural,800 sq.m.,,Armavir › Musaler,"$45,000",USD,"An 800 sq. M garden with fruit trees is for sale, with its own residential accommodation, which has all the utilities. It is located in Armsvir region, 13 km from Yerevan. Call:Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18180554
Agricultural,"260,000 sq.m.",,Armavir › Merdzavan,"$500,000",USD,"The road is completely fenced. There is a 2-storey house in the area, a cottage, electric electricity, irrigation system, 6 hectares of poplar garden, 1500 trees (apricot, plum, melon, nectar, cheerful)1 c. - 1.5 $:Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/16994441
For General Purpose,300 sq.m.,,Armavir › Echmiadzin,"$10,000",USD,A 1-line land is for rent on Margara road in Etchmiadzin.Dimensions: 50 meters front 6 meters wide. The area is rented for 99 years. Exchange with a car is possible.Translated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/15076370
Agricultural,"10,100 sq.m.",,Armavir › Echmiadzin,"$30,500",USD,"Code 14956More than 1 hectare of orchard is for sale on asphalt in Aygeshat. There are apricot, apple, cherry and other big trees. There is a lawn under the trees. Weed is constantly being sold, it does not last. There is no thorn. There is water for all irrigations per year, the rent of which is 80,000 AMD for 1 year.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/14548980
For Residential Development,405 sq.m.,,Armavir › Echmiadzin,"$14,000",USD,Land near the house for saleIn the Charents district of Etchmiadzin CityThe area is 405 square metersAshotFor more information call...Code A045Translated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/17178047
For Residential Development,1230 sq.m.,,"Улица Барекамутян 45, Воскеат","$7,000",USD,"Land for residential buildings in Voskehat, 1230 sq. M.20 km from Yerevan, 2 km from Etchmiadzin, it is suitable for building an apartment and also for agriculture.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18166951
For Residential Development,1000 sq.m.,,"Улица Барекамутян 45, Воскеат","$6,000",USD,"Land for residential buildings in Voskehat, 1000 square meters. M.20 km from Yerevan, 2 km from Etchmiadzin, it is suitable for building an apartment and for agriculture.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18166953
Agricultural,"1,100,000 sq.m.",,Armavir › Mrgashat,"340,000,000 ֏",AMD,110 hectares of land is for sale.Translated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/17842711
For Residential Development,2000 sq.m.,"Electricity, water supply, sewerage",Armavir › Echmiadzin,"61,500,000 ֏",AMD,"A plot of land is for sale at the very beginning of the city of Ejmiatsin, 100 meters from the main highway. There is a workshop and an orchard on the territory, a total of 2000m. K. On the surface. It is suitable for the construction of industrial or residential premises.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18624340
Agricultural,2700 sq.m.,,Armavir › Jrashen,"$9,300",USD,"A plot of land for sale in the village of Jrashen, Armavir marz.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18231883
Agricultural,5000 sq.m.,,Armavir › Jrashen,"$5,600",USD,"5000 square meters for sale. Land in Jrashen village of Armavir marz. It is angular, the irrigation water is located near the land. The value is equivalent to 5600 dollars.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18155973
Agricultural,1500 sq.m.,,Armavir › Echmiadzin,"$40,000",USD,"The first line is land, with 135 meters of frontage with asphalt, it will become good public land after changing the designation. NegotiableTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18623495
For General Purpose,1000 sq.m.,,Armavir › Arevashat,"$10,500",USD,"1000 square meters for general use near the village ArShashatExchange is possible, PrivatizedTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17372142
For General Purpose,1000 sq.m.,,Armavir › Arevashat,"$10,500",USD,"Privatized 1000 sq. M. Is for sale or exchange. Land in Ar-Shat village of Etchmiadzin,Near the house, a few kilometers from ParakarTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/16733642
For Residential Development,405 sq.m.,,Armavir › Echmiadzin,"$26,000",USD,"AS024:K. 405 sq. M. Is for sale on Ara Manukyan Street in Etchmiadzin. Land near the house. The basement is almost ready; The price is $26,000. Negotiable.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18526079
Agricultural,"20,000 sq.m.",,Armavir › Echmiadzin,"$30,000",USD,"2 hectares hox Ejmiacni Araqs gyuxum:About 300 cherry trees have been planted, and there is still plenty of roomVery good soil for trees, greenhousesThere are 3 wells out of 3 wellsThere is also electricityContractual!Samsung Iphone:Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/14590256
For Residential Development,1040 sq.m.,,Armavir › Margara,"$25,000",USD,"Very urgently. I am not a broker. Very good, flat land. It is located at the beginning of Margara village, in a very good location. The 4th plot from the main road. It is suitable for any type of residential construction. All communications are available in the area. The Turkish border checkpoint is 1 km from the land. Negotiable for cash. Exchange with an equivalent car or at an additional cost on your part. I would also be interested in a 3- or 4-room apartment in exchange, with an additional fee from me. You can write or call for details.Exchange for a carlandPlot of landLand areaClose to homeArmavirEtchmiadzinOctoberTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/15887847
For Residential Development,1008 sq.m.,,Armavir › Echmiadzin,"$23,000",USD,"Armavir region, community Vagharshpat c. Charents 2nd district No. 1, 1 / 1.80On the left side of the road to Atarbekyan. 1 certificateTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17852329
For Residential Development,1200 sq.m.,,Armavir › Armavir,"$2,500",USD,"Residential land privatized, 40 km from Yerevan, 7 km from the Hoktemberyan bridge. Aygeshat village of Khoktemberyan. Gas, electricity, water nearby. Also suitable for agriculture. It is flat, clean land. There are residential houses next to the land. The price is final, not even 1 dram is negotiable, if the amount is not enough, look elsewhere and don't call pointlessly. Also exchange with car at extra cost from meTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/16977948
Agricultural,5500 sq.m.,,Armavir › Echmiadzin,"3,300,000 ֏",AMD,"Land by the ownerLocation near Zvartnots. Coordinates:40.177686, 44.334516:Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/7905262
For Residential Development,1000 sq.m.,,Armavir › Tairov,"$200,000",USD,Продам участокИдеальное место для любой недвижимостиТорг уместен,Dec-12-2022_18-22,https://list.am/en/item/16293134
For Residential Development,1100 sq.m.,,Armavir › Tairov,"$25,000",USD,Виноградное полеТорг уместен,Dec-12-2022_18-22,https://list.am/en/item/16294761
Agricultural,1800 sq.m.,,"Mher Mkrtchyan street, Yerevan","$35,000",USD,1800 square meters of land for sale.The land is located next to the Zvartnots airport.Partial sale is also possible.Negotiable.Call for other questionsTranslated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/18620885
For General Purpose,3500 sq.m.,"Electricity, water supply, natural gas, sewerage",Armavir › Metsamor,"$250,000",USD,"It is located at the back of the Armavir-Yerevan highway, call for detailsTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18620477
Agricultural,1600 sq.m.,,Armavir › Parakar,"$38,000",USD,Unprecedented offer + opportunity to build a residential building (6500 AMD / sq. M.) + Negotiable.Call for detailsTranslated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/17351346
Agricultural,9600 sq.m.,,Armavir › Jrarat,"6,500,000 ֏",AMD,"9600 square meters of privatized land for sale. Armavir marz, Jararat city, near Araks village, near the water well. Near the asphalt road.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18556034
Agricultural,"35,000 sq.m.",,Armavir › Armavir,"$80,000",USD,"3.5 hectares of fruit land for sale near the main canal, has its own irrigation system, three-phase electricity, a shed. The area, being adjacent to the village, is suitable for developing a farm and greenhouse economy.It is possible to exchange with an apartment in the city of YerevanTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17497847
For Public Buildings,1500 sq.m.,,Armavir › Echmiadzin,"$63,000",USD,"Echmiadzin-Yerevan, Echmiadzin-Armavir highway, 50 m front part along the highway, 1500 m2. Very convenient location for any activity. Земельный участок на трассе  Details in the videoTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17597652
Agricultural,"160,000 sq.m.",,Armavir › Tsaghkalanj,"$86,000",USD,"16 hectare village for sale. Land of significance, with all the necessary communications (water, light, gas) The main stream flows along the ground. Details in the video. Земля сельскохозяйственного назначения  Partial exchange is possible.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17590052
Agricultural,2900 sq.m.,,"Փափազյանի փողոց 1, Մուսալեռ","1,600,000 ֏",AMD,"Վաճառվում է շտապ՝ առանց միջնորդի սեփական 0,29 հեկտար վարելահող Մուսալեռ գյուղում: Հողամասը գտնվում է Երևան-Էջմիածին տանող կենտրոնական մայրուղու անմիջապես հարևանությամբ՝ դեպի Պտղունք:Գինը 1.600.000 դրամСрочно без посредника продается 0,29 га. Земля сельскохоз. Значения в Муса Лер, рядом с трассой Ереван-Эчмиадзин. Цена – 1.600.000 драм.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18222348
For Residential Development,1064 sq.m.,,Armavir › Ptghunk,"$16,000",USD,"A plot of land near the house is for saleArmavir, Musaler, Ptghunk• 1065 square meters area_• two-way road• communications are availableTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17999048
For Residential Development,750 sq.m.,,Armavir › Musaler,"$20,000",USD,"The plan of the plot is ready, a high-quality reinforced concrete foundation has been made. You can call in case of questions.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18579191
Agricultural,6000 sq.m.,,Armavir › Bambakashat,"4,000,000 ֏",AMD,"Orchard 6000 square meters for sale. M:Number of trees: 250 species: Cherry, plum, apricotgrape varieties.The age of the trees is 7-8 yearsFor more information callTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18564230
Agricultural,"20,000 sq.m.",,Armavir › Norakert,"$30,600",USD,H323:Land for sale in Norakert. The total area is 20000.62 square meters. The significance of agriculture.Code H-323Translated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/17066202
Agricultural,"18,100 sq.m.",,"Կոմիտասի փողոց 91, Նորակերտ","7,200,000 ֏",AMD,The land is suitable for planting a vineyard or other orchard. It is convenient to approach the land by the asphalt road from Sasunik village of Ashtarak.Translated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/17873386
Agricultural,9000 sq.m.,,"7-րդ փողոց 2, Նորակերտ","$15,000",USD,"Orchard with different trees, most of them are apricot-120 pieces, quince 30-40 pieces, about 20 apple trees and other fruit trees, grape vines 150 pieces. It is provided with irrigation water. It has a garden house with an area of 20 square meters of stone.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17873408
Agricultural,5028 sq.m.,,"7-րդ փողոց 3, Նորակերտ","$8,000",USD,"Orchard, apricot, apple, plum, etc. , only about 150 trees. In the immediate vicinity of the village, it is provided with irrigation water. IT HAS THE OPPORTUNITY TO EXPAND;Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17873373
For Industrial Use,3000 sq.m.,,"Admiral Isakov Avenue, Tairov","$160,000",USD,"In Parakar community, 500 m away from the main avenue leading to the airport, a plot of industrial land with a beautiful view is for sale, suitable for any type of production activity, also for newly built residential buildings.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17993123
For Residential Development,1300 sq.m.,,Armavir › Echmiadzin,"$10,000",USD,A plot of land near the house is for sale. In the village of Tsaghkunk in Etchmiadzin. For more information call.Translated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/18542959
Agricultural,"12,000 sq.m.",,"Myasnikyan St, Armavir","$18,500",USD,"Apricot orchard in Dalarik village, Hoktemberyan, Dalarik administrative areahectare 2 thousand meters90 11-year-old apricot treesCherry peach treeCut down 60 or more 3-year-old apricot treesVery urgentlyCode DP-01001Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17334367
For Residential Development,1000 sq.m.,,"1-ին փողոց, Ծիածան","993,635 ֏",AMD,The land is surrounded by fruit treesFor more information callin Tsaghkunk villageTranslated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/18100979
Agricultural,3500 sq.m.,,Armavir › Echmiadzin,"$30,000",USD,3500 sq. M. Is for sale near Zvartnots district of Etchmiadzin. M land with fruit treesTranslated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/17098854
For Residential Development,640 sq.m.,,"Շարլզ Ազնավուր փողոց 29, Փարաքար","$28,000",USD,A plot of land intended for residential construction is for sale.Flat plot of land. All utilities are close by.It is located near the airport of Paragar village.Translated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/18436124
Agricultural,3000 sq.m.,,Armavir › Norakert,"$5,500",USD,"A cultivable vineyard is for sale on Aram Manukyan street, Zvartnots. There are apartments nearby. At a distance of 50 m there is light and water. The soil is very fertile. It is also very suitable for greenhouse construction. Price $ 5500, negotiable.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17738677
For Residential Development,1750 sq.m.,,Armavir › Armavir,"$35,000",USD,"Land for sale 1750qm 600 600qm near the house in Parakar, on the way to the airportTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/14475929
For Residential Development,405 sq.m.,"Electricity, water supply, natural gas, sewerage","Եղիշե Չարենցի փողոց, Վաղարշապատ","$21,000",USD,"K. Echmiadzin, Charents district. 802 square meters for the building next to the house. M, partial sale is also possibleTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18609186
Agricultural,"162,000 sq.m.",,Armavir › Echmiadzin,"$400,000",USD,"Agricultural land for sale in Zvartnots district of Vagharshapat, the total area is 16.2 ha, all documents are available, three-phase electricity, drinking water, own artesian water. FOR URGENT SALE.There is a 1-story private house on the landTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18572642
Agricultural,"100,000 sq.m.",,Armavir › Mayisyan,"$220,000",USD,"10ha of agricultural land is for sale near Metsamor-Armavir road, between Metsamor city and Mayisyan village. There is a separate road from the highway to the land. Sold as a whole only. Price: $220,000.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18488441
For Residential Development,400 sq.m.,,"Երիտասարդության փողոց, Մերձավան","6,000,000 ֏",AMD,"400 sq. M. Flat land near the house for sale in Merdzavan, residential district, front part 22 meters, with all communal facilitiesTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/13419772
For General Purpose,2500 sq.m.,,Armavir › Aghavnatun,"$18,000",USD,"A plot of land is for sale, together with a house, the area is located in Armavir marz, Aghavnatun village, the area is 2500 square meters, there are various types of fruit trees on the plot (pears, apples, quinces, apricots, peaches, plums, grapes, pomegranates, poppy seeds, almonds, black currants) fully planted with alfalfa under the trees (first mouth), permanent irrigation water, light, the area is monitored by cameras, has a night light, sold together with the cabin, the cabin is in good condition, habitable, is given with the property (2 wooden cabinets, table and chairs, TV with stand, refrigerator (newly bought, sofa, bed) door and windows with bars, the area is not only suitable for living, but also very suitable for use as a recreation area, call for detailsTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18421285
For Residential Development,7000 sq.m.,,Armavir › Tairov,"$120,000",USD,"The total area of the land is 7000 square meters, of which 3000 square meters is residential construction (near the house) land, and the rest is agricultural. Now the entire plot is a productive apricot orchard. It is located 400 m from Tsovakal Isakov main highway.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17750466
For Residential Development,400 sq.m.,,Armavir › Armavir,"$3,500",USD,Продам земельный участок для строительства дома. Есть все необходимое коммуникации (газ вода электричество канализации),Dec-12-2022_18-22,https://list.am/en/item/16712802
For Residential Development,1410 sq.m.,,"Echmiatsin Highway, Khoronk","2,200,000 ֏",AMD,"Land plot for sale near Echmiadzin village in Aratashen, call for questionsTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17910091
Agricultural,1000 sq.m.,,Armavir › Mrgastan,"2,000,000 ֏",AMD,All utilities are nearbyTranslated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/18591089
For Residential Development,1200 sq.m.,,Armavir › Echmiadzin,"$6,000",USD,"Land for sale in Armavir region5 km away from EtchmiadzinCommunity Khoronk / LenughiIt is the second community after Etchmiadzin1200 square meters near the houseIrrigation water, electricity, addressTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/15674950
Agricultural,"10,000 sq.m.",,Armavir › Armavir,"$85,000",USD,"A greenhouse with an area of 1800 square meters is for sale in the Zvartnots community of Armavir marz, the gas is connected, the water is nearby, it is sold urgently.Code F-1073Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18327751
For General Purpose,5200 sq.m.,,Armavir › Armavir,"$31,000",USD,"Land near the house with a view of Mount Ararat, in Hatsik (Nairi) community of Armavir.5 km from the regional center of Armavir, completely paved. From Yerevan: 50 km, in a direct line.The sides of the plot: 80X65m = 5200 m2 (0.52 hectares) Sale in whole or in part, in the amount preferred by the buyer.The land is completely flat, without stones, permanent irrigation water, netted, drinking water and e. Fast power supply.The soil is very fertile, it has no defects, it is suitable for all possible crops growing in the Ararat Plain. There are productive trees on half of the area: Peach trees, apple trees, apricot trees.With the permission of any building. It is suitable for the construction of private houses, guest houses, greenhouses, and the establishment of a garden.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/12779406
For Residential Development,780 sq.m.,,"2nd Street 9, Musaler","$23,000",USD,"Urgent sale of a plot of land near the house in Musalee, a residential neighborhood near the school next to the central roadTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18019402
For Residential Development,1880 sq.m.,,"Echmiatsin Highway, Khoronk","$6,000",USD,The land has a two-way road. It is located very close to the village... It is intended for the neighborhood. Price is negotiable.Translated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/16800664
Agricultural,6000 sq.m.,,Armavir › Echmiadzin,"$6,500",USD,"For more information call …. It is located in the State Plant, read it carefully and then call.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17886940
For General Purpose,2000 sq.m.,,Armavir › Echmiadzin,"$17,000",USD,"The plot of land is located on Margara road (next to the biga mushroom house), for details call the indicated number.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17886102
For General Purpose,48 sq.m.,,"Charents street, Vagharshapat","$7,000",USD,"The land is located in the area adjacent to the 15th building, there is gas, electricity and sewerage on the school road. The front of the plot is 8m, and the length is 6m. A two-car garage or garage can be built. The price is not final, I will listen to offers.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17753791
For General Purpose,1440 sq.m.,,Armavir › Haykashen,"$6,000",USD,"Land area:It is empty land,For details, call the indicated phone numberThe land is privatized.PRICE CONTRACTUALTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17666282
For Residential Development,920 sq.m.,,"Echmiatsin Highway, Khoronk","$8,000",USD,"Code-VM1011Land for saleArmavir, Etchmiadzin Tsaghki St.• 920 square meters area_• close to homeCommunicators are closeTranslated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18447347
Agricultural,"52,000 sq.m.",,"Armavir-Gyumri Highway, Karakert","$18,000",USD,Հարևանությամբ գտնվում են պտղատու այգիներ: Ունի ոռոգման հնարավորություն: Բնակավայրից հեռու է ընդամենը 1-2 կլիոմետր:,Dec-12-2022_18-22,https://list.am/en/item/18173975
For Industrial Use,"10,000 sq.m.",,Armavir › Sardarapat,"$2,600,000",USD,"Code H322:Land with fruit trees is for sale in Talvorik community. The total area is 58,000 square meters. There are 15,460 fruit trees in the area: Cherries, apricots, peaches, prunes. There is also ․ in the area substation, negative temperature and ordinary refrigerators, security watchtowers, drying and packaging plant, artesian water, light, gas.Code H-322Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17046672
Agricultural,2700 sq.m.,,Armavir › Parakar,"$125,000",USD,"The land is located next to the Yerevan-Echmiadzin highway, right on the roadside. The front part is 25.5 linear meters, very easy, any size and any part can be changed public or production.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18519120
For Residential Development,2000 sq.m.,,Armavir › Echmiadzin,"$133,000",USD,"A half-built building is for sale on the front line of the October Yerkhanyan highwayLand 2000 sq. M. Building 120 sq. M. It has a deep, three-phase electricityCode H067Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17349404
For Residential Development,400 sq.m.,"Electricity, water supply, natural gas, sewerage","Մեսրոպ Մաշտոցի փողոց 151, Արմավիր","4,500,000 ֏",AMD,"A plot of land near the house is for sale at 83 Mashtots pozots, former Leninaka, Armavir city. There is electricity, gas, water, sewer near the plot near the 8th school.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18598407
For Residential Development,1800 sq.m.,"Electricity, water supply, natural gas","Մեսրոպ Մաշտոցի փողոց 22, Գեղակերտ","$6,500",USD,"1800 square meters of land for sale, 1500 square meters of which is now a strawberry garden. There are also productive trees on the land, the price is negotiable, it is sold urgently.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/18598377
For Residential Development,600 sq.m.,,Armavir › Armavir,"$17,000",USD,Տնամերձ հողատարածք. Պարսպապատ է. Այգին ունի բազմատեսակ բերքատու ծառեր. Դարպաս. Շինություն նոր կառուցված 32 քմ. Ոռոգման ջուր.,Dec-12-2022_18-22,https://list.am/en/item/14186428
For Residential Development,1060 sq.m.,,Armavir › Ptghunk,"5,500,000 ֏",AMD,"The land is intended for residential construction. The number of newly built houses in the area is growing. Electricity and gas pass right next to the land, and water is very close.Translated from Armenian",Dec-12-2022_18-22,https://list.am/en/item/17937426
Agricultural,"10,000 sq.m.",,Armavir › Yeraskhahun,"$5,000",USD,Agricultural landTranslated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/18515019
For Residential Development,1200 sq.m.,,Armavir › Gai,"$5,500",USD,Land near the house is for sale very urgently. 1200 square metersTranslated from Armenian,Dec-12-2022_18-22,https://list.am/en/item/17887490
