Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links,Parking,Construction Type
Retail Space,100 sq.m.,"Խաչատուր Աբովյանի փողոց 16/2, Արթիկ","$130,000",USD,For sale or rentTranslated from Armenian,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18135438,,Stone
Restaurant,600 sq.m.,Shirak › Horom,"$85,000",USD,"The restaurant occupies 600 square meters. M. Surface. The area is fully renovated, provided with constant water and gas. It has a separate tiled bathroom. It has 2 entrances: From the street and from the porch. It is sold together with furniture and appliances. There is a free space for parking cars in the yard. Suitable for any commercial activity. Price negotiable.Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Common from the Courtyard,,,,,https://list.am/en/item/18623031,Outdoor parking,Stone
Functioning Business,3323 sq.m.,Shirak › Akhuryan,"$1,300,000",USD,"PROPERTY INCLUDED IN THE SALE PRICE and KITCHEN EQUIPMENT ․․․OPERATING RESTAURANT ARAGATS COMPLEX FOR SALE IN AKHURYAN 400 meters away from Gyumri ՔաղաքThe total area of the land is 3323 square meters, the total area of the building is 997 square meters. The whole area is capitally renovated, provided with appropriate furniture and appliances. The restaurant has a waiting room, a large hall, 6 banquettes, a separate room for the director. All the communications are brought, it has central heating and ventilation system, it is tiled with 4 bathrooms, the kitchen has all the necessary utensils. Euro door, euro windows, three-phase electricity are installed, there is a basement of 250 sq. M. The security system operates with separate stone fences. There is a barbecue in the restaurant and outside and inside.Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/12173053,,Stone
Multifunctional Space,2000 sq.m.,"Չայկովսկու փողոց 14/1, Գյումրի","$200,000",USD,"3 separate service areas in 1 common project are for sale in the textile district near the gas office.The first service hall serves as a car wash with all its equipment 126 sq/m land area and 110 sq/m car wash...The second hall serves as a mushroom growing area 88 sq/m of land and 71 sq/m for maintenance...The third serves as a carpet dryer and service point 700 sq/m land area 90 sq/m residentialAreas are used separately, 1 complete structure is also possible. There is also an additional plot of land with an area of 1000 sq/m. The area has three-phase electricity, electricity, gas, water and individual heating system and security system...Translated from Armenian",Dec-12-2022_20-39,By agreement,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/16989843,,Stone
Industrial and Manufacturing,800 sq.m.,Shirak › Maralik,"$70,000",USD,"A two-storey stone building (former Maralik settlement council building) is for sale. The building is gasified, has three-phase electricity, permanent water and sewerage. The building used to have a bakery and a door-window factory. Part of the building is suitable for the house and the other part for the workshop. Exchange is also possible.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17335531,,Stone
Functioning Business,47 sq.m.,"Չարենցի փողոց 22, Գյումրի","21,500,000 ֏",AMD,"An existing pharmacy is for sale in Charents 22, District 58.Sold with all medications, fixtures and appliances.The loft also has a separate entrance from the outside.Three-phase power is available.Only the area can be sold.For more information callTranslated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18624983,,Stone
Agricultural Space,1200 sq.m.,Shirak › Hovuni,"$50,000",USD,Cattle farm with all its facilities for saleTranslated from Armenian,Dec-12-2022_20-39,Not available,Not available,Other,Separate from the Street,,,,,https://list.am/en/item/18687285,,Bricks
Industrial and Manufacturing,840 sq.m.,"Ghukasyan street, Gyumri","50,000,000 ֏",AMD,"Продается коммерческая недвижимость/помещения в центральной части города, в производственной зоне.Оно состоит из нескольких секторов с разными потолками. Общая площадь недвижимости 850м"". Длина 22 м на ширину 42мПлощадь строений 420м"". Двор 430м"" с высокими заборами. Вход во двор и с калики и с ворот. Длина ворот 4м. Имеется 2 входа в производственное помещение. В настоящее время сдана в аренду на производство фурнитуры/ мебели.",Dec-12-2022_20-39,Not available,Not available,Second Line,Common from the Courtyard,,,,,https://list.am/en/item/18451349,,Stone
Multifunctional Space,610 sq.m.,"Schedrin street, Gyumri","$330,000",USD,"Dear Buyer,A multifunctional business complex is for sale in Gyumri, on Shchedrin street, together with 4 adjacent entertainment and service businesses.There are and leased commercial premises and operating businesses, stable and high income. The estimated cost of the building before the renovation was 118,000,000 AMD, and the liquidation was 88,500,000 AMD.The area is two-storey:Ground floor: Operating guest house, which has 2 bedrooms, loft-style brand new complete furniture, necessary dishes, kitchen, bathroom, security video surveillance system2 existing saunas with separate entrances, with their own swimming pools and boilers, completely new property, built in accordance with all standards. The bathrooms are equipped with modern filtration systems and are heated.130 square meter playground with a separate entrance from the street with all its equipment, furniture, tennis tables, billiard hall.Second floor. The spacious gym, equipped with modern exercise equipment, has a dressing room, baths, bathroom, etc.The building is fully renovated, has a closed parking lot of 80 sq. M. Մ. Or for 6 cars.It is possible to sell it together with the whole or part of the property+ Three-phase current+ Separate heating systems and Electricity distribution which allows to count the communal flowers of all the halls separately+ Heating floor (heated floor)+ Gas, water, electricity. Energy+ Separate ventilation systems for all rooms+ Remote control systems are installed for ventilation, electricity շարք a number of other necessary operationsFor further questions, please call or write.Sincerely, POWERFUL HOUSE REAL ESTATE AGENCY.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/16451209,,Stone
Retail Space,18 sq.m.,"Shirakatsi street, Gyumri","$5,000",USD,Продаётся магазин в 8-ой городке в городе Гюмри. Продоётся вместе с полками или без. Интересует обмен с машиной. По вопросам звоните.,Dec-12-2022_20-39,Available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/17616491,,Bricks
Retail Space,45 sq.m.,"Квартал Муш 2 4/32, Гюмри","$30,000",USD,1 room (in the kitchen with heating boiler) is located in front of the square. Stairs with iron door with two entrances.Translated from Armenian,Dec-12-2022_20-39,By agreement,Not available,Other,Separate from the Street,,,,,https://list.am/en/item/16782412,,Monolith
Agricultural Space,2500 sq.m.,Shirak › Jrarat,"$140,000",USD,"A barn of 2500 square meters with all its amenities is for sale, the total area is 10000 square meters, there is a house with an area of 150 square meters, the area is fenced, it is suitable for keeping large and small cattle.Translated from Armenian",Dec-12-2022_20-39,By agreement,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/17439156,,Panels
Functioning Business,100 sq.m.,"Ереванское шоссе 117/7, Гюмри","$90,000",USD,"Продам магазин с оборудыванием и сзапчастами, готовый бизнес в г. Гюмри автосервис и магазин в одном помещении, обшая площадь 100кв. Есть все необходимое (подёмник, прес, компрессор, кран для снятия мотора, видеонаблюдение, сигнализация и всё необходимое), санузел, ворота электрические. Отдельное здание!",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18468702,,Stone
Functioning Business,300 sq.m.,"Ղանդիլյանի փողոց 49, Գյումրի","$210,000",USD,"Commercial space for sale, which is currently a guest house. The common property has 3 privatization certificates (Ghandilyan 49/2, 49/3, 49/4, 49/5) It is located along the 1st floor of a 5-story building on Sevyan Street. The total facade part is 24 meters. Capital renovated. Sold with furniture. The guest house has 6 bathrooms. The possibility of space is diverse. Day. There used to be a supermarket in the first and second sections. The space can also be used for various businesses. Now in excellent condition, it operates as a highly rated guest house.Translated from Armenian",Dec-12-2022_20-39,Available,Not available,Other,Separate from the Street,,,,,https://list.am/en/item/18233063,Outdoor parking,Stone
Retail Space,714 sq.m.,"Տերյան փողոց, Գյումրի","5,000 ֏",AMD,"Operating business commercial space, located in the central part of the city, line 1, with a frontage of about 35m, has 4 entrances, of which 1 is completely separated, the back entrance with a separate bathroom is fenced from the yard, with automatic remote control gates, separate storage areas, there is a 2-story utility room attached. 2-room renovated and furnished apartment with all amenities. The area can be used for different purposes, both shared and separate. The roof is new tin, there is a possibility to park cars in the yard. Call for detailed information.The price is negotiableTranslated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/15866321,,Stone
Industrial and Manufacturing,220 sq.m.,Shirak › Akhuryan,"$25,000",USD,"4 boxes are for sale, inside there are all the necessary materials for making concrete slabs. You can buy only the real estate, but if you want, I will sell all the tile production equipment and the business togetherTranslated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18149896,,Stone
Retail Space,20 sq.m.,Shirak › Gyumri,"$4,000",USD,It is in very good condition.Translated from Armenian,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18405209,,Cassette
Everything Else,27 sq.m.,Shirak › Gyumri,"750,000 ֏",AMD,"Продается бытовка (домик, тнак) 9х3. Конструктив металлический (утепленный) в отличном состоянии. Самовывоз. СРОЧНО!",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18400069,,Cassette
Industrial and Manufacturing,2600 sq.m.,Shirak › Gyumri,"$120,000",USD,"Livestock farm for sale or exchange, built by Palyak in 1994, all facilities are availableTranslated from Armenian",Dec-12-2022_20-39,Not available,Not available,Other,Separate from the Street,,,,,https://list.am/en/item/17102630,,Panels
Multifunctional Space,1600 sq.m.,Shirak › Azatan,"$750,000",USD,"Продается участок с каменным зданием общая площадь участка 2 гектара площадь помещения 1600кв находится на трассе Гюмри Ереван! Предназначенное для гостиницы, ресторана, промышленного производства и пр… территория оснащена водой светом и газом огорожен забором 7 км от аэропорта звартноц Ширак 10 км от города Гюмри, пишите отвечу быстро",Dec-12-2022_20-39,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18670093,Outdoor parking,Stone
Retail Space,50 sq.m.,"Charents street, Gyumri","$37,000",USD,"(Urgent! ) The area for sale is suitable for a shop, a warehouse office. Next to Photon College. For more information call. Price on requestTranslated from Armenian",Dec-12-2022_20-39,By agreement,Not available,Second Line,Separate from the Street,,,,,https://list.am/en/item/14829052,,Stone
Functioning Business,70 sq.m.,"Մանուշյան փողոց 16Ա, Գյումրի","$49,000",USD,"For more details on Gortsokh business close shop, call the mentioned phone numberTranslated from Armenian",Dec-12-2022_20-39,Available,Available,First Line,Common from the Street,,,,,https://list.am/en/item/15992427,,Stone
Everything Else,39 sq.m.,"Ankakhutyan Street, Artik","$36,000",USD,"A stone building is for sale in the city of Artik. It has all utilities: Gas, electricity, water. As well as the possibility of building a second floor and expanding the area. For details, call the indicated phone number.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18457174,,Stone
Functioning Business,91 sq.m.,"Площадь Автовокзал, Гюмри","$25,000",USD,"All utilities are available. It has a semi-basement and a first floor, call for details.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/17513966,,Stone
Office Space,131 sq.m.,"Գարեգին Նժդեհ պողոտա 8, Գյումրի","$120,000",USD,"Commercial area for sale in c. Gyumri, Garegin Nzhdeh 8, total area - 131 square meters.The area is fully repaired, bright, with all utilities, there is central heating, hot and cold water, the floor of the hall is heated.Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/17908540,,Stone
Multifunctional Space,160 sq.m.,Shirak › Artik,"$70,000",USD,The new building was completely renovated in 1 yearTranslated from Armenian,Dec-12-2022_20-39,Available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18597116,Outdoor parking,Stone
Retail Space,150 sq.m.,"Ավտոկայան հրապարակ, Գյումրի","$23,000",USD,"Canteen for sale or exchange for 1-2 room apartment in District 58, do not offer anywhere else, also exchange for a car for an additional fee from youTranslated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/16200089,,Stone
Automotive Service,400 sq.m.,"Վազգեն Սարգսյան փողոց 52/5, Գյումրի","$18,000",USD,"Price is negotiableThe area is a half-built stone, 96 square meters, used as a ruin.Only real buyers should call.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/16891514,,Stone
Agricultural Space,3000 sq.m.,Shirak › Shirakavan,"10,000,000 ֏",AMD,"The cattle ranch has 3000 square meters of land. The permanent cattle barn is designed for 32 people. The barn is 250 square meters, with an adjoining room, salt and wood. In a word, a very convenient place. Seeing the rest. We will adjust to buy.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,Other,Separate from the Courtyard,,,,,https://list.am/en/item/17533820,,Stone
Multifunctional Space,36 sq.m.,Shirak › Gyumri,"1,950,000 ֏",AMD,Продаются финские домики в отличном состоянии.,Dec-12-2022_20-39,Not available,Not available,Other,Common from the Street,,,,,https://list.am/en/item/18318102,,Wooden
Hotel,160 sq.m.,"Աճեմյանի փողոց 26, Գյումրի","$75,000",USD,"Дом находится в историческом центре города Гюмри։ вблизи находится парк Горького, из Центральной площади пешком 5 минут рядом знаменитый балкон из фильма варем марем можно использовать как офисное или Гостиничная гостевая или как it-компания рассматриваем варианты аренды на долгосрочный срок",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18319994,,Stone
Functioning Business,54 sq.m.,Shirak › Gyumri,"$50,000",USD,"Operating business (guest house) for sale, 2 separate 1-room apartments, located in Independence Square, completely renovated, sold together with the property.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18074564,,Stone
Retail Space,28 sq.m.,Shirak › Gyumri,"$45,000",USD,Commercial area Ghandilyan 77 building apartment 14Translated from Armenian,Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/15080560,,Stone
Industrial and Manufacturing,4200 sq.m.,Shirak › Artik,"100,000,000 ֏",AMD,"Production area, factory next to Стекломаш factory. It can also serve as a storage room.The size of the land is 10,000 square meters.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18628225,Outdoor parking,Panels
Agricultural Space,280 sq.m.,Shirak › Hayrenyats,"$30,000",USD,Cattle barn in excellent condition for sale.Translated from Armenian,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18400410,,Stone
Office Space,116 sq.m.,"Tigran Mets Avenue 8, Gyumri","$85,500",USD,"This area of public importance is for sale on Tigran Metsi street, on the first line, next to Jandaz. The surface area is 116 square meters. The building has been thoroughly renovated, the entire area is tiled, Euro doors, Euro triple-glazed windows have been installed. The building has 1 tiled bathroom, 1 kitchen and 3 halls and offices. The building is very suitable for use as an office, hairdressing salon, dental clinic, office and other purposes.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18626066,Outdoor parking,Stone
Multifunctional Space,700 sq.m.,Shirak › Artik,"$140,000",USD,"700m commercial space is for sale in Artik.There is no operating restaurant, bistro, bakery, supermarket, hardware store, furniture store in the area. All communications are available. With appropriate investment, it is possible to start a profitable business in the area.The building can serve as a restaurant, supermarket, motel + hostel, auto repair shop, hardware store, furniture store, workshop, etc.There is a European windows workshop in the area, the equipment of which is also sold.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18325193,,Stone
Functioning Business,1272 sq.m.,"Պարույր Սևակի փողոց 4Բ, Գյումրի","$590,000",USD,"This two-storey building is for sale in Ani district, next to the Pedagogical Institute. Մ. Land area and 250 sq / m residential. The first floor of the area served as a restaurant complex and cafe, the second floor banquettes նջ bedrooms, the whole area is tiled, there are bathrooms, kitchen, tonratun, storage area. There are banquettes on the floor and hotel rooms. There is three-phase electricity, the whole area is renovated and furnished. The whole area of the building is fenced, there are adjacent buildings. It can be used for all kinds of services ․․․Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/15583830,,Stone
Industrial and Manufacturing,10 sq.m.,Shirak › Maralik,"$20,000",USD,"Three-storey apartment for sale. A mill on Kolekomenikani street in Maralik city. There are also other buildings in the area. It is provided with constant water, electricity, three-phase electricity, sewage. The premises and buildings are also suitable for other business activities.It is also possible to exchange for a plot of land in Moscow or an equivalent car.Price: Negotiable. Can also be rented.CALL WEYBERTranslated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18135477,,Stone
Restaurant,714 sq.m.,Shirak › Artik,"$120,000",USD,Restaurant for sale in Artik.Translated from Armenian,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17464646,,Stone
Industrial and Manufacturing,"20,000 sq.m.","Baghramyan street 1, Artik","$50,000",USD,"Building 800 square meters35,000 square meters of land5 hulls on 24/12three-phase current, constant waterthe whole area is fenced with reinforcement.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/15178967,,Panels
Office Space,15 sq.m.,"Shirakatsi street, Gyumri","$10,000",USD,"For sale pavilion with euro windows, without utilitiesTranslated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/14456653,,Stone
Agricultural Space,536 sq.m.,Shirak › Haykavan,"11,957,058 ֏",AMD,"The property is a Bank Collateral that is in BANKRUPTCY auction.Livestock building, 535.94 square meters, plot of land: 2700 square meters, located at No. 23, 3rd floor, Haykavan, Shirak marz, community Akhuryan. The building is one-story, the windows are wooden, the entrance door metal gate is in good condition, the floor is concrete, there is no interior decoration, the general condition is bad, there is electricity and water supply.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,Other,Separate from the Courtyard,,,,,https://list.am/en/item/18255924,,Stone
Hotel,300 sq.m.,"Մյասնիկյան փողոց, Գյումրի","57,000,000 ֏",AMD,"In the center of the city, a two-story private house built of black hewn stone with a total area of 240 is for sale.It has a large yard, an auxiliary building in the yard, 80 square meters, a basement of 100 square meters, European windows, a stone garage of 21 square meters, B. H, gas, light, water, privatized.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17902493,,Stone
Industrial and Manufacturing,100 sq.m.,"26 St, Amasia","$32,000",USD,Production buildingTranslated from Armenian,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18538922,,Stone
,,Shirak › Gyumri,"120,000 ֏",AMD,Ծանր ծուխ փչող սարք,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/15524068,,
Functioning Business,150 sq.m.,"Պարույր Սևակի փողոց 2, Գյումրի","$45,000",USD,"In Ani district, near the Pedagogical Institute, this apartment and commercial area are for urgent sale. The total area of the apartment is 113 sq/m, of which the public area is 34 sq/m, there is a private basement with a separate entrance, tiled area of 34 sq/m. It is provided with all necessary communications. There are euro and iron doors, euro windows at the entrance. The whole area and the bathroom are tiled.Many shops, restaurants, cafes are also nearby.THE AREA IS SUITABLE FOR ALL TYPES OF ACTIVITIES...Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/15767064,,Monolith
Office Space,100 sq.m.,Shirak › Gyumri,"$70,000",USD,"ՀՆԱՐԱՎՈՐ Է ՓՈԽԱՆԱԿՈՒՄ ԵՐԵՎԱՆՈՒՄ ԲՆԱԿԱՐԱՆԻ ՀԵՏ։Տիգրան Մեծի փողոցի վրա՝ Բասեն խանութի դիմաց, վաճառվում է Ժամանակին Գործող Սրճարան, որը կոչվում է ""2*2"" Այն բաղկացած է 2 հարկերից։ Շինության ընդհանուր մակերեսը կազմում է 100 քմ է։ Ողջ տարածքը կապիտալ վերանորոգված է, ապահովված համապատասխան կահույքով և տեխնիկայով։ Երկրորդ հարկում կա 6 առանձնացված սենյակներ յուրովի ձեվավորված։Առաջին հարկում սպասասրահ և մեծ զալ։ Բոլոր կումինիկացիաները անցկացված են, ունի ջեռուցման և օդափոխման կենտրոնացված համակարգ, սալիկապատված 2 սանհանգույցով, խոհանոցում կա բոլոր անհրաժեշտ պարագանները։ՍՐՃԱՐԱՆԻ էքստերիորը և ինտերիերը էլ ավելի շքեղ են երևում երեկոյան, քանի որ ձևավորված են գեղեցիկ լուսային էֆեկտներով։Տեղադրված է եվրո դուռ եվրո լուսամուտներ հասանելի է ինտերնետ հանգույցը, սրճարանի դիմաց կա ավտոկայանատեղի, ինչպես նաև մանղալ։Վաճառքը գույքի հետ միասին։",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/12613008,,Stone
Industrial and Manufacturing,67 sq.m.,"Դուդկոյի փողոց 1/2, Գյումրի","$25,000",USD,"Public area for sale, near the water supply, in the Boulevard district. The total area of the building is 67 sq/m, the area of the land is 100 sq/m. All communications have been completed. It has installed euro bars and wooden doors, euro windows, and is also provided with a security system. The area was previously used as a bathroom, there are 4 bathrooms, 1 tiled bathroom, the whole area is tiled, has a basement. There is a plot of land at the back of the building...Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/12031575,,Stone
Multifunctional Space,50 sq.m.,"Ջիվանի փողոց, Գյումրի","$55,000",USD,"An operating shop is for saleք ․ Jivan street, GyumriTotal area 50 square meters3 roomsMultifunctionalWith all utilitiesDryWith heating systemEuro windowsSide:LightIt is also suitable for a guest houseThe sale price is $ 55,000Code 8599Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17390620,,Stone
Retail Space,1800 sq.m.,"Երևանյան խճուղի 131/2, Գյումրի","$950,000",USD,"WITHOUT A MEDIATOR!Former ""YEREVAN"" wagonThe building is fully renovatedLand area: 4000 square metersBuilding: 1800 square metersALL COMMUNICATIONS ARE AVAILABLE: Water, electricity, gas, heating.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/10619803,,Monolith
Restaurant,330 sq.m.,"11th street, Gyumri","$200,000",USD,"Գործող ոբեկտա 280քառակուսի 100 հողատարացքովՌեստորանНовый ремонтNew remontՆոր ռեմոնտДля подробности позвоните по номерувозможен обмен недвижимости в территории Гюмриобмен на Авто G-class, S-class, W221,W222 GL-class",Dec-12-2022_20-39,Available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/14045212,Outdoor parking,Stone
Multifunctional Space,520 sq.m.,"Մովսես Խորենացի փողոց 46, Գյումրի","$250,000",USD,"Two-storey newly built multifunctional property is for sale, located in Ani district, near Trdat Chartapet street ․․․The total area of the land is 3000 sq. M., the living area of each floor is 260 sq. M.The first floor, which serves as a residential house, is capitally renovated, consists of 4 rooms. It is provided with all the necessary communications, the bathroom and the kitchen is tiled. Iron door, euro windows are installed at the entrance.The second floor needs interior decoration ․․․There are open-air parking lots by the yard, separated by stone fences. A kindergarten, a school, many shops are nearby. The place is quiet and quiet.The property can be used for various purposes, in particular for a clinic, a large laboratory, a hospital and other purposes ․․․Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17374397,,Stone
Functioning Business,20 sq.m.,"Անի թաղամասի 11-րդ փողոց, Գյումրի","$10,500",USD,"Beauty salon for salec. Ani District, Gyumri.20 square meters. Total areaUtility with all amenitiesThoroughly reconstructedStoneWith propertyBy techniqueLightWith a heating systemWith hot and cold waterSelling price: $10,500Code 6486Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18302528,,Stone
Multifunctional Space,47 sq.m.,"Charents street, Gyumri","18,000,000 ֏",AMD,"Commercial space for salec. Gyumri, Austrian district47 square meters. Surface32 square meters. Land surfaceMultipurpose commercial spaceWith 2 different entrancesIt has a basementIt can be used for different purposesUtility with all amenitiesThoroughly reconstructedWith a heating systemEuro windowsLightSale price: 18,000,000 AMDCode 8848Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18281834,,Stone
Everything Else,973 sq.m.,"Akhuryan Highway, Gyumri","$32,000",USD,"Անասնագոմ 287 մ2, շինությունները նախատեսված են անասնապահությամբ և թռչնաբուծությամբ, զբաղվելու համար, ամբողջությամբ պարսպապատ է, ունի օժանդակ կառույցներ կերի պահեստավորման և արտադրություն կազմակերպելու համար ։ Սեփականաշնորհված է, հնարավոր է սակարկել։ Մանրամասն տեղեկություններ ստանալու համար զանգահարել։",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/15072282,,Stone
Retail Space,290 sq.m.,Shirak › Gyumri,"$145,000",USD,"ԽԱՆՈՒԹՆԵՐԸ ՎԱՃԱՌՈՒՄ ԵՆՔ ԸՆԴՀԱՆՈՒՐ ԱՌԱՆՁԻՆ ՉԵՆՔ ԴԻՏԱՐԿՈՒՄ․․․Անի թաղամասում Պարույր Սևակի փողոցում վաճառվում է 3 հատ խանութներ, որը տեղակայված է 4 հարկանի բնակելի շենքի առաջին հարկում․․․Խանութներից առաջինը հասցավորված է որպես Սևակի 18/1 և զբաղեցնում է 80ք/մ ունի առանձնացված 4 սենյակներ և սանհանգույց․․․Խանութներից 2-րդը հասցեավորված է որպես 4 տարածք և զբաղեցնում է 65ք/մ ունի առանձնացված 3 սենյակներ և սանհանգույց․․․Խանութներից 3-րդ հասցեավորված է Սևակի 18/2 և զբաղեցնում է 145ք/մ, ունի առանձնացված 7 սենյակներ և սանհագույց․․․Խանութները գտնվում են առաջին գոտում և հարմար է բոլոր տեսակի գործունեություն ծավալելու համար, կարող եք օգտագործել որպես 1 ամբողջական շինություն․․․Խանութները ունեն շենքի 2 հատվածում մուտքեր և նկուղային հատված․․․",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/14647997,,Monolith
Industrial and Manufacturing,588 sq.m.,"Ղարիբջանյան մայրուղի 3/2, Գյումրի","$250,000",USD,"Gharibjanyan Highway 2 Near the cemetery, a production area is for sale, the land area of which is 20,000 sq. M., the living area is 588 sq. M. The administrative building has 10 separate rooms, in which there is three-phase electricity, gas, water. The significance of the land is for construction and service ․․․THE AREA IS VERY COMFORTABLE FOR A CEMETERY, FOR CONSTRUCTION OR MAINTENANCE OF A CEMETERY, IT IS PRIVATIZED ․․․Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/11811621,,Stone
Multifunctional Space,422 sq.m.,"Մուսաելյան փողոց 38/4, Գյումրի","$299,000",USD,"Three-storey commercial building is for sale on Musaelyan street, near GOLDEN APRICOT. The total area of the building is 422 square meters, the land area is 191 square meters. The area of the first and second floors of the area is 272 sq / m, basement area is 149 sq / m. It is provided with all the necessary communications. Euro-iron doors, three-layer euro windows are installed at the entrance. The whole area is fully repaired, tiled and there is a tiled bathroom on each floor, each floor has an individual heating system.There is a plot of land at the back of the building. There are also many shops, restaurants and cafes nearby.TERRITORY IS SUITABLE FOR ALL ACTIVITIES ․․․Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/12069229,,Stone
Retail Space,110 sq.m.,"Vazgen Sargsyan street, Gyumri","$105,000",USD,"Commercial area for saleQ ․ Gyumri, V ․ Sargsyan st.Area of 110 square metersMultifunctional propertyWith all utilitiesCentral location:Euro doors and windowsThe sale price is $ 105,000Code 7821Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17680776,,Stone
Multifunctional Space,162 sq.m.,"Տեքստիլագործների փողոց, Գյումրի","$130,000",USD,"Commercial area for saleք ․ Gyumri, Garegin Nzhdeh street162 square meters areaUtilities for everyoneTwo entrancesSpare entrance from the yardThe sale price is $ 130,000Code 8334Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17147926,,Stone
Functioning Business,350 sq.m.,"Movses Khorenatsi Street 6, Gyumri","34,000,000 ֏",AMD,"Car wash, with its own space, there are almost all amenities (Gas, Light, Water)Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17984049,,Stone
Retail Space,6 sq.m.,Shirak › Gyumri,"250,000 ֏",AMD,Mobile cabin for rent for trade. It has all facilities. It can be installed anywhere. Call for more information.Translated from Armenian,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18519738,,Wooden
