Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links,Service Lines,Condition,Facilities
House,Monolith,335 sq.m.,3,7,2,,,No Renovation,,,,,,,"Zoravar Andranik street 15, Vanadzor","2,800,000 ₽",RUB,"Ք. ՎանաձորԶ. Անդրանիկի փողոց/ հասցեում վաճառվում է բնակելի տուն (կարող է ծառայել նաև որպես հյուրատուն)* 7սենյակ* 1031քմ/ 335քմ տուն* 2հարկ/ 3հարկի նախագիծ40°48'01.3""N 44°30'07.0""E40.800357, 44.501937Продается дом. В доме вся черновая работа выполнена.Остается включить свою фантазию вложить деньги и сделать домом своей мечты.",Dec-12-2022_21-19,,,https://list.am/en/item/14924800,,,
House,Stone,110 sq.m.,1,4,1,Not available,Not available,No Renovation,2500 sq.m.,,,,,,Lorri › Stepanavan,"$35,000",USD,"A 150 square meter stone barn is for sale in Gargar village of Lori region. Inside there is gas, water, which is free, three-phase electricity. Intended for 30-50 large cattle. There are 5 cages for pigs. Inside the barn there is a room for the worker to live. The barn windows are barred. The roof holds 500 or more bales of hay. The entire area is fenced and the land is grassy, so moose and calves graze in the yard. Adjacent to the barn is a stone coop designed for 300 or more birds. There is a half-built house of 110 square meters. It was built for the purpose of a guest house. The area allows to build a large swimming pool, cottages. Since it is located right on the Georgia-Armenia road, it is possible to have many businesses. There is a building near the road. It can serve as a bistro, shop, pharmacy, restaurant. In the yard there is a place to put tables for a bistro.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18508755,,,
Country House,Stone,165 sq.m.,2,3,2,,,Partial Renovation,600 sq.m.,,,,,,"Թելմանի փողոց 5, Ստեփանավան","$34,000",USD,2 floors on each floor bathroom 2 floors 2 bedrooms 1 living room 1 kitchen balcony 1 floor 2 rooms 1 kitchen living room 160 m2 garage 28 m2 boiler 3 m2 total area 600 m2 fertile landExchange with a car or other house for a surchargeTranslated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/17509552,,,
House,Stone,150 sq.m.,2,5,1,Not available,Not available,Old Renovation,1300 sq.m.,,,,,,Lorri › Tashir,"$5,500",USD,Շտապ երկհարկանի տուն 1300 մետր քառակուսի հոխամասով առանցին անասնագոմով ու թոնրատնով շուկայականից ցածր գնով հնարավոր է նաև փոխանակում 1500-2000 $-ի սահմանում ավտոմեքենայի հետ՝ձեր կողմից հավելավճարով հասցեն Տաշիրի շրջան գյուղ Մեծավան,Dec-12-2022_21-19,,,https://list.am/en/item/17996571,,,
House,Stone,440 sq.m.,1,3,1,,,Old Renovation,440 sq.m.,,,,,,"Улица Вардананц 1/1, Ванадзор","$35,000",USD,Privatized house with 440 sq. M. Land is for saleTranslated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/17796165,,,
House,Stone,223 sq.m.,1,2,1,,,Cosmetic Renovation,84 sq.m.,,,,,,"Zaqaryan street, Vanadzor","$50,000",USD,"The house is in a good condition, habitable, gas, water, electricity. 2 rooms, kitchen, the basement (the land is adjacent) looks to the lakes, Elkani restaurants, Lori's vacation house is very close to the house, it is located in the central part. The price is negotiable.Only those who really want to write or call.11-18:00Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18149882,,,
House,Stone,407 sq.m.,1,3,1,By agreement,2 spots,Major Renovation,236 sq.m.,,,,,,"Սայաթ-Նովա փողոց 5, Ստեփանավան","$60,000",USD,"A private house in the center of the city of Stepanavan with all utilities, renovated according to Euro standards, is for sale. The total area is 407 sq. M., the building area is 146.3 sq. M., there are 24 sq. M. M garage, spacious and large basement, windows are fully barred. There is a pavilion in the yard with its own fireplace. If desired, the house is also sold together with the property. The property is completely new.It is possible to exchange with an apartment in Yerevan. The price is negotiable.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17466712,,,
House,Stone,120 sq.m.,3,4,2,By agreement,1 spot,Old Renovation,660 sq.m.,,,,,,Lorri › Spitak,"8,800,000 ֏",AMD,"Three-story detached house, adjacent plot of 660 square meters, with fruit trees. Basement and garage on the first floor, living room and kitchen and bathroom on the second floor, 3 bedrooms and bathroom on the third floor, can be sold together with the property, water, electricity, internet is provided, the neighborhood is provided with gas, the price is negotiableTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17962805,,,
House,Stone,80 sq.m.,1,2,2,Available,Not available,Old Renovation,600 sq.m.,,,,,,Lorri › Alaverdi,"$10,000",USD,"It is located near the ""Russian school"". There is a room to add a room next to the house.It has an adjoining building, one with a bathroom (old but functioning)The second bathroom is completely new. There is a sewer.There is a gas plan, old gas pipes. You just have to apply again to connect.The house is for sale with property.EXCHANGE IS POSSIBLE WITH 1-ROOM APARTMENT IN ALAVERDI. DETAILS WILL BE DISCUSSEDTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/16750345,,,
House,Monolith,120 sq.m.,2,4,1,Not available,Not available,Old Renovation,3500 sq.m.,,,,,,"Yerevan highway, Vanadzor","$18,000",USD,"Продаётся дом монолитный, на первом этаже кухня, туалет, ванная, котельная, на втором этаже 4 комнаты, дом находится в селе Курсалы",Dec-12-2022_21-19,,,https://list.am/en/item/18216346,,,
Country House,Monolith,600 sq.m.,2,6,1,,,Cosmetic Renovation,220 sq.m.,,,,,,"Улица Матросова 1, Степанаван","$38,000",USD,Price is negotiable. For sale urgently.Translated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/17397650,,,
Country House,Monolith,90 sq.m.,4+,4,1,By agreement,Not available,Old Renovation,2600 sq.m.,,,,,,Lorri › Alaverdi,"$30,000",USD,"Summer house with 2600 square meters of land on the bank of the Debed River is for sale. The house is monolithic, 4 rooms, there is a fireplace. There is no gas. Call for details. I do not talk on the phone, idle people should not call.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18065028,,,
House,Stone,321 sq.m.,2,8+,3+,Not available,1 spot,Old Renovation,,,,,,,"Улица Нар-Доса 45, Ванадзор","17,000,000 ֏",AMD,"Продаётся большой дом в районе Димац с участком и гаражем недалеко от центра города (20-25 минут пешком до фонтанов) Отличное расположение на возвышенности.Площадь первого этажа 136 кв. М.Второй этаж 186 кв. МБоксовый гараж 40 кв. МТребует косметического ремонта и ремонта крыши.Վաճառվում է երկհարկանի առանձնատուն Դիմաց թաղամասի Նար֊Դոսի 45 փողոցում, հողատարածքով և ավտոտնակով։ Առաջին հարկի մակերեսը 136ք. Մ,երկրորդ հարկը 186քմ. Մ,ավտոտնակ 40քմ. Մ։Պահանջում է կոսմետիկ վերանորոգում և տանիքի վերանորոգում։",Dec-12-2022_21-19,,,https://list.am/en/item/18231845,,,
House,Stone,180 sq.m.,2,5,1,Not available,2 spots,Partial Renovation,130 sq.m.,,,,,,"Եղիշե Չարենցի փողոց 1, Վանաձոր","$22,000",USD,A two-storey private house is for sale in Vanadzor's Third Part district. All the utilities are available.Translated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/17170557,,,
House,Stone,105 sq.m.,1,4,1,Not available,Not available,Old Renovation,2000 sq.m.,,,,,,Lorri › Stepanavan,"$9,500",USD,Дом находится село агарак. 5 минут из гораду. Расстояние из Степанавана 7км. Удобно для дачи и для жильё. Большой огород фруктовые деревья. Вада свет. Можно сделать газификация 10 мет расстояние. На вопросы позвоните. Можно и на WhatsApp,Dec-12-2022_21-19,,,https://list.am/en/item/15865435,,,
House,Stone,100 sq.m.,1,4,1,Not available,1 spot,Partial Renovation,1800 sq.m.,,,,,,"Улица Максима Горького, Степанаван","7,000,000 ֏",AMD,Дом находится село Свердлов 9 км из города 5-8мн. Дорога асфальтированная. Очень удобное место рядом речка есть. Тихие соседи. Можно иИспользуется для дачи. Есть огород фруктовые деревья. Вода. Газ. Свет. Wi-fi. Гараж. Плюс 3 гектар пастбище это отдельная цена. Канализация. Для вопроса позвоните.Можно и на WhatsApp. Торг на месте,Dec-12-2022_21-19,,,https://list.am/en/item/15660980,,,
House,Stone,200 sq.m.,2,4,1,Not available,1 spot,Partial Renovation,5000 sq.m.,,,,,,Lorri › Margahovit,"$30,000",USD,"Partially renovated, has gas, water, electricity.Final price: $30,000Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17669192,,,
House,Stone,600 sq.m.,2,4,1,Not available,1 spot,Cosmetic Renovation,500 sq.m.,,,,,,"Տավրոս 4-ի 2-րդ նրբանցք 40, Վանաձոր","$30,000",USD,"A 2-storey house for sale in Vanadzor city, 2 floors, 4 rooms, stone, has gas, electricity, water, garden, for details call...Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18389334,,,
House,Panels,100 sq.m.,2,3,2,By agreement,Not available,Old Renovation,300 sq.m.,,,,,,Lorri › Spitak,"8,000,000 ֏",AMD,"I am selling a two-story house in the Swiss district of Spitak, it has two bathrooms: A sink and a toilet on the first floor, a sink, a toilet, a bath on the second floor, there is one bedroom on the second floor, a kitchen on the first floor, closedA balcony that can serve as a room, a dining room with a niche, according to the house plan, the house has a basement / basement, it also has a 300 square meter private plot in the area adjacent to the house.There is no registered person, the documents of the house are clean. You can find me on Facebook: Hasmik Ajamyan. My email address is: hasmik09@mail.ru. The sale price of the house is eight million drams in Armenian drams. Negotiable.Translated from Armenian",Dec-12-2022_21-19,,"Fridge, stove",https://list.am/en/item/14398771,,,
House,Stone,2000 sq.m.,1,2,1,Not available,1 spot,No Renovation,,,,,,,Lorri › Spitak,"$20,000",USD,"Վաճառվում է կիսակառույց տուն ունի մշտական ջուր խմելու և ոռոգման, լույս, գազը գտնվում է տանից ոչ հեռու։ Ունի պտղատու ծառեր և ամուր սարքած գոմ 15 խոշոր անասունի համար նախատեսած։ Ամբողջովին պարիսպապատված։",Dec-12-2022_21-19,,,https://list.am/en/item/17900897,,,
Country House,Stone,144 sq.m.,2,4,1,Not available,1 spot,No Renovation,1800 sq.m.,,,,,,Lorri › Nor Khachakap,"12,000,000 ֏",AMD,"It is located in Vanadzor Spitak intersection. Thoroughly reconstructed. There is plastered flooring, it is not installed. It needs to be repaired. Doors and windows replacedTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18627460,,,
House,Stone,800 sq.m.,1,3,1,,,Old Renovation,700 sq.m.,,,,,,Lorri › Dsegh,"$27,000",USD,The house has a view and is located in the center of the museumTranslated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/18141713,,,
House,Stone,1500 sq.m.,2,3,1,,,Cosmetic Renovation,160 sq.m.,,,,,,"Erevanyan street, Tashir","1,500,000 ₽",RUB,Продается дом.Первый этаж -каменьВторой этаж - камень/деревоДом находится на центральой дорогиНа территории имеется 2 гаражаЛетняя кухняСарайИмеется подвал под домомПо вопросам звонить по номеру телефонаРеальному покупателю торг!,Dec-12-2022_21-19,,,https://list.am/en/item/16511266,,,
House,Stone,110 sq.m.,1,3,1,By agreement,Not available,Partial Renovation,1500 sq.m.,,,,,,Lorri › Stepanavan,"6,500,000 ֏",AMD,"A house is for sale on the Yerevan-Stepanavan interstate highway, 3 km from the resort Stepanavan, in the village of Amrakit.The house is suitable for both residence and business.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17338623,,,
House,Stone,500 sq.m.,3,8+,3+,By agreement,2 spots,Partial Renovation,2000 sq.m.,,,,,,Lorri › Vanadzor,"$65,000",USD,Only real buyers should call.Call for detailsLocated near the road in SovkhozTranslated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/18035402,,,
House,Stone,140 sq.m.,2,6,1,Not available,1 spot,No Renovation,6 sq.m.,,,,,,"4th microdistrict, 4th microdistrict","$30,000",USD,"The two-storey private house is for sale, it has 6 rooms, a bathroom, a basement, a barn, a parking lot, a garden with fruit trees. The price is not final.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17084495,,,
House,Stone,479 sq.m.,2,4,1,,,Old Renovation,94 sq.m.,,,,,,"Jravazani street, Alaverdi","$22,000",USD,"The walls are basalt and tuff, garden, large yardTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18002670,,,
House,Stone,171 sq.m.,2,8+,1,By agreement,1 spot,Old Renovation,500 sq.m.,,,,,,"Հակոբյան փողոց, Վանաձոր","$30,000",USD,"The house is located between the Lakes and the monument.It has a garage and a fruit plot. There is constant gas, electricity, hot and cold water.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18296247,,,
House,Wooden,450 sq.m.,1,4,1,Not available,Not available,No Renovation,,,,,,,Lorri › Spitak,"$10,000",USD,"Fruit orchard, communal facilities.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/11698327,,,
Country House,Wooden,400 sq.m.,1,2,1,Not available,Not available,Old Renovation,400 sq.m.,,,,,,"3rd lane 3rd street, Darpas","4,000,000 ֏",AMD,"The cottage is located in the 5th row of cottages in Vanadzor Gate community. The cottage has 2 rooms, has communal facilities, kitchen (+ кладовка), bathroom. There is a concrete pantry, bisetka, productive trees on the plot.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18238793,,,
House,Stone,321 sq.m.,2,8+,2,,,Partial Renovation,1170 sq.m.,,,,,,Lorri › Vanadzor,"$42,000",USD,"The residential house is located in Tavros district, built around 2001, has a basement, self-built buildings, secured by k. B. With H's, the roof is made of tin.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18273271,,,
House,Wooden,81 sq.m.,1,3,1,,,Old Renovation,357 sq.m.,,,,,,Lorri › Darpas,"$11,000",USD,"3-room cottage... It is located in Darpas community in the Yugoslav district, it has all utilities. The facilities are in good condition. , was inhabited 3 months ago. It is located at the beginning of the district... Call between 10:00 and 18:00Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18025737,,,
House,Stone,237 sq.m.,2,4,2,Not available,1 spot,No Renovation,1000 sq.m.,,,,,,Lorri › Stepanavan,"10,000,000 ֏",AMD,"A two-story half-built private house is for sale in the city of Stepanavan, in the left bank.For more information call:Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18230700,,,
House,Stone,100 sq.m.,2,3,1,Available,2 spots,Old Renovation,500 sq.m.,,,,,,Lorri › Gugark,"$27,000",USD,"A private house is for sale together with furniture, it also has a land plot that is urgently negotiable.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17636267,,,
House,Wooden,65 sq.m.,1,2,1,Available,Not available,Old Renovation,260 sq.m.,,,,,,"Улица Григора Нарекаци, Ванадзор","$7,000",USD,"Дом находится в Село Дарпас, ул 2ая, тупик 7, коттедж 54, (газ, свет, вода)",Dec-12-2022_21-19,,,https://list.am/en/item/18414664,,,
House,Stone,80 sq.m.,1,4,2,Available,Not available,Major Renovation,500 sq.m.,,,,,,"3rd lane 3rd street, Darpas","$25,000",USD,"Own house with all utilities.In case of questions, call or write.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18610646,"Electricity, water supply, natural gas, sewerage",,
House,Stone,113 sq.m.,2,3,1,,,Old Renovation,58 sq.m.,,,,,,"Սանահին Սարահարթ թաղամաս 2/10Ա, Ալավերդի","5,350,000 ֏",AMD,"Urgent sale of a private house in the city of Alaverdi in the yard of Sanahin Sarahart 21 building (Chopani building) The house is gasified, it has not been inhabited for a long time, it needs repairs. It has an attached plot of land with a garage and a storage room.The total area is 113 square metersPrice: 5,350,000 AMDTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18371340,,,
House,Stone,102 sq.m.,1,4,1,Not available,3 or more spots,No Renovation,1650 sq.m.,,,,,,Lorri › Ghursali,"12,000,000 ֏",AMD,"Land area: 1650 square meters, house area: 101.9 square meters, basement: 50 square meters, garage: 37.3 square meters, storage room: 9.7 square meters. The house is built with earthquake-resistant zones, the thickness of the basement walls is 60 cm, the thickness of the house walls is 40 cm (tuff), the roof is made of galvanized sheet. The house also comes with 7,800 square meters of arable land in the same community. Suitable for developing a guest house or any branch of rural tourism business or for a country house. There are no problems with immigration.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17954859,,,
House,Stone,200 sq.m.,1,4,1,Not available,Not available,Old Renovation,87 sq.m.,,,,,,"Улица Вардананц 49/1, Ванадзор","$16,500",USD,Q. Vanadzor 200 sq. M. Private house in VanadzorTranslated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/16011226,,,
House,Stone,120 sq.m.,2,5,2,Not available,2 spots,Partial Renovation,270 sq.m.,,,,,,"Սունդուկյան փողոց 47, Վանաձոր","$55,000",USD,"There is no wall adjacent to the house, it is very sunny, solidly built. Sundukyan 30:00Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18190795,,,
House,Stone,140 sq.m.,2,5,1,Not available,Not available,No Renovation,1500 sq.m.,,,,,,Lorri › Metsavan,"$5,500",USD,"Зангел вотсапис. Лорва марз, Ташири тарацашрджан, гюх Мецаван",Dec-12-2022_21-19,,,https://list.am/en/item/18327737,,,
House,Stone,1200 sq.m.,2,5,2,Not available,3 or more spots,Old Renovation,1500 sq.m.,,,,,,Lorri › Vanadzor,"$25,000",USD,"The house is located in Dzoraget, 25 km away from Vanadzor. It has permanent water and electricity. I will tell the details in detail about the total land and house area. There are no problems with paperwork. I will bargain or exchange with a real buyer for a house in Vanadzor. No irrelevant and meaningless call is not given as a gift, it is not sold for 1000 drams.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17399447,,,
House,Stone,139 sq.m.,1,4,1,Available,1 spot,Old Renovation,1190 sq.m.,,,,,,Lorri › Vardablur,"$20,000",USD,"В поселке Вардаблур Степанаванского района продается жилой дом общей площадью 139 кв. М. Есть подвал, балкон. Дом находится в самом центре деревни (ворота выходят на главную улицу) От дома до озер по прямой 100-120 метров. Общая площадь придомовой территории: 1190 кв. М. На придомовой территории есть летняя кухня (отдельно стоящее строение, площадью 30 кв. М. , и хлев - 46 кв. М.) Есть газ, проведено отопление (паровое с отдельно стоящим котлом), есть ванная комната, туалет. Есть плодоносящие деревья: Яблони, груши, орех, вишня, крыжовник.",Dec-12-2022_21-19,,,https://list.am/en/item/18602551,"Electricity, water supply, natural gas, sewerage",,
House,Stone,230 sq.m.,2,6,1,Not available,Not available,Partial Renovation,3000 sq.m.,,,,,,"15-րդ փողոց 1, Արջուտ","4,500,000 ֏",AMD,"The house is located at the end of Arjut village, there is no renovation, it has 3000 m of land, it is fenced with a 1.5 m high wall, it has an iron yard with a capacity of about 25 tons, it has electricity, it has water, which is located about 300 m away from it. The rest of the questions by callingThe address is entered incorrectly in jipyTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18599762,Electricity,,
House,Wooden,600 sq.m.,2,3,1,Available,Not available,Partial Renovation,600 sq.m.,,,,,,Lorri › Lernapat,"4,000,000 ֏",AMD,NegotiableLori LernapatTranslated from Armenian,Dec-12-2022_21-19,,Stove,https://list.am/en/item/18598807,Electricity,,Barbecue oven
House,Stone,84 sq.m.,1,3,1,,,Old Renovation,,,,,,,Lorri › Vanadzor,"$16,000",USD,"One-story stone house on Rustavi street in Vanadzor, 84 sq. M.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18490380,,,
House,Stone,467 sq.m.,3,8+,3+,,,No Renovation,,,,,,,Lorri › Spitak,"$30,000",USD,"Վաճառվում է քարե տուն 467,3 ք/մ մակերեսով: Ընդհանուր մակերեսը 2380 ք/մ: Խնդրում եմ անիմաստ չզանգել: Գինը վերջնական է:",Dec-12-2022_21-19,,,https://list.am/en/item/13994343,,,
House,Stone,77 sq.m.,2,3,1,,,No Renovation,1400 sq.m.,,,,,,Lorri › Hobardzi,"3,300,000 ₽",RUB,The house is located 5. Km away from the arboretum and has cultivated land and fruit trees.Translated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/17891230,,,
Country House,Stone,300 sq.m.,2,3,1,,,Partial Renovation,150 sq.m.,,,,,,"Խնձորուտ 5-րդ փողոց, Վանաձոր","$4,500",USD,"The apartment is located in the village of Shahumyan, the price is negotiable, the size of the building is 8/4, call for detailsTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18319902,,,
House,Stone,128 sq.m.,1,6,1,Not available,Not available,Old Renovation,2180 sq.m.,,,,,,Lorri › Shirakamut,"1,676,297 ֏",AMD,"The property is at auction.Lori region, Shirakamut village, residential house at 11b / 2, 127.78 square meters, land plot: 2180 square meters. The building is one-storey, four rooms, the windows are wooden, the entrance door is metal, the inner doors are wooden, it also has ․ electricity, water, gas, part of the house without decoration. The total area is 127.8 square meters. There is a barn of 26 square meters, a garage of 26 square meters.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and actions will be performed by the successful bidder.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/14216060,,,
House,Stone,268 sq.m.,2,5,1,Not available,1 spot,Euro Renovation,1100 sq.m.,,,,,,Lorri › Lernantsk,"7,382,000 ֏",AMD,"The property is the Bank's collateral, which is in the BANKRUPTCY auction.Lori region, c ․ Lernantsq, 15 st. , residential house located at No. 3, 268․2 sq. M., land plot - 1100 sq. M. The building is two-storey, stone, the mezzanine is reinforced concrete, the roof is slate, the windows, the interior doors are wooden, metal-plastic, the floor is parquet, tiled, the bathroom is tiled, there is a heating system.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and actions will be performed by the successful bidder.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17744653,"Electricity, water supply",House is Finished,
Country House,Monolith,120 sq.m.,3,4,1,,,Cosmetic Renovation,1000 sq.m.,,,,,,Lorri › Pambak,"$40,000",USD,The house was built as a solid monolithic house after the earthquakeTranslated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/17599620,,,
House,Stone,100 sq.m.,1,5,1,Not available,Not available,Partial Renovation,1440 sq.m.,,,,,,Lorri › Vardablur,"$28,000",USD,"It is located in Lori region, v. In Vardablur.Real buyers will callCattle barn 50 sq. M.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/16826758,,,
House,Stone,93 sq.m.,1,4,1,Not available,1 spot,Partial Renovation,1550 sq.m.,,,,,,Lorri › Dzoragyugh,"$15,000",USD,"A house is for sale, it can be used as a summer house. Needs repair.There are different types of fruit trees in the garden. Call or WhatsApp for details.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18541422,,,
House,Stone,250 sq.m.,3,5,1,Available,2 spots,Euro Renovation,,,,,,,"Zaqaryan street, Vanadzor","$60,000",USD,"Цена не окончательная!Продаётся 3-ес этажный частный дом с мебелью.1-вы этаж - два больших гаража для машин, в одном гараже есть кухня.2- ой этаж- хол, зал, кухня, туалет, лестница на второй этаж.3- из этаж- хол, спальни, большой балкон на весь диаметр дома.Комнаты большие, можно переделать и получить ещё больше комнат. Нет земельного участка.Также дом подлежит обмену на квартиру в Ереване. Звонить только реальным покупателям.",Dec-12-2022_21-19,,,https://list.am/en/item/17121984,,,
House,Stone,250 sq.m.,2,5,1,,,Cosmetic Renovation,2000 sq.m.,,,,,,"3rd lane 3rd street, Darpas","$46,000",USD,"A two-storey private house is for sale urgently in Darpas community near Vanadzor. The outer walls are made of tuff, two-layer. On a solid foundation, with a large yard, spacious balconies, a summer room, a garage (designed for 2 cars) A strong wall 3 meters high was built in the lower part of the house to strengthen the foundation. It is heated with individual heating system (Petersburg system), both gas and wood, there is a fireplace in the living room. With all the necessary furniture and appliances.With the house will be given arable land, 1700 sq / m, also 2000 sq / m land suitable for cattle breeding, greenhouses or other type of business.Negotiable, exchange with a car is possible.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/15850904,,,
House,Stone,1000 sq.m.,2,5,1,,,Cosmetic Renovation,1000 sq.m.,,,,,,Lorri › Vanadzor,"$40,000",USD,Urgent Private house for sale in Vanadzor. 1000 sq. M. M Price is negotiable. Call the following number 98622360… 0Translated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/17896242,,,
House,Panels,120 sq.m.,1,3,1,,,No Renovation,120 sq.m.,,,,,,Lorri › Spitak,"1,100,000 ֏",AMD,"3-room apartment prefabricated set, panel construction, very good condition, need a home assemblyTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17437873,,,
House,Stone,135 sq.m.,3,4,2,,Not available,No Renovation,500 sq.m.,,,,,,Lorri › Spitak,"$10,000",USD,Վաճառվում է չբնակեցված առանձնատուն Սպիտակ քաղաքի Ուզբեկական Կ11 թղմ։ Հնարավոր է նաև փոխանակում բնակարանի հետ։ Մանրամասների համար զանգել։,Dec-12-2022_21-19,,,https://list.am/en/item/18422944,,,
House,Stone,80 sq.m.,1,3,1,,1 spot,Old Renovation,1400 sq.m.,,,,,,Lorri › Spitak,"$16,000",USD,"The apartment has all the communal facilities: Gas, electricity, water. There are other buildings in the area: Garage, livestock, separate kitchen, bakery, basement, fruit trees. The price is negotiable.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17798039,,,
House,Stone,158 sq.m.,2,4,1,,1 spot,Old Renovation,600 sq.m.,,,,,,Lorri › Vanadzor,"$20,000",USD,"Own house for sale in the village of Gugark. The house is equipped with all utilities. It has 3 basements, a garage, a cattle shed, the land is an orchard, it also has natural water. The price is final: 20,000 dollars. Only real buyers should call.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18386024,,,
House,Stone,300 sq.m.,2,4,2,,1 spot,Euro Renovation,700 sq.m.,,,,,,Lorri › Stepanavan,"$50,000",USD,"A cottage is for sale, there is 1 living room, 1 kitchen, 2 bathrooms, 3 bedrooms, the house has 2 floors + basement, garage and attached fenced area of 700 sq. M. M plot, furnishedTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18242083,,,
House,Stone,200 sq.m.,2,8+,1,,,Partial Renovation,3000 sq.m.,,,,,,Lorri › Aznvadzor,"$24,000",USD,"Ունի նաև նոր կառուցված, ամառային խոհանոցПродаётся частный двухэтажный дом в селе Азнвадзор Лорийская область. Земельный участок с плодовыми деревьями (орех, яблоко, груша, персик…) Площадь 3000 кв. М.Есть водаTranslated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18193443,,,
House,Stone,1500 sq.m.,2,4,1,,Not available,No Renovation,1500 sq.m.,,,,,,Lorri › Gyulagarak,"$10,000",USD,It is in normal conditionTranslated from Armenian,Dec-12-2022_21-19,,,https://list.am/en/item/17659554,,,
House,Stone,75 sq.m.,1,4,1,,Not available,Partial Renovation,480 sq.m.,,,,,,Lorri › Spitak,"7,200,000 ֏",AMD,"A private house of 480 square meters is for sale. M. With land near the house and 800 square meters. M. With auxiliary land in Spitak city. The price is negotiable. This option is also possible, that is, you pay 70% of the value of the real estate in cash, and you pay 30% within a year, and in this case the price is not negotiable.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18265945,,,
House,Stone,110 sq.m.,1,4,1,,,Partial Renovation,1000 sq.m.,,,,,,"Բաղրամյան փողոց 11, Ստեփանավան","17,000,000 ֏",AMD,"4-room private house for sale in the city center, hot and cold water, internet, heating, beautiful garden.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/17526966,,,
House,Stone,2000 sq.m.,1,3,1,,,Partial Renovation,1750 sq.m.,,,,,,Lorri › Arjut,"$10,000",USD,"It has a stable, a pantry, a garage, a plot of land with mature trees.Translated from Armenian",Dec-12-2022_21-19,,,https://list.am/en/item/18254518,,,
