Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
Country House,Stone,1000 sq.m.,2,4,3+,,Major Renovation,,Tavush › Dilijan,"130,000 ֏ daily",AMD,"Code 0209The mansion is located in DilijanThe mansion is availableBedroom - 3 pcsLiving room - 1 pcBathroom-bathtub - 3, of which 2 are in the bedrooms.KitchenInternetPavilion, mangalToneFireplaceMaximum: 10 peopleOne day: 130,000Translated from Armenian",Dec-12-2022_21-48,,,,,https://list.am/en/item/18264274,,,,,,
Country House,Stone,90 sq.m.,1,3,1,,Major Renovation,,Tavush › Dilijan,"50,000 ֏ daily",AMD,"Code 0210-----ATTENTION-----Read the full description of the house, terms and conditions, down payment rulesPrivate house for daily rent in Dilijan50,000 drams per dayBedroom: 2 available in eachLiving room with 1 sofa bedBathroom and bathtub: 1 pcPatio pavilion with its own barbecue and bottles, Internet, parking, bed linen and towels Kitchen, kitchen appliances, Kitchenware heatingProvisions+ Entry 13.00 Exit 12.00+ If you stay until evening, the price of 1 more day will be charged+ PREPAYMENT is REQUIRED to reserve the house.+ If you cancel the reservation, the advance payment is NOT refundable+ Other cases related to advance payment are subject to negotiation (eg canceling one house booking another house through us)+ After presenting the advance payment voucher (Viber, WhatsApp or other option) BOOKING IS CONFIRMED.Dear customer, click on the NAME to get acquainted with all our announcements.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Translated from Armenian",Dec-12-2022_21-48,,,,,https://list.am/en/item/18264243,,,,,,
House,Stone,200 sq.m.,2,4,2,,Major Renovation,,Tavush › Dilijan,"6,000 ֏ daily",AMD,"Code 032:--ATTENTION -----Read the full description of the house, the requirements, the rules of prepaymentA private house is for daily rent on the way to Haghartsin monastery in DilijanThe house is for daily rent1 person 6000 AMD per dayThe house has two floors, a fireplace on the first floor and a main living area on the second floorBedroom with 3 balconiesLiving room with 1 open sofaBathroom: 1 pieceThe pavilion with its barbeque and is provided; internet, parking, bed linen and towels Kitchen, kitchen appliances, Kitchen utensils heating,Provisions:+ Entrance 13.00 Exit 12.00+ In case of staying till the evening, the price of 1 day is charged+ 1 child up to 5 years old free of charge 2 children Price per person;+ ADVANCE is required to book the house.+ In case of cancellation by you, the prepayment is NOT refundable+ Other prepayment cases are subject to consideration (for example, canceling one house and booking another house through us)+ After submitting the prepayment coupon (Viber, WhatsApp or other version) BOOKING IS CONFIRMED.Dear customer, to get acquainted with all our announcements, click on NAME.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Translated from Armenian",Dec-12-2022_21-48,,,,,https://list.am/en/item/12154536,,,,,,
House,Stone,100 sq.m.,2,3,1,,Designer Renovation,,Tavush › Dilijan,"55,000 ֏ daily",AMD,"Code 0146:Read the full description of the house, the requirements, the rules of prepaymentThe triangular cottage is for daily rent on the way to Dilijan Haghartsin monastery1 day:1-2 people 55000 AMD3-4 people 70,000 AMD5 people 80,000 AMDExtra bed is provided for the 5th personBedroom: 2 piecesLiving room: 1 pieceBathroom: 1 pieceYard barbecue with bottles; internet, parking, bed linen իչներ towels Kitchen, kitchen appliances, Kitchen utensils heating,Provisions:+ Entrance 14.00 Exit 12.00+ In case of staying till the evening, the price of 1 day is charged+ ADVANCE is required to book the house.+ In case of cancellation of your reservation, the prepayment is NOT refundable+ Other prepayment cases are subject to consideration (for example, canceling one house and booking another house through us)+ After submitting the prepayment coupon (Viber, WhatsApp or other version) BOOKING IS CONFIRMED.Dear customer, to get acquainted with all our announcements, click on NAME.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Translated from Armenian",Dec-12-2022_21-48,,,,,https://list.am/en/item/17456494,,,,,,
Townhouse,Stone,1000 sq.m.,3,5,3+,,Major Renovation,,Tavush › Dilijan,"150,000 ֏ daily",AMD,"Code 0103:ATTENTION!Read the full description of the house, the requirements, the rules of prepaymentLuxurious private house for daily rent in #Dilijan4 bedrooms, 1 living room, 1 dining room and 1 fireplace roomOutdoor pavilionOutdoor and indoor poolSaunaFireplace roomHeating SystemOpen balcony with a beautiful viewTableware, bedding, parkingMaximum 12 peopleThe daily fee is 15,000 dramsProvisions:+ Entrance 13.00 Exit 11.00+ In case of staying till the evening, the price of 1 day is charged+ ADVANCE is required to book the house.+ In case of cancellation of your reservation, the prepayment is NOT refundable+ Other prepayment cases are subject to consideration (for example, canceling one house and booking another house through us)+ After submitting the prepayment coupon (Viber, WhatsApp or other version) BOOKING IS CONFIRMED.Dear customer, to get acquainted with all our announcements, click on NAME.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Translated from Armenian",Dec-12-2022_21-48,,,,,https://list.am/en/item/13274544,,,,,,
House,Stone,1000 sq.m.,2,5,2,,Cosmetic Renovation,,Tavush › Dilijan,"30,000 ֏ daily",AMD,"Code 0144:ATTENTION!Read the full description of the house, the requirements, the rules of prepaymentA private house is for daily rent in Dilijan:The house is for daily rentIN SUMMER50,000 drams per dayAUTUMN-SPRING30,000 drams per dayThe house has two floors,Bedroom: 2 bedrooms with 1 double bed in eachLiving room with 1 open sofaBathroom: 1 pieceYard in the yard with its own barbeque and with bottles, internet, parking, bed linen and towels Kitchen, kitchen appliances, Kitchen utensils heatingProvisions:+ Entrance 13.00 Exit 12.00+ In case of staying till the evening, the price of 1 day is charged+ ADVANCE is required to book the house.+ In case of cancellation of your reservation, the prepayment is NOT refundable+ Other prepayment cases are subject to consideration (for example, canceling one house and booking another house through us)+ After submitting the prepayment coupon (Viber, WhatsApp or other version) BOOKING IS CONFIRMED.Dear customer, to get acquainted with all our announcements, click on NAME.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Translated from Armenian",Dec-12-2022_21-48,,,,,https://list.am/en/item/13274600,,,,,,
House,Stone,50 sq.m.,2,2,2,,Major Renovation,,Tavush › Dilijan,"40,000 ֏ daily",AMD,"Code 031:A private house is for daily rent in Dilijan-Haghartsin40,000 drams per dayThe house has:Bedroom: 2 piecesLiving room: 1 pieceBathroom: 1 pieceMaximum 6 peopleOn the bank of the river pavilion, about 100 meters from the house, a small children's water area, if you wish, you can light a fire and heat the water. Barbecue, tonir recreation area, internet, parking, bed linen and towels Kitchen, kitchen appliances, Kitchen utensils heating / coolingDear customer, click on the name to get acquainted with all our announcements.We also offer excursions in Dilijan to Haghartsin, Goshavank, Parz Lake, etc.Translated from Armenian",Dec-12-2022_21-48,,,,,https://list.am/en/item/14141780,,,,,,
Country House,Stone,100 sq.m.,2,4,1,,Major Renovation,,Tavush › Dilijan,"50,000 ֏ daily",AMD,"Code 0167:Read the full description of the house, the requirements, the rules of prepaymentCottage for daily rent in Dilijan, in the FOREST area, a short distance away, there is 1 cottage50,000 drams per dayMaximum 8 peopleBedroom: 3 piecesLiving room: 1 pieceBathroom: 1 pieceYard barbecue with its bottles; NO internet, parking, bed linen and towels Kitchen, GAS BY BALLOON, Kitchen utensils (electric heating,THERE IS A FIREPLACEProvisions:+ Entrance 13.00 Exit 12.00+ In case of staying till the evening, the price of 1 day is charged+ ADVANCE is required to book the house.+ In case of cancellation of your reservation, the prepayment is NOT refundable+ Other prepayment cases are subject to consideration (for example, canceling one house and booking another house through us)+ After submitting the prepayment coupon (Viber, WhatsApp or other version) BOOKING IS CONFIRMED.Dear customer, to get acquainted with all our announcements, click on NAME.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Translated from Armenian",Dec-12-2022_21-48,,,,,https://list.am/en/item/17803593,,,,,,
House,Stone,90 sq.m.,2,2,1,1 spot,Cosmetic Renovation,,Tavush › Dilijan,"20,000 ֏ daily",AMD,"Code 0201Two-story private house in DilijanOne day: 20,000 dramsIs available1 bedroom1 living roomKitchenBathroom tub+ Entry 13.00 Exit 12.00+ If you stay until evening, the price of 1 more day will be charged+ PREPAYMENT is REQUIRED to reserve the house.+ If you cancel the reservation, the advance payment is NOT refundable+ Other cases related to advance payment are subject to negotiation (eg canceling one house booking another house through us)+ After presenting the advance payment voucher (Viber, WhatsApp or other option) BOOKING IS CONFIRMED.Dear customer, click on the NAME to get acquainted with all our announcements.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Translated from Armenian",Dec-12-2022_21-48,Available,,"Fridge, coffee maker",,https://list.am/en/item/11859696,Television,3,Yes,Yes,Included,By Agreement
House,Stone,40 sq.m.,2,4,3+,,Major Renovation,,Tavush › Dilijan,"35,000 ֏ monthly",AMD,"A two-story cottage with its own utilities, designed for 6 + 2 persons, as well as 2 separate bedrooms, is available for daily rent near the Haghartsi monastery in the embrace of the forest. There are open and closed pavilions in the area, a pond for fishing, and the Hidden Waterfall is nearby.Translated from Armenian",Dec-12-2022_21-48,,,,,https://list.am/en/item/18228207,,,,,,
House,Stone,90 sq.m.,2,5,2,2 spots,Euro Renovation,300 sq.m.,Tavush › Dilijan,"60,000 ֏ daily",AMD,"Private house in Dilijan.The house is fully renovated. Equipped with furniture and appliances. Provided with all utilities.Swimming poolSummer pavilion,barbecuegarden,Living room, kitchen on the 1st floor2nd floor, 3 bedrooms, 1 living room: 2 bathrooms.We can accept 12 people at the same time.Code 0033Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/17995171,,8+,Yes,No,Not included,By Agreement
House,Stone,900 sq.m.,3,7,2,,Designer Renovation,500 sq.m.,Tavush › Dilijan,"150,000 ֏ daily",AMD,"Երկարաժամկետ նաև օրավարձով և կարճաժամկետ վարձակալության է տրվում շքեզ, ընդարձակ, բոլոր հարմարություններով հագեցած առանձնատուն Դիլիջանի ամենակենտրոնում, բնության գրկում:Բաղկացած է 8 ննջասենյակներից, 2 հյուրասենյակներից 3 + սանհանգույցներից:2 բաց բալկոն, ֆիլտրվող լողավազան - 2 open balconies, Swimming poolՀանգստի սենյակներ--Rest roomsՋակուզի--JacuzziԹենիսի սեղան--Tennis tableՄշտական տաք և սառը ջուր, գազ- Constant hot and cold water, gasԻդեալական մաքրություն- Extra cleaningՎերանորոգված մուտք-Renovated entranceԳեղեցիկ եվ կանաչապատ բակ-Beautiful and green yardՕդորակիչ, ջեռուցման համակարգ--Air conditioner, Heating systemՍանհագույցը սալիկապտված--The bathroom is tiledԳերարագ Ինտերնետ, WIFI բոլոր հարկերում- Высокоскоростной интернет, WIFI на всех этажахԱյլ մանրամասների համար կարող եք զանգահարել նշված հեռախոսահամարով կամ գրել Whatsapp-ինFor more information you can call with the number mentioned or contact viaWhatsapp",Dec-12-2022_21-48,,,,,https://list.am/en/item/14478411,,,,,,
Country House,Monolith,200 sq.m.,2,6,3+,3 or more spots,Euro Renovation,500 sq.m.,Tavush › Dilijan,"400,000 ֏ daily",AMD,"A private two-story private house is for rent in one of the most beautiful places in Dilijan city. It has a security system, individual heating system, and there is also a pavilion in the yard. Long-term contract. For details, please call the second number.Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/18082948,,8+,Yes,Yes,Included,1 month
Townhouse,Stone,150 sq.m.,2,4,2,2 spots,Major Renovation,,Tavush › Dilijan,"80,000 ֏ daily",AMD,The house is provided with all utilities and household facilities.Translated from Armenian,Dec-12-2022_21-48,Available,,,,https://list.am/en/item/18048644,,8+,Yes,Yes,Included,By Agreement
Country House,Stone,400 sq.m.,3,5,3+,3 or more spots,Euro Renovation,70 sq.m.,"Kamo Street 24/1, Dilijan","120,000 ֏ daily",AMD,3-storey private house indoor outdoor swimming pool in DilijanVilla private housesauna - saunaoutdoor / indoor poolfireplace4 bedroomsAccommodation for 10-12 peoplePRICE MAY CHANGE NUMBER OF DAYS DEPENDING ON PERSONSHOLIDAY MORE VALUES ON HOLIDAYSCode A-088Translated from Armenian,Dec-12-2022_21-48,Available,,"Fridge, stove, microwave, washing machine, iron",,https://list.am/en/item/15822858,"Television, internet, swimming pool, sauna, fireplace, gazebo, alarm system",8+,Yes,No,By Agreement,By Agreement
Country House,Stone,90 sq.m.,1,3,1,2 spots,Cosmetic Renovation,,Tavush › Dilijan,"50,000 ֏ daily",AMD,"Code 0279Cottage for daily rent in Haghartsin1 day: 50,000 drams1 bathroom2 bedroomsLiving roomInternetBaxi:The cottage is on the river bank.There is also a pavilion, a barbecueTranslated from Armenian",Dec-12-2022_21-48,Available,,"Fridge, coffee maker",,https://list.am/en/item/12155500,"Television, internet, gazebo",7,Yes,Yes,Included,By Agreement
House,Stone,100 sq.m.,1,4,1,,Major Renovation,,Tavush › Dilijan,"40,000 ֏ daily",AMD,"Co 0147:Attention!Read the full description of the house, requirements, prepayment rulesA newly renovated private house is for daily rent in DilijanThe house is for daily rent40,000 drams per dayBedroom: 3 piecesLiving room: 1 pieceBathroom: 1 pieceBarbecue bottles; internet, parking, bed linen and towels Kitchen, kitchen appliances, Kitchen utensils electric heatingProvisions:+ Entrance 13.00 Exit 12.00+ In case of staying till the evening, the price of 1 day is charged+ ADVANCE is required to book the house.+ In case of cancellation of your reservation, the prepayment is NOT refundable+ Other prepayment cases are subject to consideration (for example, canceling one house and booking another house through us)+ After submitting the prepayment coupon (Viber, WhatsApp or other version) BOOKING IS CONFIRMED.Dear customer, to get acquainted with all our announcements, click on NAME.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Translated from Armenian",Dec-12-2022_21-48,,,,,https://list.am/en/item/17456487,,,,,,
House,Stone,45 sq.m.,1,2,1,3 or more spots,Major Renovation,600 sq.m.,"Shamakhyan Street, Dilijan station","20,000 ֏ daily",AMD,"Private house for rent / daily rent in Dilijan.Spend your summer / winter vacation in fairytale Dilijan.The house is provided with all the communal amenities. It has 1 room, a living room, a kitchen, a bathroom, a balcony (with a beautiful view of nature), a large private yard, free WI-FI. In winter, the house is heated by an electric heater. To reserve and call for questions.ONLY THOSE WHO WANT REAL.Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/16329353,,5,Yes,No,Included,By Agreement
House,Stone,40 sq.m.,2,2,2,1 spot,Major Renovation,,Tavush › Dilijan,"6,000 ֏ monthly",AMD,"Read the full description of the house, the requirements, the rules of prepaymentPrivate house for daily rent in Dilijan, on the way to Haghartsin monastery (Teghut village)The house is provided for daily rentIN SUMMER1 person 5000 AMD per dayAUTUMN-SPRING1 person 6000 AMD per dayOnly in case of one person 10,000 AMD per dayThe house has two floors, the second floor is provided with a separate entrance;Bedroom: 1 there is 1 doubleLiving room with 1 open sofaBathroom - 1 piece (Open balcony)From the open balcony there are forest views, the river flows, in the price of the house there is a pavilion with its barbecue and bottles in the forest very close to the house; (you can buy wood on the spot) available, small water area for bathing by the river, internet, parking, bed linen and towels Kitchen, kitchen appliances, Kitchen utensils heatingProvisions:+ 1 child up to 5 years old free of charge 2 children Price per person;+ Entrance 13.00 Exit 12.00+ In case of staying till the evening, the price of 1 day is charged+ ADVANCE PAYMENT is required to book the house.+ In case of cancellation by you, the prepayment is NOT refundable+ Other prepayment cases are subject to consideration (for example, canceling one house and booking another house through us)+ After submitting the prepayment coupon (Viber, WhatsApp or other version) BOOKING IS CONFIRMED.Dear customer, to get acquainted with all our announcements, click on NAME.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Code Kod 051Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/13055517,,5,Yes,No,By Agreement,By Agreement
House,Stone,60 sq.m.,1,3,1,3 or more spots,Major Renovation,,Tavush › Dilijan,"30,000 ֏ daily",AMD,"Code 0123:Read the full description of the house, the requirements, the rules of prepaymentA private house is for daily rent in Dilijan HaghartsinThe house is for daily rent25000-35000 AMD per dayBedroom: 2 piecesLiving room with 1 open sofaBathroom: 1 pieceYard barbecue with bottles; internet, parking, bed linen իչներ towels Kitchen, kitchen appliances, Kitchen utensils heating,Provisions:+ Entrance 13.00 Exit 12.00+ In case of staying till the evening, the price of 1 day is charged+ ADVANCE is required to book the house.+ In case of cancellation of your reservation, the prepayment is NOT refundable+ Other prepayment cases are subject to consideration (for example, canceling one house and booking another house through us)+ After submitting the prepayment coupon (Viber, WhatsApp or other version) BOOKING IS CONFIRMED.Dear customer, to get acquainted with all our announcements, click on NAME.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Code Kod 0123Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/14141810,,6,Yes,No,Included,By Agreement
Townhouse,Stone,300 sq.m.,2,5,2,2 spots,Major Renovation,,Tavush › Dilijan,"65,000 ֏ daily",AMD,"It is provided with all the household and communal amenities, on the first floor of the house there is a sauna and an indoor swimming pool.Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/15085557,,8+,Yes,Yes,Included,By Agreement
House,Stone,250 sq.m.,2,8+,2,2 spots,Cosmetic Renovation,600 sq.m.,"Հակոբջանյան փողոց 79, Դիլիջան","400,000 ֏ monthly",AMD,For more information callTranslated from Armenian,Dec-12-2022_21-48,Available,,"Fridge, microwave, coffee maker, washing machine, iron, hair dryer",,https://list.am/en/item/18651173,"Television, internet, air conditioner, barbecue oven",8+,Yes,No,Not included,1 month
House,Stone,95 sq.m.,1,4,3+,Not available,Major Renovation,500 sq.m.,"Улица Метахагорцнери, Иджеван","350,000 ֏ monthly",AMD,"От собственника сдаётся гостевой дом, на срок 1до 6 месяцев. В доме 3 спальни и 3 ванные комнаты.Цена 350000 драм. + депозит. В доме могут жить 6 человек.Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/18459383,,7,No,No,Not included,By Agreement
House,Stone,80 sq.m.,3,3,2,1 spot,Major Renovation,,Tavush › Dilijan,"500,000 ֏ monthly",AMD,"Двухэтажный коттедж расположен в живописном Дилижане, в окружении прекрасного вида на лесистые горы, на охраняемой территории, он новый, с мебелью, есть бытовая техника, посуда. Двухэтажный коттедж имеет две спальни, два балкона, гостиную, кухню, два санузла, индивидуальную систему отопления, горячую и холодную воду, Wi-Fi.На территории есть теннисные корты, волейбольные площадки, спортивный бассейн, есть возможность пользоваться небольшим рестораном (столовой) Рядом небольшие магазины, в 5 минутах езды, также большой супермаркет. Это примерно в 10 минутах езды от центра Дилижана.Есть гараж.Возможна также ежедневная сдача.",Dec-12-2022_21-48,Available,,"Fridge, stove, dishwasher, washing machine, water Heater, iron",,https://list.am/en/item/18650681,Internet,3,Yes,No,Not included,1 month
House,Stone,200 sq.m.,2,3,3+,Not available,Designer Renovation,440 sq.m.,"Moldovakan street 21, Dilijan station","90,000 ֏ daily",AMD,"Mon Saint MichelA beautiful two-story villa in Dilijan. The house is renovated with quality, modern design and equipment. Here you will spend a comfortable rest. The house has 3 bedrooms, 3 bathrooms, a fully equipped kitchen and a spacious living room with a fireplace. In the yard there is a gazebo, barbecue and barbecue.Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/17813920,,8+,No,Yes,By Agreement,By Agreement
Townhouse,Stone,150 sq.m.,2,3,3+,3 or more spots,Major Renovation,,Tavush › Dilijan,"60,000 ֏ daily",AMD,The house is provided with all household and communal amenities.Translated from Armenian,Dec-12-2022_21-48,Available,,,,https://list.am/en/item/14530706,,8+,Yes,Yes,Included,By Agreement
House,Stone,1000 sq.m.,3,7,3+,2 spots,Major Renovation,,Tavush › Dilijan,"110,000 ֏ daily",AMD,Սեփական տունն ունի 5 ննջարան. Իդելական վերանորոգում: Այն կարող է տեղավորել մինչև 20 անձ:Գինն անձեր քանակի հետ կապված փոփոխական է. Բայց գործում է զեղչային ճկուն համակարգ:Ունի հարմարավետ հացատուն բակում:Կոդ LD027,Dec-12-2022_21-48,Available,,,,https://list.am/en/item/13861519,,8+,Yes,No,Included,By Agreement
House,Stone,200 sq.m.,1,2,1,2 spots,Major Renovation,500 sq.m.,Tavush › Dilijan,"30,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LD047Translated from Armenian,Dec-12-2022_21-48,Not available,,,,https://list.am/en/item/17707881,,5,Yes,Negotiable,Included,By Agreement
House,Stone,100 sq.m.,1,3,1,3 or more spots,Euro Renovation,"10,000 sq.m.",Tavush › Dilijan,"300,000 ֏ monthly",AMD,2. 3 комнаты (6 местный) 300.000ДРАМ2 Двухспальные кровати + раскладной диванКухняСан. УзелБассейнБольшой красивый двор с беседкамиЗакрытая террасаОбеспечены все бытовые условияWi-Fiтелевизорахолодильник,Dec-12-2022_21-48,Available,,"Fridge, stove, coffee maker, washing machine, iron, hair dryer",,https://list.am/en/item/18407991,"Television, internet, swimming pool, barbecue oven, gazebo",6,Yes,Yes,Not included,1 month
House,Stone,80 sq.m.,1,3,1,,Major Renovation,200 sq.m.,Tavush › Dilijan,"30,000 ֏ daily",AMD,TOON 60. The guest house opens its warm doors for family vacation lovers. A place where you can fully relax.Translated from Armenian,Dec-12-2022_21-48,,,,,https://list.am/en/item/18323261,,,,,,
House,Wooden,115 sq.m.,2,3,1,Not available,Designer Renovation,1000 sq.m.,Tavush › Dilijan,260 ֏ monthly,AMD,"House, cottage, rest house long-term and short-term.It is located next to the hotel of the Central Bank of Dilijan, near the forest.Equipped with all amenities.Two-storey house in Dilizane, 115 sq. M. М. , repair in designer style:Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/17484155,,6,Yes,No,Not included,2 weeks
House,Stone,150 sq.m.,2,3,1,,Euro Renovation,,Tavush › Dilijan,"25,000 ֏ daily",AMD,"House for long-term or daily rent, with all amenitiesTranslated from Armenian",Dec-12-2022_21-48,,,,,https://list.am/en/item/17814189,,,,,,
House,Stone,100 sq.m.,2,2,2,2 spots,Major Renovation,,Tavush › Dilijan,"45,000 ֏ daily",AMD,Ձեզ առաջարկում ենք նորակառույց տուն` Իր բոլոր հարմարություններով: Ունի`2 ննջարան1 զալ1 խոլ2 սանհանգույց1 խոհանոցՏունն ապահովված է կոմունալ և կենցաղային բոլոր հարմարություններով; Ջեռուցվում է BAXI համակարգով;Կոդ LD029,Dec-12-2022_21-48,Available,,,,https://list.am/en/item/12777389,,8+,Yes,No,Included,By Agreement
House,Stone,850 sq.m.,2,6,3+,2 spots,Major Renovation,,Tavush › Dilijan,"100,000 ֏ daily",AMD,The house is provided with all communal and household amenities.Code LD017Translated from Armenian,Dec-12-2022_21-48,Available,,,,https://list.am/en/item/12199440,,8+,Yes,Negotiable,Included,By Agreement
House,Stone,150 sq.m.,2,5,3+,2 spots,Major Renovation,350 sq.m.,"Kalinini street, Dilijan station","60,000 ֏ daily",AMD,"Сдаётся новостройка, двухэтажный дом в Дилижане рядом с городским парком. На каждом этаже все удобства: Гостиная, кухня, спальни (на 1 этаже -2,на 2 этаже-3 спальни), санузел. Есть балкон с прекрасным видом. Веранда, камин, сад. Дом с евроремонтом со всеми коммуникациями: Отопление, WF интернет. Возможно как посуточное так и на длительный срок. В случае возникновения вопросов звоните или пишите.Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/16798227,,8+,Yes,No,By Agreement,1 month
House,Stone,77 sq.m.,1,4,2,Not available,Major Renovation,500 sq.m.,Tavush › Dilijan,"35,000 ֏ daily",AMD,"Daily rent house in Dilijan, guest house, private houseCottage house for rent in DilijanRiver side guest houseIn one of the beautiful corners of Dilijan, on the banks of the Bldan River, at the edge of the forest, we offer a private house for daily rent in a great location to organize your vacation.We offer a private housethe first floor where there is 'Three bedrooms (one with bathroom)Two bathroomsOne living roomKitchen, appliances, dishesSpacious yardStall, grill, skewerFree parkingFree WI-FISmart TV, 105 cable channelsThe gentle murmur of the Bldan RiverThe house is newly built and renovated.Overnight stay for up to 6 people.A monthly payment of 400,000 drams is also provided.Check-in at 14:00Departure at 12:00.In case of staying until evening, one more day's fee is calculatedTranslated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/17728420,,6,Yes,No,Included,By Agreement
Townhouse,Stone,150 sq.m.,2,3,2,2 spots,Major Renovation,,Tavush › Dilijan,"55,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code E004Translated from Armenian,Dec-12-2022_21-48,Available,,,,https://list.am/en/item/17913070,,8+,Yes,Yes,Included,By Agreement
House,Stone,350 sq.m.,2,5,2,2 spots,Major Renovation,1000 sq.m.,Tavush › Dilijan,"100,000 ֏ daily",AMD,"VART189:2-storey private house is for rent in Dilijan. The total area is 350 square meters, and the land is 1000 square meters. The house is fully renovated. Euro windows are installed, the floor is covered with laminate: Tiles. The house is provided with communal facilities. There is an open balcony with a beautiful view.Code VART-189Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/17964595,,6,Yes,Yes,By Agreement,By Agreement
House,Stone,1000 sq.m.,2,3,2,2 spots,Cosmetic Renovation,,Tavush › Dilijan,"5,000 ֏ daily",AMD,"Կոդ 0170Օրավարձով է տրվում առանձնատուն Դիջան քաղաքումառանձնատունը ունի2ննջարան1 հյուրասենյակ2 սանհանգույց լոգարան, խոհանոց,դրսում բակ տաղավար խորովածանոցառավելագույնը 5 անձՄեկ օրը՝ 50.000",Dec-12-2022_21-48,Available,,Fridge,,https://list.am/en/item/14475746,"Television, internet",5,Yes,Yes,Included,By Agreement
Country House,Stone,110 sq.m.,2,3,1,2 spots,Major Renovation,,Tavush › Dilijan,"50,000 ֏ daily",AMD,"Code 0210-----ATTENTION-----Read the full description of the house, terms and conditions, down payment rulesPrivate house for daily rent in Dilijan50,000 drams per dayBedroom: 2 available in eachLiving room with 1 sofa bedBathroom and bathtub: 1 pcPatio pavilion with its own barbecue and bottles, Internet, parking, bed linen and towels Kitchen, kitchen appliances, Kitchenware heatingProvisions+ Entry 13.00 Exit 12.00+ If you stay until evening, the price of 1 more day will be charged+ PREPAYMENT is REQUIRED to reserve the house.+ If you cancel the reservation, the advance payment is NOT refundable+ Other cases related to advance payment are subject to negotiation (eg canceling one house booking another house through us)+ After presenting the advance payment voucher (Viber, WhatsApp or other option) BOOKING IS CONFIRMED.Dear customer, click on the NAME to get acquainted with all our announcements.We also offer you gift cards worth 10,000-15,000-25,000-35,000-50,000 AMD.Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/16054468,,5,Yes,Yes,Included,By Agreement
Country House,Stone,105 sq.m.,2,3,1,2 spots,Designer Renovation,,Tavush › Dilijan,"500,000 ֏ monthly",AMD,"Не ждите правильного момента, он настал️В Maestro Rest House созданны наилучшие условия для вашего незабываемого отдыха.Для любителей природы-коттедж находится в лесном боруB май бывает сильное опыльение.Высокоскоростной Internet, wi fiЦентральное отоплениеTV каналыМангалПосудаХолодильникТелевизоряСтиральная машинаМикроволновая печкаЧайникНаш адрес Г. Дилиджан, Бабаджанян 1.Звоните и бронируйте коттеджи для семейного или дружеского отдыха.#отдых #отель #коттедж #природа #дилиджан",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/17470960,,6,Yes,Negotiable,Not included,1 month
House,Stone,110 sq.m.,1,2,1,,Cosmetic Renovation,900 sq.m.,Tavush › Dilijan,"30,000 ֏ daily",AMD,"""Haghartcin House"" guest house invites you to enjoy your unforgettable rest in the lap of nature. The house is equipped with all amenities.We are waiting for you with love.Translated from Armenian",Dec-12-2022_21-48,,,,,https://list.am/en/item/18166169,,5,Yes,No,By Agreement,Without prepayment
