Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking,Links,Construction Type
Retail Space,85 sq.m.,"1-ին փողոց, Նոր Խարբերդ","$60,000",USD,"In the middle of Nor Kharberd village and dachas.The covers are monolithic, the base and the roof are very strong. There is a large basement area.Water and toilet facilities are available. There is also a spare part.Translated from Armenian",Dec-12-2022_20-37,By agreement,Not available,First Line,Common from the Street,,,,,Outdoor parking,https://list.am/en/item/18672811,Stone
Industrial and Manufacturing,350 sq.m.,Ararat › Argavand,"$28,000",USD,"Վաճառվում է արտադրատարածք՝ 350/260 քմ մակերեսովԱրարատ, Արգավանդհարմար է տարբեր գործունեությունների համար️գազ, ջուր, կոյուղի️մայրուղուց 200մ հեռավորության վրաԿոդ BB381",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/16313087,Stone
Industrial and Manufacturing,7280 sq.m.,Ararat › Geghanist,"$580,000",USD,"BusinessPoultry farm for sale or rent poultry farm businessI am selling a business area with its buildings and all the amenities (adapted for chicken egg-bird production or it can be used for keeping other animals or for a completely different purpose) in Geghanist village, it is very close to the city. There is an area of more than 2 hectares, provided with irrigation water, three-phase electricity, gas, drinking water. The area includes a huge garden, 2 buildings, 2560 sq / m semi-built greenhouse, 620 sq / m basement (can serve as a refrigerator and not only) The area of the 1st building (area for keeping birds or other animals) is 700 square meters, where there is a slaughterhouse (boyan), as well as other facilities, including equipment for making feathers for birds (MOP) The area of the 2nd building is 920 sq / m, where there is a bird food kitchen (with a grinder), 100 sq / m + there is an office-cabinet with a bathroom, and most of the rest is a bird food storage. I have different equipment in the area. You will receive the rest of the information in case of calling.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/15684422,Stone
Industrial and Manufacturing,"13,974 sq.m.",Ararat › Ararat,"$290,000",USD,"• Realty Consult ID` GA 23:• URGENT production complex for sale.• Ararat region, village Noramarg.• Land of 12000 square meters• Total number of buildings: 1974 square meters: 2 livestock buildings 1835 square meters, 5 greenhouses, 2 warehouses 106 square meters, guard post 34 square meters, lake, well.• PRICE: $ 290,000.• The real estate is equipped with the following engineering networks and communications: Gas, water, sewerage, electricity. The building is in good condition, it is subject to operation. The building is built in accordance with modern standards, equipped with modern engineering networks, systems and communications.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Second Line,Separate from the Courtyard,,,,,,https://list.am/en/item/14084842,Stone
Retail Space,12 sq.m.,Ararat › Vedi,"$6,000",USD,"Land for sale near the Acba Bank in Vedi, on the main roadTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/17858321,Cassette
Agricultural Space,7000 sq.m.,"6-րդ փողոց 11, Ջրահովիտ","62,000,000 ֏",AMD,"Վաճարվում է զկնորսական լճերԸնտանեկան հանգստի գոտու գործոխ բիզնես լճերում արկա է կառփ սազան բելիամուռ լոքո կարաս եվ այլ զկնատեսակներ տարածքում առկա է տեսախցիկներ տարացքում առկա է բեսետկաներ ընտանեկան հանգստի համար... Մանրամասների համար զանգահարել ՍերոժПродаётся рабочий бизнес с двумя озёрами, для рыбной ловли и семейного отдыха. В озёрах присутствуют, сом карп, сазан, карась, голавль и другие особи. Также имеются беседки для отдыха семьями. Имеются камеры наружного наблюдения. Для получения полной информации звонить по указанному номеру телефона.",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18034529,Cassette
Multifunctional Space,720 sq.m.,Ararat › Noramarg,"$40,000",USD,"The area of the building is 720 square meters (20*36), partial sale is possible. The land area is 8000 square meters.Farm, barn, cattle ranchTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,Second Line,Common from the Street,,,,,,https://list.am/en/item/18667468,Panels
Functioning Business,3000 sq.m.,"1st Street, Mrgashen village","$300,000",USD,"A greenhouse is for sale on the main road of Artashat Mrganush village, it has a production area of 200 square meters, a refrigerator of 25 square meters, it has all the facilities, it has gas (GRP), a security system, the crowded area is guarded by cameras., the greenhouse is fully occupied by 2000 square meters of high-quality carnations, 400 square meters of freesia, and alstroemeria. And a large number of flowers for landscaping. Call for questions.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,Outdoor parking,https://list.am/en/item/18667391,Stone
Multifunctional Space,5140 sq.m.,Ararat › Masis,"$140,000",USD,Очень срочно. Позвоните. Будет скидка. Агропроизводительская территория. 5140 кв. М. Հողատարածքի կարգը փոխված է ԱՐՏԱԴՐԱԿԱՆ. Նաև փոխանակում բնակարանի հետ Երեւանում.,Dec-12-2022_20-37,Available,Not available,Second Line,Common from the Street,,,,,,https://list.am/en/item/18268485,Stone
Restaurant,5000 sq.m.,Ararat › Ararat,"$350,000",USD,"A newly built restaurant is for sale, there is a bakery, a beer house, a wedding hall (150 people), a car, compartments. At the back of the building there is a large garden with fruit trees. For details, call (pictures are not complete)Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16683696,Stone
Multifunctional Space,130 sq.m.,"13-րդ փողոց, Այնթապ","$58,000",USD,"Կոդ՝ B-20366Վաճառվում է 3 սենյականոց կոմերցիոն տարածք Այնթապում։ Տարածքը կապիտալ վերանորոգված է։ Մուտքի դուռը՝ մետաղյա, պատուհանները՝ եվրո, հատակը՝ լամինատ, սալիկապատ։ Ունի օդափոխության և անվտանգության համակարգեր, օդորակիչներ (2), այգի՝ պտղատու ծառերով, տաղավար, պարիսպ, եռափազ հոսանք, մշտական ջուր։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A commercial area for sale in Ayntap. The rooms' quantity is 3. The area is newly renovated. The entrance door is iron-made, the windows are euro-based, the floor covered by laminate and is tiled. The area has ventilation and security systems, air-conditinoers (2), garden with fruitful trees, pavilion, fence, three-phase electricity and is supplied with constant water.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_20-37,Not available,Not available,Second Line,Separate from the Street,,,,,,https://list.am/en/item/16484909,Stone
Functioning Business,60 sq.m.,Ararat › Artashat,"$45,000",USD,"Lavash dough for sale, details on Mrganush Deghdzut road by phoneTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17977318,Stone
Everything Else,24 sq.m.,Ararat › Azatashen,"850,000 ֏",AMD,Vagon Tnak Domik Домик,Dec-12-2022_20-37,Not available,Not available,Second Line,Separate from the Courtyard,,,,,,https://list.am/en/item/16133038,Wooden
Functioning Business,1000 sq.m.,"Երևանի խճուղի, Բյուրավան","$95,000",USD,"Existing business for sale in Byuravan. The business includes: Car drying platform, 2 car wash points, Gas station, Taxi service with 3 cars, Combined feed, Building materials store, office, newly renovated.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17286774,Stone
Functioning Business,3200 sq.m.,Ararat › Masis,"$650,000",USD,"A gas station is for sale on the Masis-Echmiadzin road, there is also a liquid gas station, a gasoline-solar station. It is for sale together with the Food court, the total area is 3200 m2. SOLD URGENTLY.The price without Food court is 460,000 dollarsTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/18582196,Stone
Agricultural Space,5400 sq.m.,"11-րդ փողոց 22, Խաչփար","65,000,000 ֏",AMD,"Greenhouse 3000 sq. MBuilding 120 square metersMedium pressure gasHeating SystemThree-phase 15 k, sArtisan, Drinking waterSeparate sewer and drainageThe Greenhouse and Building have a Title DeedImportance of land ProductionGreenhouse is completely fenced with stoneCameras installedCellophane Israeli 1.6 thickness 2tk inflatableBuilt in mid 2020Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18417190,Stone
Functioning Business,31 sq.m.,Ararat › Masis,"16,000,000 ֏",AMD,An existing shop is for sale near buildings 19-20-25-29-30 and 2 schools.Translated from Armenian,Dec-12-2022_20-37,By agreement,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/18241668,Stone
Industrial and Manufacturing,"10,000 sq.m.",Ararat › Ararat,"$4,500,000",USD,"Code-13829. An existing construction organization with its administrative premises in the city of Ararat is for sale. It includes a furniture workshop, a pumice stone workshop, a concrete workshop, Eurocech (metal plastic and aluminum), closed and open warehouses, a hangar, a car charging point, a car parts warehouse, a two-story store (the 1st floor is a hardware store, the 2nd is a furniture store)), offices, garden: 8,000 square meters. There are also a variety of technical vehicles needed for construction.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,Second Line,Separate from the Street,,,,,"Outdoor parking, covered parking",https://list.am/en/item/18656015,Stone
Everything Else,25 sq.m.,Ararat › Vedi,"$10,500",USD,"I am selling a hairdressing salon area with all its communal facilities. With the possibility of adding a second floor. It is connected to the city drinking water, the sewerage has a separate yard. Call for details.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17250576,Stone
Functioning Business,4000 sq.m.,Ararat › Vedi,"$650,000",USD,"Commercial space for sale in Vedi. The total area of the land is 40,000 square meters. The area is completely fenced. There are 4 lakes, 2 of which are 1500 square meters, 1200 square meters and 400 square meters, the depth is 2 meters. There are trout fish in the lakes.A house with an area of 87 square meters has been built, in which there are:2 bedrooms1 living room1 kitchen1 bathroomguard post* 4000 square meters: Saffron flower.* 8000 square meters of watermelon.The importance of the land: 39,500 square meters are agricultural, and 500 square meters are for residential construction.All communications are available: Electricity, water, 10 KV solar system, irrigation water.Selling price: 650,000 USDCode: AH-K63Translated from Armenian",Dec-12-2022_20-37,By agreement,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/18332988,Stone
Functioning Business,3200 sq.m.,Ararat › Masis,"$470,000",USD,"Gas station, Liquid gas, gas station, car wash (wash yourself) For more information call.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18110446,Stone
Multifunctional Space,423 sq.m.,Ararat › Masis,"$65,000",USD,Business space for saleMasis city of Ararat region1 line423 square meters areaSuitable for various businessesCode BB1100Translated from Armenian,Dec-12-2022_20-37,Not available,Available,First Line,Common from the Street,,,,,,https://list.am/en/item/18157067,Stone
Functioning Business,140 sq.m.,Ararat › Ararat,"$45,000",USD,"140 sq. M. Commercial area for sale (wash yourself)Ararat, Darakertrenovated1st lineCode BB459Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/16372163,Stone
Industrial and Manufacturing,250 sq.m.,Ararat › Argavand,"$30,000",USD,"Վաճառվում է գործող կահույքի սրահ՝ 250/140քմ քմ մակերեսովԱրարատ, Արգավանդհարմար է տարբեր գործունեությունների համար️եռաֆազ հոսանք️առանձին մուտքԿոդ BB382",Dec-12-2022_20-37,Not available,Available,First Line,Common from the Street,,,,,,https://list.am/en/item/16313107,Stone
Everything Else,8 sq.m.,Ararat › Vedi,"$450,000",USD,"Travertine mine for sale with an area of 8 hectares, the mine is operating, all the necessary documents and licenses are available, the price includes equipment2 housesկռան կռազ 20 տ.1 word. Car 2 m.2 pieces of truss1 bulldozer T1701 haf Persian buravo1 three-phase compressorseparate pastetachylo swing machine and other equipmentThe mine has constant electricity and lamb waterAlso exchange with real estatesold all together no one is sold separatelyTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Common from the Courtyard,,,,,,https://list.am/en/item/17269065,Stone
Industrial and Manufacturing,2880 sq.m.,Ararat › Masis,"$85,000",USD,A newly opened community. Gardeners Street 10:500 meters from Inner CharbachTranslated from Armenian,Dec-12-2022_20-37,Not available,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/18652923,Stone
Everything Else,12 sq.m.,"Araratyan street, Masis","$1,400",USD,"I am selling a half-built pavilion, the frame is perfectly assembled, very firmly, on 4 × 3, height 2.80, located in Masis, the price is $ 1400, I also have electric blinds for the front and side of this kiosk, if you wish I will sellTranslated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/14384333,Bricks
Industrial and Manufacturing,2380 sq.m.,Ararat › Nor Kharberd,"$180,000",USD,"Կոդ՝ B-15941Վաճառվում է արտադրական տարածք Նոր Խարբերդում։ Տարածքն ունի արտադրամաս, պահեստներ, խոհանոց, սանհանգույց, ավտոտնակ, պահակակետ, վարչական շենք՝ ձևափոխված բնակելի տան։ Ապահովված է մշտական ջրով, գազով։ Տարածքը հարմար է նաև սպանդանոցի համար։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A production area is for sale in Nor Kharberd. The territory has a workshop, storage, kitchen, bathroom, garage, guard room, 2-storey administrative building, modified to residential house, separate power substation. The area is supplied with constant water and gas.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/12553198,Stone
Building,90 sq.m.,"Araratyan street, Nor Kyurin","$1,000",USD,"The building is located in Nor Kyurin the community, 2-storey, the total area is 90 sq. M.Also, 1000 square meters of land in front of the building. The building is located in the center of the village.Price is negotiable.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Courtyard,,,,,,https://list.am/en/item/9077333,Stone
Restaurant,"10,000 sq.m.",Ararat › Vedi,"$800,000",USD,"The area is 1 hectare, located 1 km from the center of Vedi. There is a restaurant in the area, the construction area is 2000 square meters, it includes 8 rooms, a hall for 400 people, 3 kitchens (1 outdoor) and auxiliary rooms. The restaurant is functioning, furnished, euro windows and doors, the floor is tiled. All the communications are available: Water, gas, light (with three-phase transformer)As there are other buildings in the area, warehouses 250 sq. M. And 1300 sq. M.The area under consideration is favorable for construction.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Courtyard,,,,,Outdoor parking,https://list.am/en/item/16723000,Stone
Functioning Business,2500 sq.m.,Ararat › Masis,"$250,000",USD,"Code 45319A functioning and profitable rose greenhouse. Hydrapanic system, cameras are installed. Built between 2018-2021. Gas, water, all utilities. There are partners who work permanently in the greenhouse, there is no problem of consumption. Flower consumption is carried out in flower markets and partner flower shops.# greenhouse#Hydrapanic system#rose greenhouse# гипропоник:#Operating and income generating rose greenhouse#Parnik:Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Second Line,Separate from the Courtyard,,,,,,https://list.am/en/item/11262091,Monolith
Multifunctional Space,1000 sq.m.,Ararat › Argavand,"$350,000",USD,"A multifunctional commercial space is for sale in Argavand. The total area of the area is 1000 square meters, and the area of the building is 1500 square meters. The area is suitable for any type of activity.It is also available for rent: 1 sq. M. - 1000 AMDSelling price: 350,000 USDCode: AH-K08Translated from Armenian",Dec-12-2022_20-37,By agreement,Not available,Second Line,Common from the Street,,,,,,https://list.am/en/item/18278440,Stone
Functioning Business,78 sq.m.,"Khanjyan street, Ararat","$110,000",USD,"Commercial space (operating business) is for sale in Ararat city. The 1st floor is 78 square meters, the basement is 30 square meters. In the pictures are only pictures of the 1st floor. Sold together with the property.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18297693,Panels
Industrial and Manufacturing,"20,000 sq.m.",Ararat › Artashat,"$730,000",USD,"25 km from YerevanThe total area is 21,400 square meters. M.4.000 sq. M. Building constructionEntrance from Artashat highway, first line. FencedAdministrative building - 1737.5 sq. M.Workshop - 1279.6 square meters. M.Workshop - 861.6 sq. M.Water reservoir - 127.6 sq. M.Water reservoir - 127.6 sq. M.Building - 63.7 sq. M.Building - 212.4 sq. M.Building - 36 sq. M.Building - 16.5 sq. M.Building - 45.8 sq. M.Building - 141.8 sq. M.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/17982787,Stone
Restaurant,400 sq.m.,Ararat › Ayntap,"$480,000",USD,"Կոդ` B-16239Վաճառվում է 3 հարկանի գործող կոմերցիոն տարածք Այնթափ գյուղում՝ Երևան-Մեղրի ավտոմայրուղու վրա։ Տարածքը վերանորոգված է, շինության մակերեսը՝ 800քմ։ Մուտքի դուռը՝ ապակեպատ, պատուհանները՝ եվրո, հատակը՝ լամինատ, պրեսգրանիտ։Առաջին հարկում ընդունարանն է, երկրորդ հարկում՝ հանդիսությունների սրահ, երրորդ հարկը՝ հյուրանոց։ Ունի խոհանոց, ավտոկայանատեղ, սանհանգույցներ, օդորակիչներ, եռաֆազ հոսանք, անվտանգության և օդափոխության համակարգեր, մշտական ջուր և գազ։ Տարածքը վաճառվում է կահույքով և տեխնիկայով։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A 3 storey commercial space is for sale in Ayntap village, on the Yerevan-Meghri highway. The whole territory is renovated, the area of the building is 800 sq. M. The entrance door is glass-made, the windows are euro-based, the floor is covered by laminate and solid granite. On the first floor there is a reception hall, on the second floor is a ceremony salon, on the third floor is a hotel. The area has kitchen, parking, bathrooms, air-conditioners, three-phase electricity, security and ventilation systems and is supplied with constant water and gas. The area is being sold with furniture and technical devices.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_20-37,Available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/12920964,Stone
Retail Space,20 sq.m.,Ararat › Artashat,"$2,500",USD,"A completely stand-alone shop is for sale without a permit, call for questionsTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18009889,Bricks
Multifunctional Space,14 sq.m.,"Yerevan-Artashat roadway, Ayntap Border","$15,000",USD,Dproci dimac shoshi vra,Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/16180051,Stone
Warehouse,380 sq.m.,Ararat › Aygezard,"$55,000",USD,WarehouseCall in case of questionsTranslated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18011207,Panels
Industrial and Manufacturing,1500 sq.m.,"Myasnikyan street, Artaxata (Artashat)","$100,000",USD,Object of industrial significanceTranslated from Armenian,Dec-12-2022_20-37,Not available,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/16568765,Monolith
Retail Space,180 sq.m.,Ararat › Vedi,"$45,000",USD,"Վաճառվում է 60 քմ տարածք Կասյան փողոցում:Այն գտնվում է Արարատի մարզ, Ք Վեդի, Կասյան փողոց 17ԲՏարածքը բաղկացած է 2 հարկից, ունի նաեվ նկուղ, յուրաքանչյուր հարկը 60քառ. ՄՇինության հողատարածքը սեփականաշնորհված է:180 քառ. Մ ընդհանուր մակերեսովԸնդհանուրը180քմ, որից 120․քմ, ը որպես խանութ կամ այլ նպատակի, 60 քմ/ը նկուղային մասն էՄանրամասների համար Գրել ելեկտրոնային",Dec-12-2022_20-37,By agreement,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/15726988,Stone
Multifunctional Space,56 sq.m.,"Արարատյան փողոց 4, Մասիս","22,000,000 ֏",AMD,"Center. Also rent 200,000 dinars. For rent.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18364760,Monolith
Functioning Business,760 sq.m.,"Yerevan-Meghri highway, Taperakan","15,000,000 ֏",AMD,"A greenhouse for sale - a greenhouse in the area near the house, the area of the greenhouse is 570 square meters, the storage area is 28 square meters, the land area is 760 square meters. The greenhouse is provided with central gas, water and electricity, the sides of the greenhouse are stone walled and the cellophane is inflatable on both sides. The greenhouse is located next to Yerevan Yeraskh highway, in front of Spyka greenhouses.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18477937,Stone
Everything Else,2000 sq.m.,"Улица Паруйра Севака 1, Даштаван",$100,USD,A plot of land is for sale. A greenhouse is built on it from stone. The land is close to the houseTranslated from Armenian,Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/18295311,Stone
Multifunctional Space,715 sq.m.,Ararat › Artashat,"$170,000",USD,"A two-storey building with its land is for sale in the center of Artashat city, Ararat region.The total area of the land is 715 square metersThe area of the building is 495 square metersCeiling height: 4.5 m (baghdat)It is fenced, has 2 entrancesThe building served as a workshop, but it is a unique structure of the 19th century, built of tuff, which has preserved its architecturally excellent appearance.It needs interior renovation and finishing.Due to its position, it is suitable for various business activities. Can be used as a guest house, restaurant complex, etc.Kind regards: Asatryan Consulting team:Code 15230230Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/15230230,Stone
Everything Else,"10,000 sq.m.",Ararat › Ararat,"$120,000",USD,"Address: Ararat region,Area: 10,000 square meters800 square meters building7000 square meters fence3000 square meters without a fenceAvailable in the area:Three-phase currentWater 50 m awayThe area served as a community Tractor ParkClose to homeThe distance from the main road is about 500 mCode: AH-K209:Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/15118291,Stone
Retail Space,1300 sq.m.,"Gortsaranain street, Masis","$8,500",USD,"Land for sale in Masis, suitable for building a house in Masis station. For details, call and visit our Masis office.Code 23019Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Second Line,Separate from the Street,,,,,,https://list.am/en/item/16009996,Stone
Retail Space,100 sq.m.,"Dprocakanner alley, Masis","$60,000",USD,"Urgently for sale commercial area in Masis. All utilities are available, there is three-way electricity. For details call and visit our office.Code 2301707Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Second Line,Separate from the Street,,,,,,https://list.am/en/item/16879662,Stone
Industrial and Manufacturing,700 sq.m.,"Ազատության փողոց, Նորամարգ","$82,000",USD,On an area of 1 hectareTranslated from Armenian,Dec-12-2022_20-37,By agreement,Not available,First Line,Common from the Street,,,,,"Outdoor parking, covered parking, garage",https://list.am/en/item/18611685,Stone
Industrial and Manufacturing,"15,000 sq.m.",Ararat › Ghukasavan,"$36,000",USD,"Ararat region v. Ghukasavan15,000 square meters, 1.5 hectares, operating pig farm complex,With its necessary accessories.1 km away from Yerevan,Can be used for other purposes and for businesses.Below marketCode BB846Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Separate from the Courtyard,,,,,,https://list.am/en/item/17252858,Wooden
Industrial and Manufacturing,300 sq.m.,Ararat › Ayntap,"$40,000",USD,"Ayntap village, Ararat regionArea of 00/180 square meters1 line20 meters frontThe building is made of monolithic concrete and can be used as a workshop for other businessesCode BB911Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Separate from the Courtyard,,,,,,https://list.am/en/item/17448426,Stone
Retail Space,800 sq.m.,Ararat › Argavand,"$145,000",USD,"Commercial area for saleYerjan, Argavand• 800/106 square meters• 1 storey_•renovated• Euro windows• Two-way access• Near the main street• 120 sq. M. Area is a semi-constructed building• Leased for AMD 400,000Code AH058Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17496356,Stone
Industrial and Manufacturing,4200 sq.m.,"5-րդ փողոց, Ազատաշեն","51,192,000 ֏",AMD,Greenhouse with a total area of 3495 square meters.Translated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16345186,Stone
Industrial and Manufacturing,4500 sq.m.,"5-րդ փողոց, Ազատաշեն","58,320,000 ֏",AMD,"Greenhouse with a total area of 4,100 square meters. There is also a half-built freezer with a total area of 65 square meters.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16344623,Stone
Retail Space,192 sq.m.,"3-րդ փողոց, Ազատաշեն","14,985,000 ֏",AMD,Խանութ` 192 քմ ընդհանուր մակերեսով: Ունի հողամաս` 231 քմ ընդհանուր մակերեսով:Translated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16345936,Stone
Multifunctional Space,482 sq.m.,Ararat › Vedi,"28,100,000 ֏",AMD,"Office (public) area with a total area of 482.1 square meters.Suitable for different types of activities.Address: Ararat region, RA ք Vedi Araratyan 70 building.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17176071,Stone
Restaurant,"11,300 sq.m.",Ararat › Nor Ughi,"50,000,000 ֏",AMD,The area of the building is about 300 square meters. There are also 60 productive apricot trees in the area. All facilities are available for activities.Translated from Armenian,Dec-12-2022_20-37,By agreement,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18506652,Stone
Multifunctional Space,540 sq.m.,"Yerevan-Meghri highway 2, Mkhchyan","$450,000",USD,"An operating restaurant complex is for sale on the 1st line of Yerevan-Meghri interstate M2 road, only 6 km away from Yerevan. The total area is 11,300 square meters, the purpose of the land is industrial, of which 1,500 square meters is the restaurant area. The area of the buildings is 540 square meters, which includes 9 closed private rooms for 6-16 people, pavilions with 2 outdoor seats, each for 6-8 people, there is a cafe for 10-12 people in the lobby, a hall of newly built celebrations: For 80 people, where only the interior works are left to be done. The area has a large parking lot for 40 cars. At the beginning of the parking lot, near the highway, there is a fast food service point. In a part of the land there are 16 swimming pools for fish production, with an area of 2500 square meters with their pipelines. The area is completely fenced, has a separate electricity. Station, sewer, guard house, separate storage area of 150 square meters, designed for refrigerators. The restaurant complex is for sale together with the property and equipment.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Separate from the Street,,,,,Outdoor parking,https://list.am/en/item/13121083,Stone
Retail Space,100 sq.m.,"Azatamartikneri Street, Masis","$35,000",USD,"Shop-house for sale, with a certificate, 100 sq. M. Մ. E + 50 sq. M. Մ. Auxiliary area. It is advisable to pre-order as a home if necessary.Price: $ 35,000, negotiable, for details call the landline numbers.Privatized printing house for sale in the center of Masis, 2000 sq. M. Մ. Area, building, yard with double gates, double entrance. You can use it as a printing house, if you wish, wholesale bases, and in case of reconstruction, a restaurant complex, a kindergarten, a school, at your discretion, the price is negotiable.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/14250851,Stone
Functioning Business,1600 sq.m.,Ararat › Arbat,"$150,000",USD,Jedmatu provided the central gas to the artisan warehouse with a heating system with waterTranslated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18526864,Stone
Multifunctional Space,1000 sq.m.,Ararat › Ararat,"$28,000",USD,"A stone building is for sale on Yerevan-Meghri highway in the area of Ararat village. The building can be used as AUTO SERVICE, SHOP, CAR WASHING POINT, VULCANIZATION POINT, etc. The building area is 1000 sq. M. The price is negotiable. As a vulcanization point, call for details.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16998861,Stone
Everything Else,42 sq.m.,Ararat › Artashat,"550,000 ֏",AMD,"Mobile cabin, length 6.7 metersTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18483886,Cassette
Industrial and Manufacturing,1528 sq.m.,Ararat › Vedi,"$80,000",USD,"Former barns made of stone, ceiling made of pequez, roof made of slate. Suitable for any type of activity: Warehouse, workshop, barn. It also has 1800 sq. M. Land area. Call if you have any questions.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18087909,Stone
