Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments
Retail Space,,50 sq.m.,Available,Not available,First Line,Separate from the Street,"Hanrapetutian Avenue, Abovyan","160,000 ֏",AMD,Newly renovated. Located in a busy area. The front part is covered with glass. It has all the utilities.Translated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/18506396,Direct Lease,2 years,By Agreement,Not included
Office Space,,140 sq.m.,Not available,Not available,Second Line,Separate from the Street,"Hanrapetutian Avenue 16, Abovyan","180,000 ֏",AMD,It has all the communal facilities. It consists of a large hall and three halls. There are also other important areas of different sizes.Translated from Armenian,Dec-12-2022_20-03,Outdoor parking,https://list.am/en/item/18506479,Direct Lease,2 years,By Agreement,Not included
Retail Space,,35 sq.m.,,,,,"Mayisyan street, Proshyan","75,000 ֏",AMD,Commercial area on Mayisyan street. Village in ProshyanTranslated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/17738855,,,,
Functioning Business,,170 sq.m.,Available,Not available,First Line,Separate from the Street,Kotayk › Abovian,"480,000 ֏",AMD,"KOD-62118In Abovyan, for rent, an existing business, beautifully renovated.^ The area is spacious, suitable for any activity^ The area has a nice renovation, with high quality materials^ All utilities are availableTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/16407719,Direct Lease,3 months,1 month,Not included
Agricultural Space,,630 sq.m.,Not available,Not available,Other,Common from the Street,"2-րդ փողոց 70, Մրգաշեն համայնք",$350,USD,"It is a stone building, there are cages for pigs, in the middle of the area it is possible to keep cattle, it is provided with drinking water, electricity, the total area is 4600 sq. M., the building is 630 sq. M.Sale is possible.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17934426,Direct Lease,1 year,1 month,Not included
Multifunctional Space,,70 sq.m.,,,,,"Daran street 3, Abovyan","160,000 ֏",AMD,"The area can be used as a shop, office, classroom, for other purposes. There is water, electricity, internet.It is located next to the second school and Daran 3 building, on the street.Sale is possible.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17441228,,,,
Multifunctional Space,,1100 sq.m.,Not available,Not available,First Line,Common from the Courtyard,"Gevorg Chaush street, Yerevan","$1,500",USD,"A 2-storey commercial area of 1100 sq. M. Is for rent on the first line near the former Ministry of Defense near the Yerjan Ashtarak highway. Մ. Total area: The area is in good condition. Euro windows, air conditioner, metal door are installed, the floor is covered with laminate and chromogranite. It is provided with constant water and gas supply. It is heated by a heating system. The bathrooms are tiled, equipped with sanitary ware.Code 17915Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17433368,Direct Lease,6 months,1 month,Not included
Agricultural Space,,800 sq.m.,,,,,"Երիտասարդականի 2-րդ փողոց 1, Արամուս","200,000 ֏",AMD,"A farm for rent in the village of Aramus, has all amenities, gas, water, security system, 4000 m fenced area. Barn barns in Aramus farm barns for chickens and pigsTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18339227,,,,
Multifunctional Space,,600 sq.m.,By agreement,Not available,First Line,Separate from the Street,Kotayk › Abovian,"900,000 ֏",AMD,"Կայանատեղի, գազ, ջուր, լույս (եռաֆազ) գինը պայմանագրաին.Сдаётся в аренду здания на 600кв. (200кв каждый этаж)Все коммуникации имеются.Можно использовать как офис и как торговый бизнес.Есть парковка впереди и сзади.Цена договореннаяTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18252503,Direct Lease,1 year,By Agreement,Not included
Restaurant,,140 sq.m.,Available,Not available,Other,Separate from the Street,"Zoravar Andranik Street, Byureghavan","50,000 ֏",AMD,"An object for celebrations and funeral ceremonies is provided for daily rent. The price is negotiable. For details, call the indicated phone number.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18161296,Direct Lease,2 years,2 months,By Agreement
Automotive Service,,60 sq.m.,Not available,Not available,First Line,Separate from the Street,"Առինջեցու փողոց, Առինջ","80,000 ֏",AMD,"The apartment has water, sewage, light, can be used as an auto tech service point, warehouse, shop, on the central road.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18195927,Direct Lease,1 year,1 month,By Agreement
Building,,360 sq.m.,,,,,Kotayk › Hrazdan,"120,000 ֏",AMD,"Տրվում է վարձով արտադրական շենք։Հարմար է մեքենաների վերանորոգման, կահույքի, թեթեվ եվ մեխանիկական ադտադրության, ինչպես նաեվ պահեստային տարածքի համար։Բարձրությունը 4,5 մետրՉաբսերը՝ 12*30 մետրՈւնի եռաֆազ հոսանք",Dec-12-2022_20-03,,https://list.am/en/item/14033098,,,,
Retail Space,,300 sq.m.,,,,,Kotayk › Hrazdan,"$1,200",USD,"A rented business center-market is for rent on the 42nd kilometer of the Yerjan-Shan highway, the trade center has had its customers for 3 years already, it has always worked on a 24/7 schedule. In addition to the shop, it includes a ready-made tonratun with an unused sieve, tonir with its own hall, wooden seats, and tables.There is a lavash mini-workshop in front of the market, and inside there is a very high quality Georgian purée tonir, you can use them if you wish.It is one of the unique objects on the highway that has its own water, gas, electricity. It is furnished with a bathroom, toilet, water heating boiler.The whole area is monitored both inside and outside with HD quality cameras, with the possibility of remote tracking.There is a rather big bus station in front.There are advertisements on the building like a screen where you can place your advertisement.After seeing the area, you will realize that the required fee is much lower than it really is. It has great potential to become the best կետ food outlet on the highway.And why do we rent if the business is so good, because the market requires attention, investment, time that we do not have at the moment, like he has other businesses that we are currently engaged in?Call for details and we will provide detailsTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17948478,,,,
Retail Space,,120 sq.m.,,,,,Kotayk › Jrvezh,"550,000 ֏",AMD,The store is currently working as a grocery store. There are all communal facilities. Can I provide an empty container? For questions call:Translated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/18254818,,,,
Multifunctional Space,,120 sq.m.,Not available,Available,Second Line,Separate from the Street,"Հանրապետության պողոտա 3/1, Աբովյան","200,000 ֏",AMD,"120 sq. M. Is for rent. Commercial area without an intermediaryhas all the utilities: Light gas, water, bathroom heatingIt is suitable as a clinic, hairdressing salon, dental clinic, development center, shop, pastry shop, beauty salon, dance studio, for other activities.I will sign a long-term contract.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/16574458,Direct Lease,1 month,By Agreement,Not included
Retail Space,,50 sq.m.,Available,Not available,First Line,Separate from the Street,"Hanrapetutian Avenue, Abovyan","200,000 ֏",AMD,"Located in the central part of Abovyan city, call for details.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17653357,Direct Lease,2 years,By Agreement,By Agreement
Office Space,,132 sq.m.,Not available,Not available,Second Line,Separate from the Street,"Hanrapetutian Avenue 5, Abovyan","270,000 ֏",AMD,The area is renovated and has all facilities.Translated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/18038681,Direct Lease,2 years,By Agreement,Not included
Retail Space,,33 sq.m.,Not available,Not available,First Line,Common from the Street,"Մարշալ Բաղրամյան փողոց, Նոր Գեղի","100,000 ֏",AMD,Public space for any business. Mor Renovated according to European standards.Translated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/18088542,Direct Lease,6 months,2 months,Not included
Industrial and Manufacturing,,75 sq.m.,,,,,Kotayk › Proshyan,"130,000 ֏",AMD,"A production space is for rent in the village of Proshyan. It is equipped with gas, hot and cold water, three-phase electricity. For more information call.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18050254,,,,
Everything Else,,105 sq.m.,,,,,Kotayk › Yeghvard,"250,000 ֏",AMD,Commercial area is for rent near Yeghvard Bus Station. Equipped with utilitiesTranslated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/16511120,,,,
Everything Else,,100 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,"Saralangi street, Abovyan","80,000 ֏",AMD,Warehouse space for rent in Abovyan city.Translated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/18566056,Direct Lease,6 months,By Agreement,Not included
Hotel,,4500 sq.m.,Available,Not available,Second Line,Separate from the Courtyard,Kotayk › Aghveran,"230,000 ֏",AMD,"Aghveran Eco Guesthouse facebook page2-storey house for rent on Aghveran road, has a swimming pool, all communal facilities, 7-10 people can stay in the house, beautiful view to the gorge, river, we have pavilions for 40 people, bisets, fireplace, fireplace, swings, if desired we provide breakfast eco food, find us / Aghveran Eco Guesthouse / our Facebook page details there... You can arrange birthday and other happy occasions with us... We provide live music, DJ... We accompany our guests and Arzakan healing mineral hot water Cnndyan ev ayl mijocarumneri kazmakerpum, dj, Axveran... Aghveran... Hyuranoc... Hyuratun... Bisetka... Taxavar... Taghavar... Arzni... Hanqavan... Tsaxkadzhor... Jermuk... Dilijan... Ijevan... Sevan... Arzakani bujich taq hanqayin jur... Aghveran. 20 000 price for the mentioned pavilion we have pavilions of different sizes and stylesTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/14119525,Direct Lease,1 month,By Agreement,Included
Office Space,,500 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Kanakeravan,"$1,000",USD,"Production space, warehouse for rent in Kanakeravan.Each floor is 500 square meters, three-phase electricity, constant water, gas, internet.4000 square meters of land available.Code 1000302Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18230849,Direct Lease,1 year,1 month,Not included
Automotive Service,,70 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Byureghavan,"70,000 ֏",AMD,"Boxers are for rent in the central part of Byureghavan city, near the station. Each one is 70 square meters, they are given both separately and together. The price of each one is AMD 70,000.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18137895,Direct Lease,3 years,By Agreement,By Agreement
Automotive Service,,40 sq.m.,,,,,Kotayk › Abovian,"100,000 ֏",AMD,"For rent, wash your own hair, call real responsible peopleTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18506534,,,,
Office Space,,72 sq.m.,Not available,Available,First Line,Separate from the Street,"Ռուսաստանի փողոց 10, Աբովյան","$1,000",USD,"Office space in Abovyan is suitable for use as an office space, there is constant water, gas, electricity, internetTranslated from Armenian",Dec-12-2022_20-03,Outdoor parking,https://list.am/en/item/18681255,Direct Lease,6 months,1 month,Not included
Office Space,,46 sq.m.,Available,Not available,First Line,Separate from the Street,Kotayk › Abovian,"300,000 ֏",AMD,"The area is fully renovated. Currently operates as a licensed gynecological center. Equipped with necessary property and equipment, tools. The space has a waiting room, a doctor's office, a large office for examination and treatment. Two bathrooms. It is located on the first floor of a five-story building. It has a separate entrance. It is possible to use as a dental center. In that case, the area will be freed from gynecological devices.Translated from Armenian",Dec-12-2022_20-03,Outdoor parking,https://list.am/en/item/18605758,Direct Lease,1 year,By Agreement,Not included
Warehouse,,70 sq.m.,,,,,Kotayk › Zovuni,"120,000 ֏",AMD,"First line, 41 street, high ceiling, it is possible to use workshop, hot and cold water, communal facilitiesTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17203242,,,,
Warehouse,,300 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Zovuni,"250,000 ֏",AMD,"A soldierStorage area 300 square meters, water, electricity.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18500016,Direct Lease,6 months,1 month,Not included
Office Space,,120 sq.m.,,,,,Kotayk › Verin Ptghni,"150,000 ֏",AMD,"For rent, suitable for office space, at the beginning of the Yerevan-Sevan highway, near the northern bus station.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18443117,,,,
Hotel,,100 sq.m.,Available,Not available,First Line,Separate from the Street,"Улица Комитаса 2, Нор Гехи","10,000 ֏",AMD,"Сдаются в аренду, комфортные номера двух, трехместные! В живописном месте, рядом с санаторием Арзни, недалеко от Балаовит и Абовян! 15 минут от Еревана! На столе вас будут ждать чай, кофе фрукты и сладости! 8-е сутки в подарок! При проживании месяц и больше 30% скидка!",Dec-12-2022_20-03,Covered parking,https://list.am/en/item/12702679,Direct Lease,5 years,Without prepayment,Included
Everything Else,,130 sq.m.,,,,,Kotayk › Abovian,"350,000 ֏",AMD,"A fully renovated two-story building is for rent, both for commercial and office activities.Each floor has a separate bathroom, air conditioner and private room.The area is directly in front of the bus stop.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18424799,,,,
Restaurant,,100 sq.m.,Available,Not available,First Line,Separate from the Street,Kotayk › Tsakhkadzor,"500,000 ֏",AMD,"Restaurant area, furnishedTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17481064,Direct Lease,1 year,3 months,By Agreement
Hotel,,22 sq.m.,Available,Not available,First Line,Common from the Street,Kotayk › Tsakhkadzor,"300,000 ֏",AMD,"Rooms for daily rent in Bagart Hotel, TsakhkadzorTranslated from Armenian",Dec-12-2022_20-03,Outdoor parking,https://list.am/en/item/17477883,Direct Lease,1 month,By Agreement,Included
Multifunctional Space,,7000 sq.m.,By agreement,Not available,Second Line,Separate from the Courtyard,Kotayk › Abovian,"$1,000",USD,"Տրվում է վարձով 1200 քմ շինություն։հարմար է տարբեր տեսակի, բիզնեսի, արտադրության և այլնի համար։ տարածքը հագեցած է գազով, ջրով, եռաֆազ հոսանքով։անսահմանափակ հնարավորություններ։ հնարավոր է նաև մասնակի վարձակալություն։ տարածքը գտնվում է Աբովյանի կոտայք գյուղում։ Երևանի կենրոնից 20 կմ հեռավորության վրա է։ ունի 6500քմ հողատարածք։ հմարավոր է նաև վաճառք։ վարձը կազմում է 1 քմ 1$ Сдается в аренду здание площадью 1200 квадратных метров, подходящее под разные виды бизнеса, производства и т. Д. Участок оборудован газом, водой, трехфазным электричеством. Неограниченные возможности. Возможна частичная аренда. Участок Котайк расположен в селе Абовян. Он находится в 20 км от центра Еревана. Имеет 6500 квадратных метров земли. Можно продать. Арендная ставка составляет 1 доллар за квадратный метр.",Dec-12-2022_20-03,,https://list.am/en/item/17471392,Direct Lease,5 years,By Agreement,By Agreement
Industrial and Manufacturing,,120 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,Kotayk › Arinj,"100,000 ֏",AMD,"There is a constant mule, eophase current, san junction, dressing room.Translated from Armenian",Dec-12-2022_20-03,Outdoor parking,https://list.am/en/item/18671714,Direct Lease,6 months,1 month,Not included
Office Space,,100 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,"2-րդ միկրոշրջան 18, Աբովյան","200,000 ֏",AMD,"The area is located on the first floor of a residential building, next to building 18.Three-phase current is also available.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18378188,Direct Lease,1 year,By Agreement,By Agreement
Retail Space,,100 sq.m.,,,,,"Verin Ptghni Մ-4, Yerevan","250,000 ֏",AMD,"The vehicle is for rent on the Yerevan-Sevan highway. It is possible to use the space for commercial purposes, as well as forge. The price is negotiable.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18421195,,,,
Warehouse,,2150 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,"Verin Ptghni Մ-4, Yerevan","800,000 ֏",AMD,"A warehouse is for rent near the northern parking lot, 2150 sq. M., of which 1000 sq. M. It is a closed area.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/16885002,Direct Lease,6 months,1 month,Not included
Industrial and Manufacturing,,5600 sq.m.,Not available,Not available,Second Line,Separate from the Street,"Kochinyan Street 54, Jrvezh","$4,500",USD,"Workshop space for rent in Jrvezh,Building 1000m2On 2 floors5600 m - fenced land areahas a guard postpartial lease possibleCan serve as a warehouse.Code Dp-011Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/15165888,Direct Lease,1 year,By Agreement,Not included
Industrial and Manufacturing,,200 sq.m.,,,,,Kotayk › Jrvezh,"135,000 ֏",AMD,"It is located in Bagrevand district, a semi-basement is 3.2m high, it has three-phase electricity, water, possibly partial, there is another semi-basement of 60 square meters in the area, it can serve as a production area and as a warehouse. NegotiableTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18060992,,,,
Warehouse,,230 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Zovuni,"300,000 ֏",AMD,"Newly constructed storage area. With three-phase current. Located 2 km from Davitashen. The total area is 450 sq. M:The area of the spare part is 230 sq. M:The area of free land is 220 square meters. M:Also possible sale for $90,000.For more information call:Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18143410,Direct Lease,1 year,By Agreement,Not included
Office Space,,280 sq.m.,Not available,Not available,First Line,Common from the Street,"Kentron block, Hrazdan","180,000 ֏",AMD,"Located in Hrazdan center district ․ In a busy area, 140 sq. M.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/15236574,Direct Lease,1 year,By Agreement,Not included
Retail Space,,41 sq.m.,Not available,Not available,First Line,Separate from the Street,"Purakain street 32, Hrazdan","60,000 ֏",AMD,"The area is located under the microdistrict 235 building of Hrazdan city. There is water and electricity. It has a bathroom, a basement. It can serve as a shop, beauty salon, office.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18423341,Direct Lease,1 year,By Agreement,By Agreement
Automotive Service,,182 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,"6 -րդ թաղամաս 6-25 , Չարենցավան","250,000 ֏",AMD,"In Charentsavan city, a garage is for rent (it is possible to carry out car service inside) It has constant light, three-phase gas, water, a boiler is installed, a FONDITAL bathroom, the premises are under video surveillance.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18527961,Direct Lease,5 years,1 month,Not included
Everything Else,,18 sq.m.,Available,Not available,First Line,Separate from the Street,"Երևանյան փողոց, Հրազդան","35,000 ֏",AMD,"Commercial area is for rent in Hrazdan, on Yerchanyan street, next to Ardshinbank. The area is 18 square meters, you can use it for different purposes.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17545330,Direct Lease,2 months,1 month,Not included
Industrial and Manufacturing,,1300 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Jrvezh,"1,540,000 ֏",AMD,"Completely closed, newly built, monolithic reinforced concrete walls and monolithic reinforced concrete storage or production area (bunker) in Jrvezh is for rent. It is located right on the main road, at the intersection of two highways.Designed for trucks of any size, to enter the building directly, thanks to the 6 m high ceiling. All the communications are available (sewer, water, electricity and internet)Building design ային layout solutions allow you to have office space next to a warehouse or workshop.The area is 1320 sq. M. M:Сдается в аренду шладское, промышленное и офисное полущение. The mixture is placed in a new building and disposed of on two levels. Completeness is closed and consists of monolithic reinforced concrete walls, columns and overhangs (bunker) Площадь - 1320 sq. M. М.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17974612,Direct Lease,6 months,1 month,Not included
Warehouse,,1320 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Jrvezh,"1,500,000 ֏",AMD,"A fully closed, newly built, monolithic reinforced concrete wall and monolithic reinforced concrete storage or production area (bunker) for rent in Jrvezh. It is located right on the main road, at the intersection of two highways.Designed for trucks of any size, to enter the building directly, thanks to the 6 m high ceiling. All the communications are available (sewer, water, electricity and internet)Building design ային layout solutions allow you to have office space next to a warehouse or workshop.The area is 1320 sq. M. M:Сдается в аренду шладское, промышленное и офисное полущение. The mixture is placed in a new building and disposed of on two levels. Completeness is closed and consists of monolithic reinforced concrete walls, columns and overhangs (bunker) Площадь - 1320 sq. M. М.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17918695,Direct Lease,6 months,1 month,Not included
Office Space,,320 sq.m.,Available,Not available,First Line,Separate from the Street,"Sevan Street, Abovyan","1,200,000 ֏",AMD,320 square meter office space for rent in Abovyan cityWith all utilitiesBy land areaParking for more than 10 carsIt is in a very convenient locationFor more information callTranslated from Armenian,Dec-12-2022_20-03,Outdoor parking,https://list.am/en/item/18647085,Direct Lease,6 months,1 month,Not included
Building,,151 sq.m.,Not available,Not available,First Line,Separate from the Street,"Улица Пуракаин 38, Раздан","370,000 ֏",AMD,"A newly built, renovated and uninhabited area is for rent, which is equipped with a complete heating system and all utilities, located in Hrazdan city at 38 Marshal Baghramyan (Purakai) Street.The area is locatedOn the 2nd floor of the Prof-Test hemodialysis laboratory, Prom-TestIt has a separate entrance to the parking lot and a security system right next to the Hrazdan Medical CenterPrice negotiableTranslated from Armenian",Dec-12-2022_20-03,Outdoor parking,https://list.am/en/item/18539875,Direct Lease,1 year,By Agreement,By Agreement
Office Space,,25 sq.m.,,,,,"4th microdistrict 30, Abovyan","150,000 ֏",AMD,"Public space for rent on the first floor of a residential building, renovated and with a separate entrance from the street. There is a bathroom. It has been planned to carry out pharmacy activities and has the appropriate furniture. Meets all requirements for a pharmacy license. At one time the license was granted, but it was not used as a pharmacy. It is also suitable for office and commercial activities or for use as a beauty salon, as well as for storage. A lower price is possible for long-term rentals.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18211687,,,,
Everything Else,,700 sq.m.,,,,,"Կոտայքի փողոց, Բյուրեղավան","95,000 ֏",AMD,Oravadzov Mansion in ByureghavanWith all amenitiesCall for detailsTranslated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/18133331,,,,
Office Space,,50 sq.m.,,,,,"Yeritasardutyan street, Charentsavan","120,000 ֏",AMD,"A space of 50 square meters is for rent. With its utilities. The area is suitable for organizing office, beer, and production. Bargaining is possible when renting real estate.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18090623,,,,
Everything Else,,,By agreement,Not available,First Line,Common from the Street,"Shahumyan street, Charentsavan","800,000 ֏",AMD,"Գործող բիզնես Չարենցավանի կենտրոնում անմիջապես հրապարակին կից: Եռահարկ շինությոնը ամբողջովին նոր վերանորոգված է ոնի՝ 1-ին հարկում սրճարան 120քմ, խոհանոց 30քմ, 2 սանհանգույց, նախասրահ ետնամասից 15քմ, առկա է 3 առանձնասենյակ դրսից մուտքերով և սանհանգույց:2-րդ հարկում 6 հյուրանոցային սենյակներ, 3-րդ հարկում ՝ լվացքատուն, խորդանոց նաև 5 օֆիսային սենյակներ որոնք կարող եք ծառայեցնել այլ գործունեության համար: Շինությունն ապահոված է մշտական ջրով, եռաֆազ հոսանք, բնական գազ, ինտերնետ կապ: Հնարավոր է վաճառք նաև ամբողջ գույքով և տեխնիկայով:",Dec-12-2022_20-03,,https://list.am/en/item/9572605,Direct Lease,1 year,By Agreement,By Agreement
Retail Space,,105 sq.m.,,,,,Kotayk › Abovian,"200,000 ֏",AMD,"It is located in the city of Abovyan, 4 mikoe in the center, next to the post office, it has a bathroom area of 105 square meters.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18351946,,,,
Retail Space,,80 sq.m.,,,,,Kotayk › Abovian,"150,000 ֏",AMD,"A shop or production area or both are for rent. There is water, electricity and a bathroom. Details by phoneTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18173669,,,,
Automotive Service,,180 sq.m.,Available,Not available,First Line,Common from the Street,Kotayk › Zovuni,"100,000 ֏",AMD,Intended for store car serviceTranslated from Armenian,Dec-12-2022_20-03,Outdoor parking,https://list.am/en/item/18657318,Direct Lease,1 year,Without prepayment,Not included
Retail Space,,20 sq.m.,,,,,Kotayk › Abovian,"100,000 ֏",AMD,It is given with a rose in the back of the Tsiran supermarketTranslated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/18279799,,,,
Hotel,,24 sq.m.,,,,,"Միկրոշրջան թաղամաս 1, Հրազդան","20,000 ֏",AMD,"Сдаётся в аренду двухместны номер с гаражом.Удобства в номере: Двухспальная кровать, ванная комната.Еда отдельно, есть быстрая доставка еды для Вас (вкусная кухня)В районе доступны точки быстро еды, супермаркеты.Долгосрочная аренда 1 день - 20.000 драм.Город Раздан Микрорайон 3-улица 3/3",Dec-12-2022_20-03,,https://list.am/en/item/17492843,,,,
Office Space,,287 sq.m.,,,,,"Սահմանադրության հրապարակ 7/2, Աբովյան","1,300,000 ֏",AMD,"Office space for rent in K. In Abovyan (Constitution Square) on the second floor of Ameria Bank. The total area is 287 square meters. M.: There is a bathroom, hot and cold water, three-phase electricity, gas, two entrances (front and back) Call for details.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18214774,,,,
Retail Space,,130 sq.m.,By agreement,Not available,First Line,Separate from the Street,"Զորավար Անդրանիկի փողոց 12, Պռոշյան","150,000 ֏",AMD,"An area is for rent in Proshyan village, right in the center, it can serve, a shop, a warehouse, a fast food point, an office space, etc.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17392389,Direct Lease,6 months,By Agreement,Included
Warehouse,,44 sq.m.,,,,,"1-ին փողոց 35, Վերին Պտղնի","120,000 ֏",AMD,A car service point (box) is for rent on the Yerevan Sevan highway section. You can use the space as a car service point or for other production purposesTranslated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/18290661,,,,
Industrial and Manufacturing,,100 sq.m.,,,,,Kotayk › Kasagh,"120,000 ֏",AMD,"Semi-basement area 100m. Suitable for production, storage or other activities.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/17890441,,,,
Automotive Service,,100 sq.m.,,,,,Kotayk › Hrazdan,"$27,000",USD,"The car service area is located in c. Hrazdan, Micro block, In the vicinity of the CASTLE restaurant complexThe area has 5 tons of Padomnik new generation and unusedHe has a box!$ 30,000 in case of saleIn case of rent 120,000 AMDTranslated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/16270470,,,,
Retail Space,,150 sq.m.,Available,Not available,First Line,Separate from the Street,Kotayk › Dzoraghbyur,"300,000 ֏",AMD,The mini market is given for a long term. The first two months are free.Translated from Armenian,Dec-12-2022_20-03,Outdoor parking,https://list.am/en/item/18374507,Direct Lease,1 year,2 months,Not included
Retail Space,,44 sq.m.,,,,,"Jrvezh 4-th street, Yerevan","200,000 ֏",AMD,"A grocery store is for rent in the Busy part of Jrvezh on the side of the road, along with all its property and equipment, it has a bathroom, air conditioner inside. To make a detailed arrangement, call the specified number. Urgent.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18145672,,,,
Warehouse,,500 sq.m.,,,,,"4th microdistrict, Abovyan","350,000 ֏",AMD,The hangar is in a dry conditionTranslated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/17777177,,,,
Industrial and Manufacturing,,650 sq.m.,,,,,Kotayk › Zovuni,"440,000 ֏",AMD,"A working business, a pumice stone workshop with its machine tools, is for rent in the village of Zovuni. The total area is 650 sq/m. 400 sq/m covered outdoors. It is possible to rent only the area. The price is 600,000 (six hundred thousand) AMD.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/16441314,,,,
Industrial and Manufacturing,,650 sq.m.,,,,,Kotayk › Zovuni,"440,000 ֏",AMD,"2 areas are for rent, each 200 sq. M., in the village of Zovuni, Yeghvard Highway, the area is 650 sq. M.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/16610812,,,,
Retail Space,,20 sq.m.,Not available,Not available,First Line,Separate from the Street,"Hanrapetutian Avenue, Abovyan","100,000 ֏",AMD,"The area is located in the central part of the city of Abovyan, on the main street, there is a bus stop in front of it, in the adjacent area is the newly improved park of the city. Suitable for commercial and office use, fan installed. Can be provided with an existing business if desired (grand candy candy)Translated from Armenian",Dec-12-2022_20-03,Outdoor parking,https://list.am/en/item/18607246,Direct Lease,1 month,By Agreement,Not included
Office Space,,115 sq.m.,,,,,Kotayk › Charentsavan,"200,000 ֏",AMD,For rent as an office space (formerly Luna Cafe)Translated from Armenian,Dec-12-2022_20-03,,https://list.am/en/item/17001026,,,,
Warehouse,,1000 sq.m.,,,,,"Saralangi street 8, Abovyan","200,000 ֏",AMD,"Apartment for rent in Saralanj district. Fenced with a separate entrance, guard post. Suitable for auto-rickshaw, van parking.Translated from Armenian",Dec-12-2022_20-03,,https://list.am/en/item/18009216,,,,
