Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links,Construction Type
Industrial and Manufacturing,2800 sq.m.,Armavir › Echmiadzin,"$370,000",USD,"В Армении г. Вагаршапат (Эчмиадзин) на трассе Эчмиадзин-Ереван Продаются или сдаются в аренду коммерческие помещения площадью 2800 кв. М можно увеличить до 3500 кв. МПодходит для любого вида деятельности.Гостиничный ресторанный комплексПроизводствоСкладские помещенияПодходит для мукомольный завод,Есть два офиса под ремонт, летная верандаПисать сообщение, номер не доступна",Dec-12-2022_20-36,By agreement,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/17702222,Stone
Multifunctional Space,80 sq.m.,"Եղիշե Չարենցի փողոց 1/1, Վաղարշապատ","$105,000",USD,Multipurpose property for sale. Vagharshapat Charentsi 1/1 addressTranslated from Armenian,Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,Garage,,,,,https://list.am/en/item/18314315,Stone
Industrial and Manufacturing,1020 sq.m.,"Էջմիածնի խճուղի, Խորոնք","9,000 ֏",AMD,"57,300 square meters of productive land is urgently for sale to organize an auxiliary farm, including a 1,020 square meter cattle yard. To get acquainted with the details, only real buyers should call every day at 10:00-23:00.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Second Line,Separate from the Street,Outdoor parking,,,,,https://list.am/en/item/13697840,Panels
Industrial and Manufacturing,9460 sq.m.,"Զվարթնոց թաղամաս, Վաղարշապատ",$90,USD,"A factory with its production, administrative-storage areas of 1900 square meters is for sale in Etchmiadzin. The whole area of the factory is fenced, all the communal facilities are available. Only real buyers will call every day from 10:00 to 23:00.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Second Line,Common from the Street,Outdoor parking,,,,,https://list.am/en/item/13124950,Stone
Retail Space,62 sq.m.,Armavir › Armavir,"$62,000",USD,"1 c. M - $ 100Price is negotiableThere is an email. Electricity, water supply, bathroom.In case of questions, the mentioned number is available via Viber, Whatsapp.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/17295764,Stone
Building,1500 sq.m.,Armavir › Myasnikyan,"$34,000",USD,"A farm with its land is for sale, the land area is 1500 square meters, the farm area is 450 square meters.There is a spare part of 120 square meters, it has a house to live in. It is provided with constant water and three-phase electricity. Ferman is located next to the central highway.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/16371641,Stone
Functioning Business,475 sq.m.,"Erevanyan street, Armavir","$350,000",USD,Продается 350000 доллар,Dec-12-2022_20-36,Available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/15646529,Stone
Retail Space,21 sq.m.,Armavir › Echmiadzin,"$28,000",USD,"Operating business. It is possible to sell the property with medicines in it for $39,000. The empty container without property and medicine is $28,000. Urgent.Translated from Armenian",Dec-12-2022_20-36,Available,Available,First Line,Common from the Street,,,,,,https://list.am/en/item/18292361,Stone
Everything Else,30 sq.m.,"Hanrapetutyun street, Armavir","$60,000",USD,Commercial space for sale with ownership certificate.Translated from Armenian,Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18452631,Stone
Functioning Business,30 sq.m.,Armavir › Echmiadzin,"$30,000",USD,"SHOP FOR SALEPrice $ 30,000In the city of EtchmiadzinThe living area is 30 square metersTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/16763127,Stone
Building,127 sq.m.,"Spandaryan Street, Vagharshapat","$100,000",USD,Semi-built for sale in Etchmiadzin. With the permission of the second floor... The land is of public importance 150 m.NEGOTIABLETranslated from Armenian,Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/15809632,Monolith
Agricultural Space,1500 sq.m.,"Ղազարոս Աղայանի փողոց, Վաղարշապատ","25,000,000 ֏",AMD,"A functioning greenhouse is for sale in an area of 1100 square meters, there is a stone building of 120 square meters, a refrigerator, three-phase electricity, drinking and artisanal water.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/18199720,Stone
Multifunctional Space,134 sq.m.,"Vazgen Arajin street, Vagharshapat","$120,000",USD,"2 separate buildings, for rent. (Echmiadzin, Kirov) Owner:Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/16844491,Stone
Multifunctional Space,3200 sq.m.,"Mesrop Mashtots street 81/1, Vagharshapat","$360,000",USD,"Area 3200 for sale in the center of EtchmiadzinSq. MHotel, apartment building is provided. Sports club to buildhas two entrances from different streets.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/11275500,Stone
Multifunctional Space,132 sq.m.,"Shahumyan street 14, Armavir","$39,000",USD,"Commercial space for sale on the 1st floor of a 5-story residential building, with entrance from both sides of the building, high ceiling and large windows. The facade is made of glass.The area has iron doors, bars, electricity, water and gas. Previously operated as a grocery store, arcade.The area is located about 200 meters from the intersection of Araratyan and Shahumyan streets. The price is negotiable.Translated from Armenian",Dec-12-2022_20-36,By agreement,Not available,First Line,Separate from the Street,Outdoor parking,,,,,https://list.am/en/item/18579350,Stone
Functioning Business,"20,000 sq.m.",Armavir › Armavir,"$600,000",USD,"For sale in DZORUM, a spacious recreation area, there is a large parking lot for about 80 cars, two functioning swimming pools, with a filtering system, there is a cafe in the pool area.There are 7 bathrooms, a large playground, 15 different-sized apartments (for 15 to 80 people) in the area.There is a functioning SHOP in the areaThere is permanent irrigation and drinking water and electricity in the areaThe area is completely tiledThe size of the area makes it possible to add pavilions and guesthouses or hotel rooms.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,Outdoor parking,,,,,https://list.am/en/item/18634317,Stone
Functioning Business,6500 sq.m.,Armavir › Echmiadzin,"$350,000",USD,"I am selling a 720 sq. M. Building on 6000 sq. M. Land near the house, it is suitable for a house, a hotel, a recreation area, etc. , a separate three-phase station with a separate drinking water supply, a separate well, the building is located on the central road. For more information call. Owner:Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/11969290,Stone
Restaurant,400 sq.m.,"2 block, Metsamor","$100,000",USD,"It is a capital building, it has gas, water, everythingTranslated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/15750488,Stone
Warehouse,500 sq.m.,Armavir › Aratashen,"$50,000",USD,"160 sq. M. For sale. Refrigerator + 250 sq. M. Livestock (also suitable for storage) + 40 sq. M. Warehouse: The area is fenced, provided with drinking water, sewage, and three-phase. The total area of the land is 800 square meters.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18399094,Stone
Functioning Business,64 sq.m.,Armavir › Echmiadzin,"$30,000",USD,"5 km from Etchmiadzin, 30 km from Yerevan. For sale is a working bakery with all its accessories, there is also a toaster for baking lavash. It has three-phase current, gas. The area is on the main street, it has a plot of 400 square meters with fruit trees. M. Suitable for any activity. UrgentTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18351529,Stone
Retail Space,100 sq.m.,Armavir › Echmiadzin,"$130,000",USD,Existing business with equipment for saleIn the center of Etchmiadzin cityThe area is 100 square metersAshotHeating SystemFor more information callCode A022Translated from Armenian,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/15820215,Stone
Everything Else,91 sq.m.,"V. Kostanyan street, Vagharshapat","$100,000",USD,Վռամ Կոստանյան 6/2 հասցեում վաճառվում է 4 սենյականոց բնակարան 1֊ ին հարկում մուտքը բալկոնից ։ Ունի ջուր։ գազ։ լույս։Մակերեսը 91մ Ունի նաև նկուղ։ ։։,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/11782529,Panels
Multifunctional Space,180 sq.m.,"Լ.Դ. դյու Ֆուրնե փողոց, Մուսալեռ","$180,000",USD,"It is located on the Yerevan-Echmiadzin highway, in the Musaleran section. It is renovated, has three-phase electricity, water, gas. It has two air conditioners, security system, kitchen, rest room, bathroom. It also has the possibility of a 2nd floor. The building was built in 2019. The price is negotiable.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18429229,Stone
Multifunctional Space,20 sq.m.,"Մովսես Խորենացի փողոց 20Ա, Վաղարշապատ","9,000 ֏",AMD,Metal structure adjacent to the building.Translated from Armenian,Dec-12-2022_20-36,By agreement,Not available,First Line,Common from the Courtyard,,,,,,https://list.am/en/item/10773700,Cassette
Retail Space,12 sq.m.,"Չարենց փողոց 28, Արմավիր","2,500,000 ֏",AMD,"It has been used as a hairdressing salon for more than ten years. It is completely renovated. The area is visible from Sayat Nova ար Charents street.It is for rent. If you have any questions, call.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Second Line,Common from the Courtyard,,,,,,https://list.am/en/item/16371987,Monolith
Office Space,30 sq.m.,"Aygek-Paraqar Highway, Merdzavan","200,000 ֏",AMD,"30 sq. M. Is for rent. M, newly renovated, the address is on the nearest bus road, behind the gate, for other questions, call.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18371795,Stone
Automotive Service,40 sq.m.,"Aragatsi street, Vagharshapat","$35,000",USD,"A stone building for car service is for sale, it is the first line, 4 meters wide, 10 meters long, 3.5 meters high, it is privatized.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17973524,Stone
Functioning Business,1200 sq.m.,Armavir › Armavir,"65,000,000 ֏",AMD,"The fruit refrigerator works flawlessly up to 500 tons, there is an electric trailer, there are cosmetic works on the refrigerator, the units work flawlesslyTranslated from Armenian",Dec-12-2022_20-36,By agreement,Not available,First Line,Separate from the Street,"Outdoor parking, covered parking",,,,,https://list.am/en/item/18634011,Stone
Functioning Business,3470 sq.m.,"Tumanyan street 1, Vagharshapat","$500,000",USD,"Շտապ վաճառվում է կամ տրվում է վարձով գործող բիզնեսներ, ջերմոց, հացի և մակարոնի արտադրամաս, խմորեղենի արտադրամաս և խանութ, ավտոլվացման կետ իր աշխատասենյակներով (ննջարան, սանհանգույց, խոհանոց, հյուրասենյակ) : Տարածքը տեսախցիկներով, սարքավորումները ՝ նոր: Լույս, գազ, ջուր, էլէկտրականություն, (wifi), վառարաններ ֆրանսիական հացի համար։3470m2 sepakanater ՀԱՍՑԵ։ Տերյան 944 Էջմիածին",Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/15231455,Stone
Office Space,40 sq.m.,Armavir › Parakar,"$70,000",USD,"Կոդ` B-22875Վաճառվում է կոմերցիոն տարածք Փարաքարում։ Տարածքը միջին վերանորոգված է, շինության մակերեսը՝ 70 քմ։ Մուտքի դուռը՝ երկաթյա, պատուհանները՝ եվրո, հատակը՝ լամինատ։ Ունի խոհանոց, սանհանգույց, եռաֆազ հոսանք, գազի հնարավորություն և մշտական ջուր։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A commercial area for sale in Parakar․ The area is middle renovated, the area of the building is 70 sq. M. The entrance door is iron-made, the windows are euro-based, the floor is covered by laminate. The area has a kitchen, bathroom, three-phase electricity, the possibility of gas and is supplied with constant water.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18214507,Stone
Retail Space,30 sq.m.,Armavir › Echmiadzin,"$31,000",USD,"A grocery store with a separate building is currently for sale on Mashtots St. Has a bathroom and storage area.There is also a 4-room apartment near the store, which you can buy together with the store for $ 46,000Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/16251400,Stone
Everything Else,380 sq.m.,"Խաչատուր Աբովյանի փողոց 22, Սարդարապատ","6,000,000 ֏",AMD,"Land with a stone building is for sale in Sardarapat (October) village, Armavir region. M 5 interstate, on the road leading to Sardarapat memorial. 380 sq. M. There is gas, water, electricity.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Courtyard,,,,,,https://list.am/en/item/17116174,Stone
Office Space,62 sq.m.,"Hanrapetutyun street 6, Armavir","$75,000",USD,"Business premises for sale in the center of Armavir city, suitable for a dental clinic, office, beauty salon, training courses and other similar activities. 1m2=1210$. Long-term rental is also possible.NEGOTIABLEView all announcements.Owner:Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Second Line,Separate from the Street,,,,,,https://list.am/en/item/12627998,Stone
Industrial and Manufacturing,1720 sq.m.,"Araratyan street 5, Armavir",$120,USD,"Two adjacent public spaces of 920m2 and 800m2 are for sale in Armavir city, which has three-phase electricity and water. The area is completely fenced and located in the center of the city. It is suitable for building a wedding hall, funeral and funeral ceremonies, as well as a funeral hall. 1 m2 = $120NEGOTIABLEOwner:View all announcements.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/12627979,Stone
Hotel,2000 sq.m.,"Արամ Մանուկյան փողոց 5, Մուսալեռ","$1,300,000",USD,"An existing hotel 1 km from Zvartnots airport is for sale. Which has its own plot of land of 2000 square meters, the area of the building is 1200 square meters. There are 22 fully renovated rooms, the bathrooms are tiled. The rooms are air-conditioned, bright and some rooms have a view of Mount Ararat. It has 3 kitchens, local heating. Parking for 30 cars, gas station, electric substation, three-phase electricity, natural gas, own drinking water line and own well, toaster (grill, toaster), boiler room, cellar, spare parts, orchard. Provided with property and equipment. The road to the hotel is asphalted and paved with a water system, greenery, fruit trees and lighting.Sold with property and appliances.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/18195892,Stone
Retail Space,24 sq.m.,Armavir › Echmiadzin,"$15,000",USD,"Garage, call in case of questions, located near the gravesTranslated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Common from the Street,Outdoor parking,,,,,https://list.am/en/item/18672561,Stone
Retail Space,160 sq.m.,"Hanrapetutyun street, Armavir","$50,000",USD,"Operating a business center in the city center. Bread and pastry factory, next to which there is also a refrigerator with a capacity of 40 tons.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/16008576,Stone
Retail Space,300 sq.m.,Armavir › Echmiadzin,"15,000,000 ֏",AMD,"The shop in the center of the village is for sale together with the house, with a land area of about 1000 square meters, the shop area is fenced. Address: Armavir Marz, Etchmiadzin Region: Metsamor villageTranslated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18141569,Stone
Agricultural Space,7999 sq.m.,Armavir › Echmiadzin,"$45,000",USD,"A newly built cattle barn is for sale in capital condition, with all the facilities for keeping 50 cattle. 30 meters long, 10.5 wide, and 30 square meters adjacent to the barn. Attached house: 9 m. Length 4 m. Width: Exchange options with house, car will also be discussed with an additional fee from us.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18205689,Stone
Retail Space,54 sq.m.,Armavir › Echmiadzin,"$59,000",USD,Hairdressing salon for saleIn the city of EtchmiadzinThe area is 54 square metersFloor 1_1AshotHeating SystemBasementFor more information callCode A012Translated from Armenian,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17083376,Stone
Retail Space,330 sq.m.,Armavir › Yeghegnut,"$100,000",USD,"An existing business premises is for sale or rent in the village Yeghegnut, Armavir regionThe area consists of 5 halls, only 330 square metersoperating marketbread and pastry factorystorage roombathroomsold with the entire propertyTranslated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18184692,Stone
Functioning Business,3600 sq.m.,Armavir › Echmiadzin,"$125,000",USD,"An existing business in Etchmiadzin is for sale.3600 square meters In total area,All utilities are availableTranslated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/18665360,Wooden
Multifunctional Space,160 sq.m.,"1district, Metsamor","$70,000",USD,"Two-story building, suitable for various activities, each floor is 80 square meters, has electricity, water, bathroom on each floor.The first floor functioned as a clothing store, the second floor as a barber shop.It is currently functioning as a children's college.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17741247,Stone
Automotive Service,150 sq.m.,"Mesrop Mashtots street, Vagharshapat","$95,000",USD,"Urgent sale of 150 square meters. M privatized boxes, electricity disconnected, is located on the Etchmiadzin-Yerevan highway, the first structure immediately after coming from Etchmiatsin to Yerevan, the front part is 33m. It is possible to exchange with an apartment or a house in the city of Etchmiadzin. HovhannesTranslated from Armenian",Dec-12-2022_20-36,By agreement,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18439650,Panels
Multifunctional Space,2900 sq.m.,Armavir › Echmiadzin,"$125,000",USD,"Code A0457:OPERATING BUSINESS FOR SALE (HEATERS, WORKSHOP, LAND)Echmiadzin City in Tsaghkunk communityAreas 515 sq. M.Greenhouses 700 sq. M.The current land area is 2700, of which 700 square meters are publicAshotThree-phase currentDeep downThe land is fencedAuxiliary buildingFor more information call:Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17268250,Stone
Industrial and Manufacturing,2000 sq.m.,Armavir › Echmiadzin,"85,000,000 ֏",AMD,"The area has: Slaughterhouse, barns, office, living rooms, swimming pool, pigs (pigs), cows, calves, bulls, gojis. There is also: Light, water, electricity, three-phase, electricity.The area of the building is 1400m.For sale URGENTLY.For details, call the indicated number.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18056476,Stone
Retail Space,50 sq.m.,"Ստեփան Շահումյանի փողոց 53, Վաղարշապատ","360,000 ֏",AMD,"For sale. If you have any questions, call usTranslated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/17377764,Bricks
Retail Space,48 sq.m.,"Spandaryan Street, Vagharshapat","$30,000",USD,"Commercial space for sale in Spandaryan Street or Tigran Mets Street with the new address in Etchmiatsin, near Chast. The area has 2 floors, each floor is 24 square meters, the ceiling height is 3m. It has electricity and water. No problem with paperwork. Real estate, business area, EtchmiadzinTranslated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18400452,Stone
Retail Space,24 sq.m.,Armavir › Parakar,"$22,000",USD,"Business for sale, area 24 square metersParakar, next to the churchall the communications are connected, there is a centralized sewerageThe walls are lined with double tuff on 3 sideshe exchanges with a carCode VM759Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17236639,Stone
Multifunctional Space,24 sq.m.,Armavir › Parakar,"1,000,000 ֏",AMD,"A residential cabin-domic is for sale, it is in good condition, I will load it with a crane, the price is negotiable, it is from the cabin in the picture. Write to ViberTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17900323,Cassette
Industrial and Manufacturing,150 sq.m.,"Kamo street 2a, Vagharshapat","200,000 ֏",AMD,"A two-storey stone building is for rent. It can be used as a workshop, warehouse, car service. It has 2 entrances. The ceiling height of the first floor is 4.5 m.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17536155,Stone
Multifunctional Space,3700 sq.m.,"Մեսրոպ Մաշտոց փողոց, Վաղարշապատ","$3,100,000",USD,"A 3-storey separate commercial space is for sale on the front line of Etchmiadzin-Yerevan highway.The total area of the land is 1274 sq/mTotal area of buildings: 3700 sq/m (actual)Frontage: 125mConsist of,from liquid gas filling point (with 2 filling points, 10t reserve tank)from the gas station (with 2 filling points, 3 10t reserve tanks)3 car wash pointsfrom the auto parts storeOut of 10 car service points, 4 of which have a cranefrom a fast food outlet, with its 2 kitchens, 1 large hall and 6 private roomsfrom a flower shopfrom the night clubThe commercial area is equipped with property and equipment, heating is individual, there is a general ventilation system, three-phase power, 100 kW solar plant, deep well, 25 t reserve water tank, separate sewer. The area is under video surveillance.• Kind Regards #AsatryanConsulting teamThe best for you!Best for you!Best for you!The best for you!The best for you!Most suitable for you!Code 18405995Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18405995,Monolith
Automotive Service,20 sq.m.,Armavir › Parakar,"3,000 ֏",AMD,Car service point for rent is located in Parakar. 20 square meters on the road to Yerevan Eshmiatsin highwayTranslated from Armenian,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17641315,Stone
Everything Else,3677 sq.m.,Armavir › Aygek,"$68,000",USD,"The land is located 6 km from Yerevan.The greenhouse was built in the fall of 2021. 950 square meters with galvanized columns, 160 micron Israeli cellophane. Inside, there is a drip irrigation system and 2 gas sprinklers for irrigation.There is permanent drinking water, gas, electricity, irrigation water on the land. 3670 square meters of land is fenced, there are 40 3-year-old trees with a drip irrigation system.There is a 30 square meter stone house on the land.Translated from Armenian",Dec-12-2022_20-36,By agreement,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/18585659,Stone
Restaurant,1294 sq.m.,Armavir › Parakar,"225,000,000 ֏",AMD,"The building of the restaurant complex is exterior, the interior is in good condition, it is located in Argavand village, which has a hall for big wedding celebrations (407.5 sq. M.), living rooms, private rooms, a swimming pool, a sauna and other places for entertainment. All the communal facilities are available.The land area is 2,664 square meters.The price is negotiable.Code 9-21Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17244596,Stone
Functioning Business,1200 sq.m.,"Անդրանիկի փողոց 17, Տարոնիկ","$180,000",USD,"(kod kom 16) Existing business for sale in Armavir marz, 10 km from Etchmiadzin city. The total area of the plot is 1.2 hectares, i. E. 12,000 m/sq. About 6,000 m/s of ready, working greenhouses, the greenhouses were built recently and have been in operation for 2-3 years, assembled with modern technologies. A 28-meter deep well is drilled, three-phase current is available. There is also a garden with fruit trees, a newly built and almost completed residential house with an area of 100 m/s, intended for the relaxation of the workers and the owner. At current market prices, it would take about $200,000-$250,000 to assemble a greenhouse of this scale.It is an affordable offer compared to the market, the price is negotiable, you can agree on the final price with the owner.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/14462662,Stone
Retail Space,1200 sq.m.,Armavir › Armavir,"$150,000",USD,"A commercial space is for sale in the village of Tandzut, Armavir marz.It occupies an area of 1200 square meters, of which 702 square meters is a two-story stone building, the rest is land.The building is located on the first line, on the main street of Tandzut.It is a solid structure, but in need of repair.Translated from Armenian",Dec-12-2022_20-36,Not available,Available,First Line,Common from the Street,Outdoor parking,,,,,https://list.am/en/item/18641399,Stone
Restaurant,"10,000 sq.m.",Armavir › Myasnikyan,"$125,000",USD,"The area is provided with electricity and irrigation water.There are 13 stalls in the area, 5 of which are made of stone, in a word, building businesses. Please call only genuine buyers. There is also a 90 square meter building.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/16539293,Stone
Building,,Armavir › Echmiadzin,"$42,000",USD,"Գազաֆիկացված է, ունի ջուր, կոյուղի, եռաֆազ հոսանք: Հնարավոր է օգտագործել որպես և խանութ և արտադրական տարածք: Ընդհանուր մակերեսը՝ 200մ. Քառ: Հասցեն Ք. Էջմիածին, փ. Վազգեն Ա-ի 45բ, տարածք 10ա:",Dec-12-2022_20-36,Available,Not available,Second Line,Separate from the Street,,,,,,https://list.am/en/item/12257494,Stone
Retail Space,435 sq.m.,Armavir › Echmiadzin,"$79,000",USD,ԿոդT217Վաճառվում է 2հարկանի հացատուն Էջմիածնի Զվարթնոց թաղամասում։Տարածքի նշանակությունը՝ԱՐՏԱԴՐԱԿԱՆՄեծ սրահ3փակ սենյակ4բացօթյա տաղավարԽոհանոցՆկուղային սրահՍանհանգույցՇատրվանԿոմունալ հարմարություններԽորովածանոց3մուտքԴռներն ու պատուհանները ԵվրոՄակերեսըՀողամաս՝435քմՇինություններ՝160քմ,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/15516703,Stone
Retail Space,2200 sq.m.,"Էջմիածին փողոց, Պտղունք","$235,000",USD,"240 sq. M. Building material shop for sale in Ptghunk, 1st line, on the main highway, front on both sides, front of the highway 36 meters, there is a 80 sq. M. Cement bunker at the back of the shop, next to the shop, by the road, there is a 125 sq. M.Translated from Armenian",Dec-12-2022_20-36,By agreement,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/17609556,Stone
Industrial and Manufacturing,500 sq.m.,Armavir › Merdzavan,"$42,000",USD,"Armavir, Village. MetsavanIndustrial area-residential house for rentThe total area of 500 square meters350 square meters production area1 storeyWith 4 separate buildingsworked as a furniture factoryIt is possible to make a residential houseCode VM726Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17035319,Stone
Retail Space,13 sq.m.,"Արագածի զանգված 1/1, Վաղարշապատ","$20,000",USD,"Working space, in the center of the district, the space is currently under rent, it can be used as a workshop, hairdressing salon, etc. , it can also be exchanged with an apartment, it is owned, there are relevant documentsTranslated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,Outdoor parking,,,,,https://list.am/en/item/18631276,Stone
Retail Space,190 sq.m.,Armavir › Echmiadzin,"$29,000",USD,Продаётся каменное торговое помещение в Айгешате...,Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,Outdoor parking,,,,,https://list.am/en/item/18630010,Stone
Industrial and Manufacturing,200 sq.m.,Armavir › Echmiadzin,"$25,000",USD,"A production container is for sale in current use as a furniture outlet. For questions, call the indicated numbers. Address: Echmiadzin (Lenin Sovkhoz)Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Second Line,Common from the Street,,,,,,https://list.am/en/item/18125401,Stone
Industrial and Manufacturing,8500 sq.m.,"1-ին փողոց 42, Նոր Կեսարիա","$500,000",USD,"Armavir region, Shenavan village. Agricultural complex - Farm for sale.1st line, near the asphalt road. Importance of the land: Agricultural, Area 8.5 Ha (85,000 square meters), near the canal, flat, completely fenced, provided with electricity, water and gas. There is a guard post, administrative building, barns, other buildings, e ․ substation, deep water wells.PRICE: Negotiated.CODE S279:For more details, call Smart AgencyTranslated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,"Outdoor parking, covered parking, garage",,,,,https://list.am/en/item/15121046,Stone
Functioning Business,230 sq.m.,"1district, Metsamor","$150,000",USD,"It is a stone building, the total area is 230 square meters, one part is a hall with a separate entrance, the other part is a shop.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18500839,Stone
Everything Else,300 sq.m.,Armavir › Echmiadzin,"1,000,000 ֏",AMD,"Hothouse for sale, only the greenhouse (the land is not for sale)300 square metersMade with new and high-quality profiles (without cellophane)Real buyers will callTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/16314421,Cassette
Agricultural Space,"10,000 sq.m.","43-րդ փողոց, Արմավիր","20,000,000 ֏",AMD,"The village of Arak is the village of the Sardarapat monumentNewly built cattle barn, 100 cherry trees next to it, 3 years oldApricot 33 pieces 2 years old20 peaches, 2 years old. 1 hectare of separate land near the house. Cattle farm with automated constant water 24 hours. With sewer, electricity. 1 storage room next door, also bedroom, kitchen, bathroom. And about 100 sq. M. The birdwatcher.The length of the livestock barn is 30 m, the width is 9 m. For questions, call the specified number.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18135312,Stone
