Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Links,Condition,Service Lines,Facilities
House,Stone,160 sq.m.,2,5,1,Old Renovation,,,,,,,"Էներգետիկների փողոց 2, Սևան","$25,000",USD,"The house is located next to the botanical garden, in good condition, has a large yard, land, garage, barn. The building and the place are suitable for both residential and business projects. For more information call...Please do not leave a message...Translated from Armenian",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/16273661,,,
House,Stone,100 sq.m.,1,3,1,No Renovation,1100 sq.m.,,,,,,"Vaghashen-Tsovak Highway, Karchaghbyur","$18,000",USD,An apartment is for sale in the village of Vaghashen. It needs repair. The land area is 1100 square meters. M. It has a bakery and a cellar. Call for detailsTranslated from Armenian,Dec-12-2022_21-10,,,,,https://list.am/en/item/17970055,,,
House,Stone,3200 sq.m.,2,8+,2,Partial Renovation,,,,,,,Gegharkunik › Gavar,"$48,000",USD,"Gegharkunik region Gavar region village * Gandzak *A two-storey private house is for sale near the village secondary school No. 2. The total area is 3200 square meters. It has a large cultivated land, fruit and fruit trees. It is provided with irrigation water.The house is provided with round-the-clock water supply, hot water, sewerage, heating system, equipped with gas and electricity.There is a basement in front of the house.The first floor has an entrance, a hall, a dining room, a rest room, a kitchen-pantry, a bathroom, a toilet, a sink. Built-in fireplace in the hall (used with both wood and electric fuel), which continues on the second floor. Built-in closet, storage.On the second floor there are 6 bedrooms, a bathroom, a spacious hall with 2 open balconies.The floor of the first and second floor halls is decorated with parquet.The private house can be used as a business center, medical center, workshop, for other purposes.The large plot of land provides a great opportunity to establish additional adjacent buildings.Price $ 48,000.Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/16003022,,,
House,Stone,400 sq.m.,1,5,1,Euro Renovation,,,,,,,Gegharkunik › Lchashen,"$50,000",USD,"1-storey private house is for sale or exchange in Lchashen village, about one kilometer from Lake Sjana.The total area is about 400 square meters. M:Has 5 rooms, kitchen and bathroom.The apartment has:Permanent water-Natural gas-Mercuri heating system-Euro doors and windows (windows with bars)-Tiled bathroomBasementAdjacent is a garage about 80 sq. M. M:The whole area of the house is fenced...He is exchanged with a private house or an apartment in Yerevan...For details, call the mentioned phone number or Whats app, ViberTranslated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/17862174,,,
House,Stone,1000 sq.m.,1,3,1,Old Renovation,800 sq.m.,,,,,,Gegharkunik › Sevan,"$45,000",USD,"It is located in Komitas alley, next to the house there is a house with a large land plot.Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/17826952,,,
House,Stone,200 sq.m.,3,5,3+,Partial Renovation,900 sq.m.,,,,,,"Nairyan Street, Sevan town","$31,000",USD,"House for sale in San, Garegin Nzhdeh street, house 2. It is half-built, the roof is completely repaired, the interior walls are built, the yard needs very little care, there are fruit trees. It is located near the water supply system. For more information call. Price: Will be bargained for real buyers.Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/17620460,,,
Country House,Stone,372 sq.m.,2,8+,2,Partial Renovation,2200 sq.m.,,,,,,"Isakov street, Ցամաքաբերդ","$60,000",USD,"2-storey summer house, a stone building is for sale, there is a building for cattle breeding, a garage for 2 cars.The summer house has gas, light, cold and hot water, next to the summer house there is a fruit gardenwith trees.The summer house is located near Tsana Lake, in Tsamakaberd community, next to the former hotel.From the 2nd floor of the summer house there is a beautiful view to Lake Sana and the adjacent area.For all information, call or write to the number below.Translated from Armenian",Dec-12-2022_21-10,Available,3 or more spots,,,https://list.am/en/item/17776515,,,
House,Stone,55 sq.m.,1,3,1,No Renovation,500 sq.m.,,,,,,Gegharkunik › Artanish,"4,000,000 ֏",AMD,"The plot is located in the highest part of Artanish and has a wonderful view of Sevan.The house needs major remodeling and has never been renovated.Land dataTarget Meaning: ResidencePurpose of use: Near homeType of right: PropertyBuilding dataTarget Meaning: ResidentialPurpose of use: Residential houseArea: 55.3 sq. M. M.Type of right: PropertyArtanish is one of the warmest places in the Sevan basin, where it is possible to use it seasonally as a summer house.Translated from Armenian",Dec-12-2022_21-10,Not available,1 spot,,,https://list.am/en/item/18137219,,,
House,Stone,210 sq.m.,2,6,2,Partial Renovation,24 sq.m.,,,,,,Gegharkunik › Martuni,"$155,000",USD,"Two-story private house for sale in Martuni city with 12 acres of land + 11 acres next to Sevan-Vardenis road.The house is on the first line next to the highway, next to the MUSH shopping center. Has its own water (buravo) spacious garage, fruit trees, in short, full of advantages.On the spot with other questions.Translated from Armenian",Dec-12-2022_21-10,Available,3 or more spots,,"Fridge, stove, washing machine",https://list.am/en/item/18660794,,"Electricity, water supply, natural gas, sewerage",
House,Stone,150 sq.m.,1,4,1,Partial Renovation,,,,,,,"Улица Чаренца 33, Севан","$35,000",USD,"Продается одноэтажный дом, рассмотрим обмен на квартиру",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/18222146,,,
House,Stone,346 sq.m.,2,8+,3+,Old Renovation,,,,,,,Gegharkunik › Gavar,"$55,000",USD,"It is a two-storey capital building in Gavar city, on Azatutyan street, it was built in 1985-1990. The total area of the land is 890 square meters, and the living area is 346 square meters. Renovated in a very interesting style. It has 6 bedrooms, one big hall, 2 bathrooms, 1 bathroom. Has a large garage ային storage room,A building of 90 square meters is built in the yard and A building of 22 square meters of stone. It has a 400 square meter garden with fruit trees.In case of non-answering of the phone լինելու unavailability, please contact the same number of viber աթ vatsap, or correspondence.THE PRICE IS FINAL.Translated from Armenian",Dec-12-2022_21-10,By agreement,3 or more spots,,,https://list.am/en/item/14952681,,,
House,Stone,40 sq.m.,1,2,1,No Renovation,1000 sq.m.,,,,,,"Karmir Blur street, Yerevan","$5,000",USD,"A house with its land is for sale in Gegharkunik region, Artanish village.Call for details.Price is negotiable!Urgent! It is also exchanged for a carTranslated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/16973693,,,
Country House,Stone,150 sq.m.,2,3,1,Old Renovation,2700 sq.m.,,,,,,Gegharkunik › Drakhtik,"$11,000",USD,"The house has two floors, it has a living room, two bedrooms, and a kitchen. It has a large plot of land with fruit trees and a well.Translated from Armenian",Dec-12-2022_21-10,Available,Not available,,,https://list.am/en/item/18594092,,"Electricity, water supply, sewerage",
Country House,Stone,1970 sq.m.,2,3,1,Old Renovation,,,,,,,"Yerevanyan highway 3, Սևան","$10,000",USD,"Շտապ վաճառվում է 2հարկանի սեփական տուն Դրախտիկ գյուղում՝ Սևանից 3կմ հեռավորության վրա։ Տունը պետական վիճակում է։ Առկա է մեծ հողատարածք (2000ք. Մ), անասնագոմ։ Գինը սակարկելի։ Հարցերի դեպքում զանգահարել ։",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/14324087,,,
House,Stone,72 sq.m.,1,3,1,No Renovation,,,,,,,Gegharkunik › Geghamasar,"$11,000",USD,"It has 3 rooms, 2 bedrooms and one bedroom in the basement.Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/18655583,,,
House,Stone,145 sq.m.,1,5,1,Partial Renovation,4500 sq.m.,,,,,,Gegharkunik › Tsovazard,"$25,000",USD,"Negotiable: Has permanent gas. Light: Water. Has 500 sq / m arable land. Has an orchard. Bathroom and the bathroom is tiled. The kitchen is tiled. Has a building next to the house which can serve as a garage, shop.It has a basement, there is a barn at the back of the houseTranslated from Armenian",Dec-12-2022_21-10,Available,Not available,,,https://list.am/en/item/17292121,,,
House,Stone,100 sq.m.,1,3,1,Old Renovation,900 sq.m.,,,,,,"Mamikonyan street, Martuni","$20,000",USD,"Auxiliary structures. Garage, storage roomTranslated from Armenian",Dec-12-2022_21-10,By agreement,1 spot,,,https://list.am/en/item/17528816,,,
House,Stone,520 sq.m.,3,8+,3+,Euro Renovation,3000 sq.m.,,,,,,Gegharkunik › Sevan,"$230,000",USD,"Can be used as a hotel, office, homeTranslated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/17791519,,,
House,Stone,700 sq.m.,2,5,3+,Partial Renovation,,,,,,,Gegharkunik › Sevan,"$40,000",USD,"A two stored house is for sale in Gomadzor district.Has a large orchard, a large garage.Price is negotiable, exchange is possible.Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/17869383,,,
House,Stone,190 sq.m.,2,3,1,Partial Renovation,1500 sq.m.,,,,,,Gegharkunik › Chambarak,"$19,000",USD,"Վաճառվում է քարե սեփական տուն, Գեղարքունիքի մարզ, ք. Ճամբարակ Պ. Սևակի 60 հասցեում: Տունը երկհարկանի է, 1-ին հարկը՝ տնտեսական (գոմ, նկուղ), 2-րդ հարկը՝ բնակելի` 95 ք/մ: Բոլոր կոմունիկացիաները (մշտական ջուր, գազ, հոսանք, կոյուղի) առկա են: Ունի ընդարձակ բակ, հողամաս պտղատու ծառերով: Վաճառվում է շտապ։ Կսակարկեմ։",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/16574448,,,
Country House,Stone,54 sq.m.,1,3,1,Euro Renovation,500 sq.m.,,,,,,"Yerevanyan highway 3, Սևան","$25,000",USD,"The area is green, has closed and open parking, 2 satellite dishes, veranda, doors and windows of European production and networked, heated floor tiles, living room with open built-in kitchen, 2 bedrooms, bathroom with tiled kitchen, bathroom with kitchen. For sale one-bedroom cottage on the shore of Sevana with all amenities, 3 rooms with euro renovationTranslated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/17978910,,,
House,Wooden,20 sq.m.,1,2,1,Major Renovation,,,,,,,Gegharkunik › Sevan,"14,000 ֏",AMD,"Hello dear visitor. A brand new wooden cottage is for daily rent on the banks of Sevan, in the forest of Yeghevni. The name of the cottage is ""Panorama"" (because part of the roof is made of glass)We have the ""Panorama"" cottage for 3 people with two beds and 3 separate beds.The cottage has a comfortable bathroom and a bathtub.The price is AMD 14,000 instead of AMD 35,000.Qotej Sevan, Shorja, cottage in the forest, Rent house on the beachPrice includes:1. Entrance to White Shorja2. Breakfast (for 3 persons)3. Fields (Football, Volleyball)4. Children's games5. Parking lot6. Pistols7. Music8. Evening bonfireWe also have other services:1. The restaurant2. Tents3. Horse riding4. Sailing5. Scooters6. Photo sessionWe look forward to your reservations.We are located on the shore of Lake Sevan, in the fir forest, near the village of Shorzha.Translated from Armenian",Dec-12-2022_21-10,Available,3 or more spots,,,https://list.am/en/item/17825933,,,
House,Stone,250 sq.m.,2,5,1,Old Renovation,5953 sq.m.,,,,,,Gegharkunik › Noratus,"8,500,000 ֏",AMD,"The residential house is located on the Factory street, the entrance door is metal, the interior doors and windows are wooden, with all utilities.Livestock building - 162 square meters.Bakery - 50.2 square meters.The price is negotiable.Translated from Armenian",Dec-12-2022_21-10,Not available,2 spots,,,https://list.am/en/item/18428184,,,
House,Stone,476 sq.m.,2,8+,2,No Renovation,,,,,,,Gegharkunik › Sevan,"16,000,000 ֏",AMD,"The residential house is two-storey, with a basement, without interior decoration, with all the communal facilities.The area of the land is 2,485 square meters ․Garage: 178.1 sq. M.Code 4-46Translated from Armenian",Dec-12-2022_21-10,Not available,3 or more spots,,,https://list.am/en/item/15154530,,,
House,Stone,196 sq.m.,1,6,1,Old Renovation,3200 sq.m.,,,,,,Gegharkunik › Mets Masrik,"$35,000",USD,"6-room private house in Mets Masrik village of Vardenis region (2nd street, house 11) is for sale or exchange (also with surcharge) with an apartment or a house in Yerevan. The area of the house is 196 m. Q (14 m * 14 m) It has 3200 m. Land near the house, garage, 5 ton barn of concrete grain, storage room, bakery, barn without roof. The area has two gate entrances, from the garage to the main yard. The house has two metal entrance doors, gas, constant hot-cold water, irrigation water. We made the windows and interior doors, they are made of wood, beautiful and quality.If desired, 2.4 hectares of irrigated arable land near the village will be provided.Translated from Armenian",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/16501610,,,
House,Stone,670 sq.m.,2,5,2,Partial Renovation,214 sq.m.,,,,,,Gegharkunik › Sevan,"$65,000",USD,"Gegharkunik, San / Harsnakar rear /House: 2 floors / stone /5 rooms670/214 sq. M.Partially renovated2 bathroomsgaragecultivated gardenCode VM885Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/17873533,,,
House,Monolith,72 sq.m.,1,2,1,No Renovation,,,,,,,"Nairyan 164, Sevan","$4,200",USD,"Garage, warehouse, workshop, workshop, 73 sq. M. + 36 sq. M. Nkux, the roof of the building and basement is reinforced concrete.Ownership Certificate:Translated from Armenian",Dec-12-2022_21-10,Not available,3 or more spots,,,https://list.am/en/item/13525965,,,
House,Stone,120 sq.m.,2,6,1,No Renovation,1200 sq.m.,,,,,,"Nalbandyan street, Sevan town","$28,000",USD,"Two-storey stone house in Sjan, next to the Station, House 120 sq. M. Մ. , Land. 1000 sq. M. Մ.Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/16297061,,,
House,Stone,100 sq.m.,2,5,1,Euro Renovation,,,,,,,Gegharkunik › Martuni,"$200,000",USD,"A 2-storey 5-room house of 3000 square meters is for sale urgently. There are different types of trees in the plot of land. For more information, call the following number.Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/18338075,,,
House,Stone,300 sq.m.,2,5,1,Old Renovation,30 sq.m.,,,,,,Gegharkunik › Gavar,"7,000,000 ֏",AMD,A private house is for sale near the 3rd school in Gavar city. There is a garage next to it. The surface of the garden is 30 square meters.Translated from Armenian,Dec-12-2022_21-10,Not available,1 spot,,,https://list.am/en/item/18358689,,,
House,Stone,510 sq.m.,2,8+,1,Partial Renovation,1200 sq.m.,,,,,,"Nairyan Street, Sevan town","$88,000",USD,"A house is for sale on 109 Nairyan street, San city. The territory includes a one-storey old renovated house, a 3-room house with a total area of 108 m2, a semi-constructed 2-storey house with a basement of 402 m2. There is a 36m2 shop with houses. The total land area with buildings is 1200 m2. For questions, call Alik.Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/16135072,,,
House,Stone,300 sq.m.,2,5,3+,No Renovation,,,,,,,Gegharkunik › Sarukhan,"$50,000",USD,Продается частный дом в деревне Сарухан. Площадь дома 300 кв. М. Площадь территории 1500 кв. М. Есть все коммуникации.,Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/14027603,,,
House,Stone,1300 sq.m.,1,3,1,No Renovation,,,,,,,"Tumanyan street 37, Yerevan","$32,000",USD,"Վաճառվում է սեփական անանձնատուն Մարտունի քաղաքում: Ընդհանուր 13 սոտին հողամասով: Ապահովված է կոմունալ բոլոր հարմարություններով: Ունի գազ, լույս եւ կոյուղի: Շատ հարմար է քանդել եւ նոր խանութ կամ առանձանտուն կառուցել: Զանգահարել Հակոբին:",Dec-12-2022_21-10,Not available,1 spot,,,https://list.am/en/item/13955849,,,
House,Stone,240 sq.m.,2,5,1,Cosmetic Renovation,3500 sq.m.,,,,,,Gegharkunik › Chambarak,"$30,000",USD,"House-240 sq. M. M:Land area-3500 sq. M. M:The house has a spacious yardIn the yard there is a garage, a barbecue, a storage room, fruit trees, a flower gardenThe house is oni. Large lobby, four bedrooms, one living room with a large balcony. Has permanent gas, water and electricityThe price can be negotiatedIt is located 18 km away from Lake SanaaTranslated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/17858353,,,
House,Stone,260 sq.m.,2,8+,1,No Renovation,1350 sq.m.,,,,,,Gegharkunik › Gavar,"9,000,000 ֏",AMD,"Two-story house on the shore of Gavaraget, on the Gavar-Artsvakar asphalt road. High-quality roof (steel), iron entrance doors, iron gates, auxiliary buildings. Drinking water in the yard, gas and electricity. Energy in the area. One room is full.Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/18207687,,,
House,Stone,120 sq.m.,1,2,1,Old Renovation,,,,,,,Gegharkunik › Zolakar,"3,500,000 ֏",AMD,"Residential house with a total area of 120.2 square meters.Has a plot of land with a total area of 2,340 square meters and a bakery with a total area of 39 square meters.YOU CAN GET ACQUAINTED WITH OUR OTHER ANNOUNCEMENTS BY PASSING OUR PAGE.Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/11690123,,,
House,Stone,412 sq.m.,2,8+,2,Old Renovation,1900 sq.m.,,,,,,Gegharkunik › Martuni,"$100,000",USD,"Own houseIt is located in Martuni city, Vaghashen community.All communications are available: Electricity, gas, water, sewerage.Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/18548355,,,
House,Stone,150 sq.m.,2,6,3+,No Renovation,50 sq.m.,,,,,,Gegharkunik › Gavar,"$14,000",USD,"Վաճառվում է սեփական տուն Գավառ քաղաքի Հացառատ թաղամասումՈւնի հողատարածք, 2 հարկ, քարե շինություն.Մանրամասների, հատակագիծը տեսնելու համար խնդրում ենք զանգահարելПродается нежилой частный дом с земельным участком, состояние на фотоПодойдет для прописки, регистрации бизнеса и тд.Находится в городе Гавар, АцаратПо всем вопросам просьба звонить по указанному номеру",Dec-12-2022_21-10,,,,,https://list.am/en/item/17736076,,,
House,Stone,86 sq.m.,1,4,1,No Renovation,2200 sq.m.,,,,,,Gegharkunik › Tsovazard,"$20,000",USD,Call only the number posted in the pictures.Translated from Armenian,Dec-12-2022_21-10,Not available,1 spot,,,https://list.am/en/item/18599282,,"Electricity, water supply, sewerage",Barbecue oven
House,Stone,240 sq.m.,2,6,1,Euro Renovation,"12,000 sq.m.",,,,,,Gegharkunik › Gavar,"$56,000",USD,"The house also has attached structures (basement garage, bakery, barn, shed, fruit storage) A large garden with more than 80 different types of trees. The house is very close to Lake Sevan and is suitable as a holiday home. I will also exchange for a suitable 2-3 room in Abovyan, YerevanTranslated from Armenian",Dec-12-2022_21-10,By agreement,1 spot,,,https://list.am/en/item/18351990,,"Electricity, water supply, natural gas, sewerage",
Country House,Stone,240 sq.m.,2,6,2,No Renovation,600 sq.m.,,,,,,"Նաիրյան փողոց 169, Սևան","$200,000",USD,"A half-built private house is for sale in Sevan, near Sevanalch. The total area of the house is 240 m *, the house has two floors, which has a wonderful view of Lake Sevan. Price $ 200,000 Which can be used as a hotelTranslated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/13856246,,,
House,Stone,130 sq.m.,1,5,1,Partial Renovation,"13,000 sq.m.",,,,,,Gegharkunik › Lchashen,"$27,000",USD,"House 130 sq. M. M:Attached building 80 sq. M. M:Land area 13.000 sq. M. M:Orchard (fenced)It is located 700m from Lake Sevan.The interior decoration is not done.There is water, electricityTranslated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/18482402,,,
House,Monolith,990 sq.m.,2,8+,3+,Designer Renovation,1496 sq.m.,,,,,,Gegharkunik › Tsovagyugh,"$950,000",USD,Продается шикарная вилла на берегу озера Севан. Недалеко от села Цовагюх.Площадь строений 991 м2Земля 1496м2Уровень объекта можно оценить по фото.,Dec-12-2022_21-10,,,,,https://list.am/en/item/18061429,,,
House,Stone,50 sq.m.,1,2,1,No Renovation,74 sq.m.,,,,,,Gegharkunik › Sevan,"$13,800",USD,"Located in 4 micro district. The area is 50 square meters and the plot is 24 square meters. It has three-phase electricity, water, gas and is a public building.Translated from Armenian",Dec-12-2022_21-10,Available,Not available,,,https://list.am/en/item/18537377,,,
House,Stone,104 sq.m.,2,8+,1,Cosmetic Renovation,16 sq.m.,,,,,,Gegharkunik › Gavar,"$28,000",USD,"House for sale urgently.The address of the house is Gavar, village Hatzarat Azatamartiki street, house 52.The house is cosmetically renovated, has a garage, there is a road from the yard, through which you can drive a tractor to the yard of the station, it also has many fruit trees, next to the house there is a 16 sq. M. Land, there is also a barn. For details, call or write to Viber number.Translated from Armenian",Dec-12-2022_21-10,Available,1 spot,,"Fridge, stove",https://list.am/en/item/18607149,,"Electricity, water supply, natural gas, sewerage",
House,Monolith,3000 sq.m.,2,4,3+,Old Renovation,,,,,,,"Sargis Sevanatsi St, Sevan","$9,500",USD,"2-storey house in paradise for saleIt has water, light, well and fruit treesTranslated from Armenian",Dec-12-2022_21-10,Available,2 spots,,,https://list.am/en/item/12610470,,,
House,Stone,220 sq.m.,2,7,1,Major Renovation,2500 sq.m.,,,,,,Gegharkunik › Martuni,"$86,000",USD,"Продам 2-ух этажный дом с участком 25 сот. Земли с плодородными деревьями, дом с газом водой и светом. Дом отапливается с системой BAXI, ванная комната туалет раздельно. Торг есть.",Dec-12-2022_21-10,,,,,https://list.am/en/item/17623591,,,
House,Stone,1200 sq.m.,3,8+,2,Partial Renovation,,,,,,,Gegharkunik › Gavar,"$60,000",USD,"3 հարկ, առանց ներքին հարդարման1200 մ. Հող.",Dec-12-2022_21-10,,,,,https://list.am/en/item/15396230,,,
House,Stone,255 sq.m.,2,5,2,Old Renovation,46 sq.m.,,,,,,Gegharkunik › Gavar,"$23,000",USD,"ՇՏԱՊՎաճառվում է երկհարկանի սեփական տուն Գավառի մանկատան մոտակայքում: Կոմունալ բոլոր հարմարություններով: Մակերեսը`255/182մ. Ք.: Ունի ավտոտնակ`26,9մ. Ք.: Հողամասը`0,046հա:Գինը՝ 23000$:",Dec-12-2022_21-10,Available,1 spot,,Washing machine,https://list.am/en/item/11434055,,"Electricity, water supply, natural gas, sewerage",
House,Stone,240 sq.m.,2,5,1,Partial Renovation,500 sq.m.,,,,,,Gegharkunik › Sevan,"10,000,000 ֏",AMD,"Кисакаруиц арандзнатун кахак Севанум Гомадзор тахамасум уни птхату аиги, aygin bavakanin mece, aпаоваце осанков, джур@ шат моте. Реал гнордин ксакаркем штапе...",Dec-12-2022_21-10,,,,,https://list.am/en/item/15442846,,,
House,Stone,226 sq.m.,2,4,1,Old Renovation,2100 sq.m.,,,,,,Gegharkunik › Vardenik,"3,100,073 ֏",AMD,"The property is a collateral of the Bank, which is in the auction of the CSIRO.Gegharkunik region, Vardenik community, 3rd street, residential house number 82, 226 square meters, plot of land: 2100 square meters.The walls of the building are made of stone, the entrance and inner doors are made of wood, the windows are made of wood and metal plastic, it has an e-mail address. Electricity, water, gas, sewer. There is a bakery-boiler house, 22.7 square meters.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/18406838,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,305 sq.m.,2,4,1,No Renovation,1500 sq.m.,,,,,,Gegharkunik › Gavar,"2,058,911 ֏",AMD,"The property is the Bank's collateral, which is at auction at the ARCS.Gegharkunik region, residential house at 13 Gavar Saringulyan str. , 305 square meters, land plot: 1500 square meters. The basement of the building, the walls are made of stone, the mezzanine is covered with reinforced concrete, the roof is made of metal panels, the entrance door is made of metal, the inside doors are missing, the windows are partly metal-plastic, some are missing, the floor is made of concrete, the interior is missing. Electricity, water. There is a cattle building - 147-6 square meters, a bathroom - 2-9 square meters, a fence - 2․2 square meters (4.4 square meters)You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and will be borne by the successful bidder.Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/17612600,,,
House,Stone,144 sq.m.,1,4,1,Old Renovation,1616 sq.m.,,,,,,Gegharkunik › Kalavan,"5,084,775 ֏",AMD,"The property is in the RACP auction.Gegharkunik region, Aygut community, 1st floor, No. 46, residential house: 144.3 square meters, plot: 1616 square meters. The building is one-story, has a semi-basement floor, the walls are stone, the mezzanine floor is reinforced concrete, the entrance and interior doors and windows are wooden, the floor is chipboard, the walls are painted, it has electricity, gas, water. There are a barn: 87.5 square meters, a shed: 4 square meters, a shed: 36 square meters.You can also purchase the presented property through lending by the Bank, with the current lending terms and rates.! Attention!The property is encumbered by actual users, whose eviction and all necessary costs and actions arising from the contract will be carried out by the successful bidder.Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/18465854,,,
House,Stone,92 sq.m.,2,4,1,No Renovation,3000 sq.m.,,,,,,Gegharkunik › Tsovagyugh,"2,500,000 ֏",AMD,"A two-story, 4-room stone house is for sale in the village of Semyonovka, Gegharkunik region. The house has permanent water and electricity. It does not have gas, it is possible to draw, the pipe is located near the house.There is a non-privatized 3000 square meters. Plot of land. It is suitable for recreation area, animal husbandry.Or I will exchange it for a car.For questions, call the specified phone numbers, only real buyers.Translated from Armenian",Dec-12-2022_21-10,,Not available,,,https://list.am/en/item/18195806,,,
House,Stone,135 sq.m.,1,5,1,Major Renovation,,,,,,,Gegharkunik › Vardenis,"$20,000",USD,"The house has all the communal facilities, the doors and the windows are euro. The house is completely renovated.Land area 26 sota has storage storage room storage can be used as a barn has fruit trees half-built garage permanent water and gas in the house has a bathroom ոգ bathroom price for contract details call. The house is located in Shatjrek village of VardenisTranslated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/10991972,,,
House,Stone,331 sq.m.,3,8+,2,Major Renovation,800 sq.m.,,,,,,Gegharkunik › Sevan,"$90,000",USD,"— Շտապ վաճարվում է տուն Սեվանի մոտ:Գինը սակարկելի:Շատ գեղեցիկ, տուրիստական տեղում:Զանգահարեք մանրամասների համար:— Срочно продается дом у озера Севан.Цена договорная.Невероятно красивое, туристическое место.Звоните, расскажем больше.",Dec-12-2022_21-10,,3 or more spots,,,https://list.am/en/item/17742103,,,
House,Stone,270 sq.m.,1,4,1,Old Renovation,,,,,,,Gegharkunik › Martuni,"$40,000",USD,"Urgently for sale 271 m (185 m, 86 m barn, 0.34 ha land) private house in Martuni, near Mush supermarket, the price is negotiable. For details, call the mentioned phone number.Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/16539355,,,
House,Stone,90 sq.m.,1,4,2,Major Renovation,800 sq.m.,,,,,,"Օրբելի եղբայրների փողոց, Երևան","$25,000",USD,"The house is located in the picturesque village of Antaramej. Has all facilities, constant mountain water.Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/18561033,,,
House,Stone,210 sq.m.,1,5,3+,Major Renovation,1300 sq.m.,,,,,,Gegharkunik › Sevan,"$240,000",USD,"One-storey stone house is for sale in Gegharkunik region.The total area of the land is 1300 square meters, and the area of the building is 210 square meters.Consist of,1 living room4 bedrooms3 bathrooms1 kitchen1 open balconyThe house is fully renovated.There is a tonir and a barbecue in the yard. It has a very beautiful view of Lake Sanaa.For sale together with the whole property.The sale price is 240․000 USDIt is also given for a daily rent of 250,000 AMD / dayCode: GS-T05Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/17713822,,,
House,Stone,140 sq.m.,1,5,2,Old Renovation,2500 sq.m.,,,,,,Gegharkunik › Lusakunk,"$35,000",USD,"Վաճառվում է 1 հարկանի կապիտալ կառուցված 5 սենյականոց սեփական տուն, որը ունի 2 մեծ նկուղ, պարսպապատ տարածք, ավտոտնակ, թոնրատուն և անասնագոմ:Տունը ապահովված է տաք և սառը ջրով, կոմունալ բոլոր հարմարություններով:Մանրամասների համար զանգահարել:Խնդրում ենք զանգել 13:00-ից հետոПродается 1-этажный капитальный 5-комнатный частный дом с 2-мя большими подвалами, огороженной территорией, гаражом, пекарней и хлевом для скота.Дом обеспечен горячей и холодной водой, всеми коммуникациями.Для получения дополнительной информации звоните:Просьба звонить после 13:00",Dec-12-2022_21-10,,,,,https://list.am/en/item/18486947,,,
House,Stone,80 sq.m.,1,4,1,Designer Renovation,,,,,,,"Sevani street, Yerevan","$28,000",USD,"4-room cottage for sale in Lavanda City, Sean. It has hot and cold water, gas, bathroom,Bisset next to it. The price is $ 28,000. It is for rent.Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/8579269,,,
