Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Furniture,Window Views,Appliances,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
Stone,No,Not available,1,50 sq.m.,2,1,from 3.2 m,1,Not available,Designer Renovation,"Gorki Street, Gyumri","130,000 ֏ monthly",AMD,"Сдается отделенная 2 комнатный дом в частном секторе. Дом со всеми удобствами гостиная, спальня, кухня. Ванная комната. Дом находится в центре города.В доме есть холодильник, телевизор, в ванной горячая вода.Во дворе участок с деревьями.Адресс: Ул. Горького переулок Мазманяна, г. Гюмри",Dec-12-2022_23-10,Intercom entry,Outdoor parking,Available,Yard view,"Fridge, stove, coffee maker, washing machine, iron",https://list.am/en/item/17915688,"Television, internet",2,Yes,No,Not included,1 month
Stone,Yes,Not available,4,80 sq.m.,3,1,from 2.75 m,3,Open balcony,Partial Renovation,"Շիրակացու փողոց, Gyumri","140,000 ֏ monthly",AMD,"Ariston, European windows, warm apartment, availability of partial furniture - beds, table and chairs, TV, sofa, armchairs, etc.Translated from Armenian",Dec-12-2022_23-10,,,Available,,"Fridge, stove, washing machine, water Heater",https://list.am/en/item/18569428,Television,5,Yes,No,Not included,By Agreement
Stone,No,Not available,1,115 sq.m.,4,1,from 2.8 m,1,Not available,Major Renovation,Shirak › Gyumri,"25,000 ֏ daily",AMD,"Օրավարձով է տրվում սեփական տուն քաղաքի կենտրոնում։ Կապիտալ վերանորոգված, կահույք, տեխնիկա, կենտրոնացված ջեռուցում, եվրոպատուհաններ, երկաթե դուռ։ Ավտոկայանատեղի։Մանրամասների համար զանգահարել։ Сдаётся в аренду посуточно дом в центре города. Капитальный ремонт, мебель, техника, отопление, могут снимать до шести человек. Место машины.",Dec-12-2022_23-10,,,,,,https://list.am/en/item/18517715,,6,Yes,Yes,Included,Without prepayment
Stone,No,Not available,1,115 sq.m.,4,1,from 2.8 m,1,Not available,Major Renovation,Shirak › Gyumri,"300,000 ֏ monthly",AMD,"Сдаётся дом в самом центре города Гюмри, 4 комнаты, капитальный ремонт, мебель, бытовая техника, центральное отоплкние, железная дверь. Для подробностей звоните.",Dec-12-2022_23-10,,,,,,https://list.am/en/item/18395693,,6,Yes,Yes,Not included,2 months
Stone,Yes,Not available,4,56 sq.m.,2,2,from 2.8 m,4,Open balcony,Euro Renovation,Shirak › Gyumri,"140,000 ֏ monthly",AMD,The apartment will be free from the 1st of the monthTranslated from Armenian,Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/16740420,,3,Yes,No,Not included,By Agreement
Stone,Yes,Not available,4,38 sq.m.,1,1,from 2.7 m,4,Multiple balconies,Cosmetic Renovation,"Улица Манушян 3Б, Гюмри","140,000 ֏ monthly",AMD,For more information callTranslated from Armenian,Dec-12-2022_23-10,Intercom entry,Outdoor parking,Available,"Yard view, street view, city view","Fridge, washing machine, water Heater",https://list.am/en/item/18612210,"Television, internet, parking space",3,Yes,No,Not included,By Agreement
Stone,Yes,Not available,4,50 sq.m.,2,1,from 2.8 m,2,Open balcony,Euro Renovation,Shirak › Gyumri,"20,000 ֏ daily",AMD,"A two-room apartment in a newly built building in Gyumri is for daily rent, there are dishes, bedding, internet access, it is also rented by the hour. All the necessary conditions for a pleasant lifestyle. For details, call the indicated phone number.Translated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/17664533,,,,,,
Stone,No,Available,12,96 sq.m.,3,2,from 2.8 m,6,Open balcony,Cosmetic Renovation,Shirak › Gyumri,"250,000 ֏ monthly",AMD,"Three-room apartment for rent with furniture, for details call.Code 2010Translated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/18383246,,5,Yes,Yes,Not included,1 month
Stone,No,Not available,4,60 sq.m.,2,1,from 2.8 m,4,Closed balcony,Cosmetic Renovation,Shirak › Gyumri,"130,000 ֏ monthly",AMD,"An apartment is for rent in Gyumri. The apartment has the necessary furniture and appliances, there are also built-in wardrobes, clean and comfortable.Code 3530Translated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/17157846,,4,Yes,Yes,Not included,1 month
Stone,Yes,Not available,5,60 sq.m.,2,1,from 3 m,5,Open balcony,Cosmetic Renovation,Shirak › Gyumri,"250,000 ֏ monthly",AMD,"One converted to two rooms for rent, sunny location, with cosmetic repairs, permanent water, call for detailsCode 1905Translated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/17032670,,4,Yes,Yes,Not included,1 month
Stone,No,Not available,4,70 sq.m.,3,1,from 3 m,2,Not available,Euro Renovation,Shirak › Gyumri,"20,000 ֏ daily",AMD,"An apartment is for daily rent on Kirov alley near Gyumri central square, equipped with household appliances, furniture, dishes, bedding. Depending on the number of days, the price will be variable, there are shops, cafes, banks nearby.Code 2728Translated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/17157771,,,,,,
Stone,No,Not available,4,65 sq.m.,2,1,from 3 m,3,Closed balcony,Cosmetic Renovation,Shirak › Gyumri,"250,000 ֏ monthly",AMD,"A three-room apartment for rent, gas-fired, European windows, with property, appliances.Code 8686Translated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/17526929,,4,Yes,Yes,Not included,1 month
Stone,Yes,Not available,4,52 sq.m.,2,1,from 3 m,2,Not available,Cosmetic Renovation,Shirak › Gyumri,"15,000 ֏ daily",AMD,"A two-room apartment in Gyumri is for daily rent, furnished, equipped with household appliances, internet connection, necessary accessories, dishes, bed. Depending on the number of days and people, the price will be variable. OWNER:Code 1990Translated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/17352877,,4,Yes,Yes,Not included,Without prepayment
Stone,Yes,Not available,4,50 sq.m.,1,1,from 3 m,2,Not available,Major Renovation,Shirak › Gyumri,"180,000 ֏ monthly",AMD,"A one-room apartment with all utilities, furnished, and household appliances is for rent in Mush district. There are the necessary conditions for a pleasant lifestyle. Preferably long-term tenants.Code 0591Translated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/17233072,,,,,,
Stone,No,Not available,5,55 sq.m.,2,1,from 2.8 m,3,Closed balcony,Cosmetic Renovation,Shirak › Gyumri,"160,000 ֏ monthly",AMD,"A three-room apartment for rent, sunny location, with cosmetic repairs, constant water, gasification, BAX system. For details, call:Code 7353Translated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/17345169,,,,,,
Stone,Yes,Not available,3,60 sq.m.,2,1,from 2.7 m,3,Not available,Designer Renovation,Shirak › Gyumri,"350,000 ֏ monthly",AMD,"All utility costs are included in the rent (electricity, water, heating, internet)New construction. Utility with all amenities. Near Vardanants Square.Translated from Armenian",Dec-12-2022_23-10,Concierge,Outdoor parking,Available,"Street view, city view","Fridge, stove, microwave, washing machine, iron, hair dryer",https://list.am/en/item/18647004,"Television, air conditioner, internet, parking space",4,Negotiable,No,Included,1 month
Stone,No,Not available,3,80 sq.m.,3,1,from 3 m,3,Multiple balconies,Major Renovation,"Tigran Mets Avenue 2, Gyumri","12,000 ֏ monthly",AMD,"Վարձով է տրվում գեղեցիկ վերանորոգված և կոմունալ բոլոր հարմարություններով բնակարան Գյումրի քաղաքի կենտրոնումСдается квартира посуточно со всеми удобствами. Квартира находится в центре города на Площади Независимости (бывшая площадь Ленина) В 100 метрах от ресторана Ташир Пицца. Начало туристического маршрута, где расположены все кафе, рестораны, магазины, музеи и прочие достопримечательности города. От Площади Независимости до Центральной площади Вардананц, можно сказать находится Туристическая Золотая Миля, аналог Невского проспекта, Арбата, Елисейских полей, Пиккадилли, 5 Авеню или Голливудского бульвара.Капитальный ремонт февраль 2020 года. Бесплатный WI FI 30 Мб, кабельное телевидение, отопление, горячая вода круглосуточно, два телевизора, один из них TV SMART. Кухня, газовая плита, электрочайник, кухонные принадлежности, посуда, кастрюли, сковородки. Две спальни и гостиная. Может разместиться до 7 человек. Стоимость в зависимости от количества постояльцев. Стоимость проживания в сутки:12 000 драм – на двоих.14 000 драм – на троих.16 000 драм – на четыре человека.18 000 драм – на пятерых.20 000 драм – на шестерых.22 000 драм – на семь человек.Скидка на детей уже включена в стоимость проживания.При проживании от 10 дней возможна небольшая скидка по договоренности.Apartment for rent with all amenities. The apartment is located in the city center on Independence Square (former Lenin Square) 100 meters from Tashir Pizza Restaurant. The beginning of the tourist route, where all the cafes, restaurants, shops, museums and other attractions of the city are located. From Independence Square to the Central Square of Vardanants, one can say is the Touristic Golden Mile, an analogue of Nevsky Prospekt, Arbat, Champs Elysees, Piccadilly, 5th Avenue or Hollywood Boulevard.Overhaul February 2020. Free WI FI 30 MB, cable TV, heating, hot water round the clock, two televisions, one of them is TV SMART. Kitchen, gas stove, electric kettle, kitchen utensils, dishes, pots, pans. Two bedrooms and a living room. Can accommodate up to 7 people. Cost depending on the number of guests. Cost of living per day:AMD 12,000 - for two.14 000 drams - for three.AMD 16,000 - for four people.18 000 drams - for five.AMD 20,000 - for six.22 000 drams - for seven people.Children discount is already included in the price.For stays of 10 days or more, a small discount is possible by agreement.",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18354851,,7,Yes,No,Included,2 weeks
Panels,Yes,Not available,4,100 sq.m.,3,1,from 2.8 m,3,Closed balcony,Partial Renovation,Shirak › Gyumri,"130,000 ֏ monthly",AMD,Property with utilities and appliancesTranslated from Armenian,Dec-12-2022_23-10,Playground,Outdoor parking,Available,"Yard view, street view","Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron",https://list.am/en/item/18651201,"Television, air conditioner, internet, parking space",8+,Yes,No,Not included,2 months
Monolith,Yes,Not available,3,90 sq.m.,3,2,from 2.7 m,1,Multiple balconies,Designer Renovation,"P. Sevak street 12Ա, Gyumri","150,000 ֏ monthly",AMD,A 3-room apartment with all utilities is for rent. With property and equipment. Long term.The apartment will be available from December 30.Translated from Armenian,Dec-12-2022_23-10,Playground,Outdoor parking,Available,Street view,"Fridge, stove, coffee maker, washing machine",https://list.am/en/item/18666992,"Television, internet, parking space",5,Yes,No,By Agreement,1 month
Stone,Yes,Not available,4,89 sq.m.,3,1,from 2.8 m,3,Not available,Euro Renovation,"Aragats street, Գյումրի","30,000 ֏ daily",AMD,"Apartment for rent in the center of Gyumri, air conditioner, refrigerator, wi-fi, 2 smart TVs. Breakfast in the Central Square is also given for a long term of 300,000 per month, utility costs on usTranslated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/17819731,,5,Yes,No,Not included,2 months
Panels,No,Not available,4,40 sq.m.,1,1,from 3 m,1,Not available,Partial Renovation,Shirak › Gyumri,"60,000 ֏ monthly",AMD,"The apartment is in normal condition... The heating system is missing, there is no hot water in the apartment. Nature reserve from December 24Translated from Armenian",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18683627,,3,No,No,Not included,1 month
Stone,No,Not available,3,63 sq.m.,2,1,from 3 m,3,Not available,Major Renovation,"Abovyan street 242, Gyumri","180,000 ֏ monthly",AMD,Նոր վերանորոգված! В самом центре новый ремонт,Dec-12-2022_23-10,,,,,,https://list.am/en/item/18046780,,,,,,
Stone,No,Not available,1,62 sq.m.,2,1,from 2.5 m,1,Not available,Old Renovation,"Վազգեն Սարգսյան փողոց 6, Գյումրի","50,000 ֏ monthly",AMD,Basement for rent Vazgen Sargsyan 6 Call for detailsTranslated from Armenian,Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/17575475,,2,Yes,No,By Agreement,By Agreement
Stone,No,Not available,5,57 sq.m.,3,1,from 2.8 m,1,Not available,Euro Renovation,Shirak › Gyumri,"200,000 ֏ monthly",AMD,"Сдаётся и на долгый срок и на суточное, но освобождается после 29 ого декабряпосле капитального ремонта, 3-ох комнатный квартира в центре городо, рядом старой мерии, со всеми удобствами.",Dec-12-2022_23-10,,Outdoor parking,Available,Yard view,"Fridge, microwave, coffee maker, washing machine, water Heater, iron",https://list.am/en/item/18065820,"Television, internet, parking space",4,Yes,Yes,Not included,1 month
Stone,Yes,Not available,4,60 sq.m.,2,1,from 2.7 m,2,Closed balcony,Designer Renovation,"Garegin Nzhdeh Avenue 9/4, Gyumri","18,000 ֏ daily",AMD,"Apartment 11 is designed for up to 4 people.Cost per day:Up to 2 persons - 18,000For 2-4 persons - 22,000We do not charge for children under 10 years old.Apartment 11 consists of:Living room - Here you can organize your rest (TV (Smart TV), sofa, high-speed Internet)Kitchen - Our kitchen will surprise the most capricious guest, because we have the necessary accessories for the guest (dishes, first-use items, pots)Bedroom - Orthopedic mattress will ensure your restful sleep, and 90's furniture will give you positive energy.Bathroom - The cleanliness of the bathroom is the most important thing for every guest. The bathroom is equipped with hot and cold water, bathroom accessories.Coming from you, the rest from us.Instagram - /apartment__11__/facebook - /ApartmentN11:Booking - booking. Com/Share-6PPiERairbnb - airbnb. Com/h/apartament11:Translated from Armenian",Dec-12-2022_23-10,,,Not available,,,https://list.am/en/item/17990349,,4,Yes,No,Not included,By Agreement
Stone,Yes,Not available,5,60 sq.m.,3,1,from 2.6 m,3,Closed balcony,Cosmetic Renovation,"Մաքսիմ Գորկու փողոց 67, Գյումրի","12,000 ֏ daily",AMD,"The apartment is located in the city center, designed for up to 4 people.Cost per day:Up to 2 persons - 12,000For 2-4 persons - 15,000We do not charge for children under 10 years old.The apartment consists of:Living room - Here you can organize your rest (TV (Smart TV), sofa, high-speed Internet)In the kitchen there are necessary accessories (dishes, utensils for first use, pots), washing machine, e-mail. Kettle, fridge, e-mail tile:Bedroom - Orthopedic mattress will ensure your restful sleep.Bathroom - The cleanliness of the bathroom is the most important thing for every guest. The bathroom has hot and cold water.Translated from Armenian",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18241996,,5,Yes,Negotiable,Included,By Agreement
Monolith,No,Not available,4,82 sq.m.,3,1,from 2.75 m,4,Multiple balconies,Cosmetic Renovation,"Улица Паруйра Севака, Гюмри","150,000 ֏ monthly",AMD,"* - Сдается 3-х комнатная квартира в аренду от собственника.* - Очень уютная и солнечная квартира.* - Большая кухня, гостиная, санузел, две спальни, санузел.* - На кухне мебель, стиральная машина автомат, газовая плита, микроволновая печь, диван,Большой холодильник, посуда.* - В гостиной мебель, стол, стулья, два кресла, диван, шкаф для одежды.* - Ванная комната выложена плиткой.* - В доме индивидуальная система отопления.* - Окна европейского производства.* - Рядом магазины, школа, остановка общественного транспорта.",Dec-12-2022_23-10,,,Available,"Yard view, street view","Fridge, stove, microwave, washing machine",https://list.am/en/item/18542991,,4,Yes,No,Not included,By Agreement
Stone,No,Not available,4,50 sq.m.,2,1,from 2.7 m,3,Not available,Old Renovation,"Շիրակացի փողոց, Գյումրի","110,000 ֏ monthly",AMD,"2-room apartment for rent, at Shirakatsi address. The apartment is equipped with necessary property and equipment. Nearby you can find shops, supermarkets, a park. For details, you can call the indicated phone number.Code 0015Translated from Armenian",Dec-12-2022_23-10,,,Available,"Street view, city view","Fridge, stove, coffee maker, washing machine, iron",https://list.am/en/item/18681208,"Television, internet",2,Yes,Negotiable,Not included,1 month
Panels,Yes,Not available,4,100 sq.m.,3,1,from 2.8 m,3,Closed balcony,Partial Renovation,"Aram Khachatryan street, Gyumri","100,000 ֏ monthly",AMD,Fully furnished with all utilitiesTranslated from Armenian,Dec-12-2022_23-10,Playground,Outdoor parking,Available,,"Fridge, microwave, coffee maker, washing machine, water Heater, iron",https://list.am/en/item/18651374,"Television, internet, parking space",8+,Yes,No,Not included,2 months
Stone,Yes,Not available,1,48 sq.m.,2,1,from 2.5 m,1,Not available,Euro Renovation,"Վահան Տերյանի փողոց 98, Գյումրի","15,000 ֏ daily",AMD,"2 bedroom house for rentin the city center, euro-renovated all utilitieswith facilities, euro-renovated2-bedroom house for rent in the city center, eurorenovationWith all the communal amenitiesTranslated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/18037510,,5,Yes,Yes,Included,By Agreement
Bricks,No,Not available,2,200 sq.m.,5,1,from 2.6 m,2,Closed balcony,Cosmetic Renovation,"Օդանավակայան 2-րդ թաղամաս 1, Գյումրի","180,000 ֏ monthly",AMD,Здается частный. Дом двухэтажный. Есть все необхадимое,Dec-12-2022_23-10,,,,,,https://list.am/en/item/18348132,,1,Yes,Yes,Not included,1 month
Stone,Yes,Not available,1,45 sq.m.,1,1,from 2.6 m,1,Open balcony,Euro Renovation,"Yerevan Highway, Gyumri","12,000 ֏ daily",AMD,"1սենյականոց շքեղ բնակարան։ Ձեր հանգիստը ապահովելու համար բնակարանում կան բոլոր նախապայմանները՝ ջեռուցում, տաք և սառը ջուր, հեռուստացույց, սառնարան, լվացքի մեքենա, խոհանոցում կա սպասք։",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/15593003,,4,Yes,Yes,By Agreement,By Agreement
Stone,Yes,Not available,1,43 sq.m.,1,1,from 2.7 m,1,Not available,Major Renovation,"Furmanov street, Gyumri","12,000 ֏ daily",AMD,"In the city center, with all amenitiesTranslated from Armenian",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/17967367,,4,Yes,Yes,By Agreement,By Agreement
Stone,Yes,Not available,1,45 sq.m.,1,1,from 2.7 m,1,Open balcony,Euro Renovation,"Furmanov street 2, Gyumri","12,000 ֏ daily",AMD,"Дом с новым ремонтом, со всеми коммунальными удобствами, есть все",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/17677377,,4,Yes,Yes,By Agreement,Without prepayment
Stone,No,Not available,5,70 sq.m.,3,1,from 2.5 m,5,Closed balcony,Partial Renovation,"Улица Дзержинского 20, Մարալիկ","50,000 ֏ monthly",AMD,"It has all facilities, the bathroom is renovatedTranslated from Armenian",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18249897,,4,Yes,No,By Agreement,1 month
Stone,No,Not available,4,110 sq.m.,4,1,from 2.75 m,2,Open balcony,Cosmetic Renovation,"Bagratunyats Square, Gyumri","300,000 ֏ monthly",AMD,"4-room apartment for long-term rent.The cost is AMD 300,000.Completely renovated, new property, constant hot and cold water, wi fi, cable broadcasting, washing machine, refrigerator, BAXI, TV. 2 furnished bedrooms.Open balcony - beautiful view of Bagratunyats park.There is a playground in the yard, there is a supermarket, pharmacy and convenience stores nearby.The apartment is located next to KARONA supermarket on Bagratunyats 8 streetTranslated from Armenian",Dec-12-2022_23-10,Playground,Garage,Available,"City view, park view","Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18594382,"Television, internet, parking space",6,Yes,Yes,By Agreement,By Agreement
Stone,No,Not available,2,52 sq.m.,2,1,from 3.2 m,2,Open balcony,Euro Renovation,"Проспект Тиграна Меца 19, Гюмри","180,000 ֏ monthly",AMD,"2ух комнатная квартира на проспекте Тиграна Меца 19,балкон открытыйКвартира 12,комунальные услуги на жителя. С животными нельзя. Для подробности позвонить по номеру внизу.",Dec-12-2022_23-10,,,,,,https://list.am/en/item/18467332,,3,Yes,No,Included,2 months
Stone,No,Not available,3,50 sq.m.,2,1,from 3.2 m,2,Open balcony,Partial Renovation,Shirak › Gyumri,"100,000 ֏ monthly",AMD,"The apartment is located in the central part of the city, for rent for a minimum of three months.Translated from Armenian",Dec-12-2022_23-10,,,Available,"Street view, city view","Fridge, stove, washing machine",https://list.am/en/item/18676752,"Television, internet, parking space",3,Negotiable,No,Not included,By Agreement
Stone,No,Not available,4,30 sq.m.,1,1,from 2.8 m,3,Open balcony,Designer Renovation,"Մաքսիմ Գորկու փողոց 104, Գյումրի","250,000 ֏ monthly",AMD,"• A 1-room apartment is for rent on Gorku street• The apartment is fully renovated• There are all the necessary and comfortable conditions for living, furnished with furniture, appliances, etc.In case of questions, call the indicated mobile phone numberTranslated from Armenian",Dec-12-2022_23-10,,Outdoor parking,Available,"Street view, city view, park view","Fridge, stove, microwave, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18675344,"Television, internet, parking space",3,Yes,No,Not included,1 month
Panels,No,Not available,3,80 sq.m.,2,1,from 3 m,1,Multiple balconies,Euro Renovation,Shirak › Gyumri,"140,000 ֏ monthly",AMD,Сдаётся 2к чистая после евроремонта квартира в Гюмри со всеми удобствами в квартале Ани возле Супермаркета Басен с хорошей развязкой с остальными вопросами позвоните,Dec-12-2022_23-10,,Outdoor parking,Available,,"Fridge, washing machine, drying machine, water Heater, iron",https://list.am/en/item/18674930,"Television, internet",4,Yes,No,Not included,By Agreement
Stone,Yes,Not available,4,157 sq.m.,5,2,from 2.8 m,4,Open balcony,Designer Renovation,Shirak › Gyumri,"800,000 ֏ monthly",AMD,A building with communal facilities is for rent.Translated from Armenian,Dec-12-2022_23-10,Intercom entry,Outdoor parking,Available,"Street view, city view, park view","Fridge, stove, dishwasher, washing machine",https://list.am/en/item/18632087,"Television, internet",2,Yes,No,Not included,1 month
Stone,No,Not available,4,65 sq.m.,2,1,from 2.8 m,1,Open balcony,Cosmetic Renovation,"Gorki Street, Gyumri","10,000 ֏ daily",AMD,Квартира посуточно в городе Гюмри#Гюмри#квартира#здается#посуточно#hotel#,Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/15503656,,6,Yes,No,Included,By Agreement
Stone,No,Not available,3,50 sq.m.,2,1,from 3 m,2,Not available,Major Renovation,"Ղորղանյան փողոց 123, Գյումրի","300,000 ֏ monthly",AMD,"Վարձակալությամբ է տրվում 2 սենյականոց բնակարան քաղաքի ամենակենտրոնում։ (Ոտքով մինչև կենտրոնական հրապարակ կամ Թումո/Տեխնոպարկ 2 րոպե) ։Մինիմալ 5 ամիս։1 ննջասենյակ (160x200սմ մահճակալ, կամ ցանկության դեպքում հնարավոր է փոխարինել 2 հատ 90x200սմ֊անոց մահճակալներով)հյուրասենյակ - 1 հատ բացովի դիվան (140x190 բացած վիճակում), + 1 հատ 1 տեղանոց մահճակալ (պատի միջից բացվող)Այսինքն առավելագույնը 5 հոգի։մշտական տաք/սառը ջուրջեռուցումFree WiFi, TV (կաբելային հեռուստաալիքներով)սառնարանլվացքի մեքենամիկրոալիքային վառարանգազօջախ, ջեռոցփոշեկուլսպասք․․․=====Минимум - 5 месяц2 комнатная квартира в самом центре города (пешком до центральной площади 2 минуты)1 спальня - 160x200см кровать или можно заменить на 2 одноместные 90x200см кровати)1 зал - 1 диван - после открытия получим 140x190см, + есть еще 1 одноместная кровать скрытая в стенемаксимально 5 человеккруглосуточная холодная/горячая водаотоплениеWiFi, TV (кабельное телевидение)холодильникстиральная машинамикроволновкагазовая плита, духовкапылесоспосуда-...",Dec-12-2022_23-10,,Outdoor parking,Available,Street view,"Fridge, stove, microwave, washing machine, iron, hair dryer",https://list.am/en/item/18055040,"Television, internet, parking space",4,Yes,Negotiable,Not included,By Agreement
Stone,No,Not available,5,102 sq.m.,4,1,from 2.7 m,4,Open balcony,Cosmetic Renovation,"Khrimyan Hayrik Highway, Gyumri","250,000 ֏ monthly",AMD,Квартира с ремонтом и бытовой техникой. Есть все удобства.Детская комната-2 телевизорбыстрый интернетустановлено отопления BAXIтеплый домКоммунальные расходы максимум 50.000,Dec-12-2022_23-10,,Outdoor parking,Available,"Yard view, street view, city view","Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18558809,"Television, internet",4,Yes,No,By Agreement,By Agreement
Monolith,No,Not available,3,82 sq.m.,3,1,from 2.7 m,3,Closed balcony,Major Renovation,"11-րդ փողոց 6, Գյումրի","200,000 ֏ monthly",AMD,"Г. Гюмри. Сдается трехкомнатная квартира класса комфорт. Супермаркеты, рынок, аптеки, банкоматы -рядом (200-600м) Скоростной интернет, питьевая вода 24/7, теплая вода, отоп.В квартире есть всё необходимое для комфортного проживания.Кровать двухспальная, диванБытовая техника (стиральная машина, газовая плита, холодильник, чайник,Кухонные принадлежности, посуда, утюг, пылесос.Депозит 2 месяца.ПРИ ЗАСЕЛЕНИИ ПРЕДЪЯВЛЯЕТСЯ ПАСПОРТ.Վարձով է տրվում 3 սենյականոցբ բնակարան երկարատև հիմունքններով (6 ամիս և ավել) Գյումրի քաղաքի Անի (58) թաղամասում, գերարագ ինտռնետ, կաբելային հեռուստատեսություն (DELTA TV), կբհ, գազ լույս տաք և սառը ջուր, ջեռուցում, եվրոպատուհաններ, 3րդ հարկ, կահույքով, անկողնային պարականներով, խոհանոցային պարագաններ (ամբողջ կոմպլեկտ), սառնարան, լվածքի մեքենա, հեռուստացույց, արդուկ, փոշեկուլ, ֆեն.",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18525226,,6,Yes,Yes,Not included,2 months
Stone,Yes,Not available,1,100 sq.m.,4,1,from 2.7 m,1,Not available,Euro Renovation,"Կարեն Դեմիրճյան փողոց, Գյումրի","280,000 ֏ monthly",AMD,"Own euro-renovated house for rent to responsible and NORMAL PEOPLE with property. The monthly payment can be NEGOTIATED depending on the number of tenants and the period. For details, call (9:00-20:00)Translated from Armenian",Dec-12-2022_23-10,,,Available,,"Fridge, coffee maker, washing machine, water Heater",https://list.am/en/item/18373003,"Television, internet",1,Yes,No,Not included,By Agreement
Monolith,Yes,Not available,5,80 sq.m.,3,1,from 2.7 m,3,Multiple balconies,Euro Renovation,Shirak › Gyumri,"10,000 ֏ daily",AMD,"Բնակարանը վերանորոգված է, ապահովված է կոմունալ բոլոր հարմարություններով՝ մշտական տաք և սառը ջուր, անհատական ջեռուցման համակարգ։ Բնակարանում առկա է անկողնային պարագաներ և սպիտակեղեն, սրբիչներ, սպասք, ամբողջությամբ կահավորված` Հեռուստացույց, WI-Fi սառնարան, լվացքի մեքենա. Հարևանությամբ՝ սուպերմարկետ և այլ խանութներԿախված ամրագրված օրերից, ժամերից և բնակիչների քանակից հնարավոր է գնային փոփոխությունКвартира с евроремонтом, обеспечена всеми коммунальными удобствами: Постоянная горячая-холодная вода, индивидуальная система отопления. В квартире есть постельное белье, полотенца, посуда, Телевизор, WI-Fi холодельник, стиральная машина. В непосредственной близости: Супермаркет и другие магазины.",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/16264950,,4,Yes,No,By Agreement,By Agreement
Stone,No,Not available,5,70 sq.m.,3,1,from 2.75 m,3,Closed balcony,Major Renovation,Shirak › Gyumri,"200,000 ֏ monthly",AMD,"Apartment for rent in Gyumri. The apartment is equipped with necessary property and equipment. European windows, tiled bathroom, laminate floor. All utilities are available in the apartment. 2 bedrooms, 1 living room. There is an individual heating system in the apartment. The apartment is rented together with property and equipment. There are many shops near the building, it is close to bus stops.Commission - 50%Code G02130Translated from Armenian",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18395006,,4,Yes,No,Not included,1 month
Stone,No,Not available,4,60 sq.m.,2,1,from 2.8 m,1,Open balcony,Major Renovation,"P. Sevak street, Gyumri","250,000 ֏ monthly",AMD,Квартира Находится 58 квартал #Красный Крест #,Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18556487,,1,Yes,No,Not included,By Agreement
Stone,Yes,Not available,4,60 sq.m.,3,1,from 3 m,2,Open balcony,Cosmetic Renovation,"Կամոյի փողոց 42, Գյումրի","200,000 ֏ monthly",AMD,"It is given both for daily rent and long-term. The apartment is equipped with all utilities. There is WI-FI, any kitchen equipment and electrical equipment, an open balcony with a view of the courtyard of the building.Translated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/18549158,,5,Yes,No,By Agreement,By Agreement
Monolith,Yes,Not available,4,60 sq.m.,2,1,from 2.7 m,2,Closed balcony,Euro Renovation,"Улица Ширакацу, Gyumri","250,000 ֏ monthly",AMD,Сдаётся двух комнатная квартира со всеми удобствами в городе Гюмри Тихий район В шаговой находятся магазины русская школа По остальным вопросам звоните,Dec-12-2022_23-10,,,,,,https://list.am/en/item/18445306,,4,Yes,No,Not included,By Agreement
