Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,Appliances,Window Views,The House Has,Parking,Links,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities
Panels,No,Available,9,50 sq.m.,1,1,from 2.7 m,3,Open balcony,Available,Old Renovation,"Գրիգոր Լուսավորչի փողոց 39/1, Վանաձոր","90,000 ֏ monthly",AMD,"A one-room apartment in the center of Vanadzor is for rent. It is fully furnished with all utilities, European windows (permanent gas, electricity, hot and cold water) There is an open balcony. It is close to the market, the bus station, the square, the park, there is also a school and a kindergarten in the area. The apartment is for rent for 1 or 2 people, for a long term - at least 6 months. High speed internet is also included in the price. The apartment will be free from December 22, if you pay the money for 4 months at once, the BACSI system will be installed.The price is negotiable.ATTENTION!Information for callers from Yerevan, the city of Vanadzor is not located in Yerevan, it is located in the Lorva region.Translated from Armenian",Dec-12-2022_23-09,"Fridge, stove, coffee maker, washing machine, water Heater",Yard view,Playground,Outdoor parking,https://list.am/en/item/18407201,2,Negotiable,Negotiable,Not included,2 months,"Television, internet, parking space"
Panels,Yes,Not available,5,65 sq.m.,3,1,from 2.8 m,1,Open balcony,,No Renovation,"Baghramyan avenue, Vanadzor","40,000 ֏ monthly",AMD,"There is gas in the house. For other questions, you can write or call.Translated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18532583,4,Yes,Yes,By Agreement,By Agreement,
Stone,No,Not available,1,90 sq.m.,3,1,from 3.5 m,1,Not available,,Euro Renovation,"Taterakan street 2, Vanadzor","$1,000 monthly",USD,Сдается в аренду новий квартира + офис с мебелю,Dec-12-2022_23-09,,,,,https://list.am/en/item/18392239,,,,,,
Monolith,No,Available,9,64 sq.m.,2,1,from 2.8 m,7,Open balcony,Available,Partial Renovation,"Stepan Zoryan street 21, Vanadzor","70,000 ֏ monthly",AMD,"Sunny house, with all utilities, in the city center.Translated from Armenian",Dec-12-2022_23-09,"Fridge, stove, washing machine",,,,https://list.am/en/item/18537747,4,Yes,No,Not included,By Agreement,
Panels,No,Not available,4,68 sq.m.,2,1,from 2.8 m,3,Closed balcony,Available,Cosmetic Renovation,Lorri › Alaverdi,"60,000 ֏ monthly",AMD,"Apartment for rent c. In the Baghramyan district of Alaverdi, it is a 2-room apartment with all utilities. It is also available for daily rent. For details, call the following phone numberTranslated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18539749,3,Yes,No,Not included,By Agreement,
Stone,No,Not available,2,50 sq.m.,5,2,from 2.7 m,2,Multiple balconies,Available,Cosmetic Renovation,Lorri › Stepanavan,"5,000 ֏ daily",AMD,"Rooms are for rent in the village of Gyulagarak. The apartment is located next to the Arboretum (in the same village) The apartment has hot and cold water, it is furnished. It has a garage and a large yard. The house is located in an exclusively ecologically clean environment, in a pristine area. The Gargar river flows in front of the house, there are also small lakes, fields and pavilions.The house is close to St. Gevorg's chapel and ""lakes"", ""island"" attractions in the neighboring village, parking and Wi-Fi are available.Important 1. Person: 6000 dramsImportant 2. Dear visitors, there may be several families in the house, because they rent out the rooms, if you want the whole house, you pay AMD 60.Important 3. When reserving the room or apartment, you pay the non-refundable amount.Thank you.)Translated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/14152450,8+,Yes,Yes,Included,By Agreement,
Stone,No,Not available,5,75 sq.m.,3,1,from 2.6 m,5,Not available,Available,Partial Renovation,"Chukhajyan street 58, Vanadzor","50,000 ֏ monthly",AMD,Call for detailsTranslated from Armenian,Dec-12-2022_23-09,"Fridge, stove, washing machine, water Heater, iron",,,,https://list.am/en/item/18660053,6,Yes,Yes,Not included,By Agreement,Television
Stone,No,Not available,5,60 sq.m.,2,1,from 3.2 m,4,Open balcony,Available,Old Renovation,"Квартал Нерсисян 11, Ванадзор","70,000 ֏ monthly",AMD,"Տրվում է վարձակալությամբ կոմունալ բոլոր հարմարություններով: Ցանկալի է զույգերի: Ջեռուցումը - գազի պեչկ: Արևկող: Գնայինը վերջնական չի.2-комнатная квартира в аренду. Желательно семейным парам, без животных.Есть газовая печь для отопления.Есть все комунальные условия.Также есть гараж. Цена неокончательная.",Dec-12-2022_23-09,"Fridge, stove, washing machine, water Heater, iron","Yard view, street view, city view",,"Outdoor parking, garage",https://list.am/en/item/18683378,1,Yes,No,By Agreement,By Agreement,"Television, internet, parking space"
Monolith,Yes,Available,9,55 sq.m.,2,1,from 2.8 m,8,Open balcony,,Major Renovation,"Narekaci street, Vanadzor","170,000 ֏ monthly",AMD,"It is offered with the property, completely renovated, sunny all day, the elevator always works, call for details. Owner:Translated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18379990,,,,,,
Stone,No,Available,9,100 sq.m.,4,1,from 2.75 m,6,Open balcony,Available,Partial Renovation,"Tigran Mets Avenue 34, Vanadzor","130,000 ֏ monthly",AMD,"Квартира в центре города, Удобные условия проживания остальные вопросы по телефону",Dec-12-2022_23-09,"Fridge, stove, microwave, washing machine, iron","Yard view, city view, park view",Playground,Outdoor parking,https://list.am/en/item/18596985,7,Yes,No,Not included,By Agreement,"Television, internet"
Stone,No,Not available,4,60 sq.m.,1,1,from 2.6 m,3,Open balcony,Available,Euro Renovation,"Ամիրյան փողոց 5, Վանաձոր","7,000 ֏ daily",AMD,"Price is negotiable, call for detailsTranslated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/17681367,5,Yes,No,By Agreement,By Agreement,
Stone,No,Not available,3,70 sq.m.,3,1,from 2.8 m,1,Not available,Available,Major Renovation,Lorri › Vanadzor,"10,000 ֏ daily",AMD,"A bright, clean apartment is for daily rent in the center of the city, next to Artsakh ParkTranslated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/16719523,5,Yes,Yes,Included,Without prepayment,
Stone,Yes,Available,7,70 sq.m.,2,1,from 3 m,5,Not available,Available,Major Renovation,Lorri › Vanadzor,"10,000 ֏ daily",AMD,"2-room clean, neat, luxurious euro-renovated apartment is for daily rent in a newly built building in the center of Vanadzor city.The apartment is provided with all the amenities.Translated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/16764938,5,Yes,Yes,Included,Without prepayment,
Stone,No,Not available,5,76 sq.m.,2,1,from 2.75 m,1,Open balcony,Available,Cosmetic Renovation,"Tigranyan street, Vanadzor","180,000 ֏ monthly",AMD,"A 2-room apartment is for rent, newly cosmetically renovated and uninhabited. It can accommodate up to 5 people. All utilities are available in the apartment. For details, call the indicated phone number.Translated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18506277,5,Yes,No,Not included,1 month,
Stone,No,Not available,5,65 sq.m.,2,1,from 2.75 m,4,Closed balcony,Available,Major Renovation,"Տիգրան Մեծ պողոտա, Վանաձոր","90,000 ֏ monthly",AMD,"VANADZORAn apartment is for rent in Vanadzor, on Tigran Metsi street (Taxis)The apartment is completely renovated, has all utilities, furniture and household appliances are availableTranslated from Armenian",Dec-12-2022_23-09,Water Heater,"Street view, city view",,,https://list.am/en/item/18632803,5,Yes,No,Not included,Without prepayment,"Television, internet"
Stone,No,Not available,4,45 sq.m.,1,1,from 3.2 m,1,Not available,Available,Designer Renovation,Lorri › Vanadzor,"12,000 ֏ daily",AMD,"Сдается однокомнатная квартира на проспекте Тиграна Мец. Сделан капитальный дизайнерский ремонт. Мебель, техника, постельное белье в наличие. Высокоскоростной интернет, постоянная горячая и холодная вода.",Dec-12-2022_23-09,,,,,https://list.am/en/item/18144353,4,Yes,Yes,Included,Without prepayment,
Stone,No,Not available,3,36 sq.m.,1,1,from 3.2 m,2,Not available,Available,Euro Renovation,"Tigran Mets Ave 27, Vanadzor","9,000 ֏ daily",AMD,"Сдается однокомнатная квартира в центре города Ванадзор. Евроремонт, мебилированна польностью, отопление, горячая вода, интернет имеются.",Dec-12-2022_23-09,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",City view,,Outdoor parking,https://list.am/en/item/18602264,2,Negotiable,Negotiable,Included,Without prepayment,"Television, internet"
Stone,No,Not available,5,54 sq.m.,2,1,from 3 m,3,Multiple balconies,Available,Major Renovation,Lorri › Vanadzor,"160,000 ֏ monthly",AMD,"Տրվում է վարձով բնակարան՝ կապիտալ վերանորոգված, խիստ հարմարավետ, արևոտ։ Կահուքը նոր է։ Գտնվում է Հայքի հրապարակին կից։Տրվում է միայն գույքի հետ խնամքով վերաբերվելու պայմանով։Сдается полностью отремонтированная, очень уютная, солнечная квартира. Мебель новая. Находится рядом с площадью Айка.Дается только при условии бережного отношения к имуществу.",Dec-12-2022_23-09,,,,,https://list.am/en/item/18390469,3,Yes,No,By Agreement,1 month,
Stone,No,Not available,3,82 sq.m.,4,1,from 3 m,2,Open balcony,Available,Euro Renovation,"Տիգրան Մեծի պողոտա 20/1Ա, Վանաձոր","300,000 ֏ monthly",AMD,"4 (four) room apartment is for rent for long-term purpose, c. In Vanadzor.Tigran Mets 39 building, apt. At 3 (in front of Gugark Hotel)The apartment is located on the 2nd floor of a 3 (three) storey stone building.The property and equipment are fully available, andYou can call for detailsTranslated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/17573652,6,Yes,No,Not included,By Agreement,
Stone,No,Not available,4,46 sq.m.,1,1,from 2.8 m,4,Open balcony,Available,Euro Renovation,"Teryan stret, Vanadzor","120,000 ֏ monthly",AMD,В центре города. Мебель и техника новая.,Dec-12-2022_23-09,"Fridge, stove, washing machine, water Heater, iron, hair dryer",Street view,,,https://list.am/en/item/18642494,2,Yes,Yes,Not included,1 month,"Television, internet, parking space"
Stone,No,Not available,5,80 sq.m.,3,1,from 2.7 m,2,Open balcony,Available,Euro Renovation,"Nersisyan district 6, Vanadzor","90,000 ֏ monthly",AMD,"3-room apartment for rent in Bangladesh district. The apartment has furniture, curtains, appliances, dishes, everything for living. The house is very sunny, very close to the bus stop, also suitable for students.Translated from Armenian",Dec-12-2022_23-09,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer","Yard view, street view",,,https://list.am/en/item/18673162,4,Yes,No,Not included,2 months,"Television, internet"
Stone,No,Not available,4,90 sq.m.,3,1,from 3 m,1,Closed balcony,,Old Renovation,"Tigran Mets Avenue, Vanadzor",$500 monthly,USD,"Со всеми удобствами. Квартира находится в центре города. Красная линия. Тигран Меци дом 38. Кому интересен, можно купить.",Dec-12-2022_23-09,,,,,https://list.am/en/item/18538790,4,Yes,No,Included,2 months,
Stone,No,Not available,2,300 sq.m.,4,3+,from 2.75 m,2,Open balcony,Available,Major Renovation,Lorri › Vanadzor,"30,000 ֏ daily",AMD,"In an excellent place to live and enjoy rest, at the beginning of Gugark, near the Czech school, 5 minutes by car from the center. The neighborhood is not densely populated, clean and wonderful in nature, but at the same time it is provided with all housing facilities, you will live on the second floor of the house, the first one is a garage, a laundry room, a separate bathroom and a bathroom, etc. , it is currently a free space, not inhabited.On the second floor is a luxurious, spacious, bright apartment with a separate entrance, wooden and iron doors, wooden entrance cover. As you enter the apartment, you enter the hall with parquet flooring, wooden stairs, and Czech terracotta chandeliers.It is equipped with the following utilities:*individual heating system*Italian water pump and 1.5 ton water tank*garage for two cars*open balcony covered with wrought iron bars' with a peaceful nature view*the entire area is fenced* spacious yard/kitchen in the yard, bathroom/*fruit garden*possibility of outdoor recreation* Romanian wooden vintage bedroom and living room furniture, sideboards, chests of drawers, high quality wooden table and chair sets, Czech terracotta chandeliers*wooden patterned parquet*windows with bars*brand new appliances* high quality white bedding* tableware sets* spacious living room, spacious bedrooms, separate bathroom and shower room.Translated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18080623,8+,Yes,Negotiable,By Agreement,By Agreement,
Stone,No,Not available,5,59 sq.m.,2,1,from 2.75 m,4,Closed balcony,Available,Cosmetic Renovation,"Narekaci street, Vanadzor","70,000 ֏ monthly",AMD,For more information call.Translated from Armenian,Dec-12-2022_23-09,,,,,https://list.am/en/item/18462081,4,No,No,Not included,1 month,
Stone,No,Not available,5,40 sq.m.,2,1,from 2.8 m,2,Closed balcony,,Cosmetic Renovation,"Chukhajyan street, Vanadzor","60,000 ֏ monthly",AMD,"2 rooms for rent. Apartment, WITHOUT PROPERTY, EMPTY, Chukhajyan str. Acquisition of property at the expense of monthly paymentTranslated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18410334,,,,,,
Stone,Yes,Not available,2,60 sq.m.,3,2,from 3 m,2,Not available,Available,Designer Renovation,"Улица Саят-Нова 10, Ванадзор","200,000,200 ֏ monthly",AMD,"Сдается квартиры в новом элитном доме, территория охраняется, ведётся круглосуточное видеонаблюдение.На территории имеется парковка, терраса, барбекю, прачечная, мини бар.Есть бесплатный интернетApartments for rent in a new elite building, the territory is guarded, round-the-clock video surveillance is conducted.On the territory there is parking, terrace, barbecue, laundry, mini bar.There is free internet",Dec-12-2022_23-09,"Fridge, stove, coffee maker, washing machine, water Heater, hair dryer","Yard view, street view, city view, park view",Intercom entry,Outdoor parking,https://list.am/en/item/18037231,4,Yes,No,Included,1 month,"Television, air conditioner, internet, parking space"
Stone,No,Not available,5,78 sq.m.,2,1,from 2.8 m,4,Open balcony,Available,Major Renovation,"Batumi street 15, Vanadzor","140,000 ֏ monthly",AMD,"Сдаётся просторная двухкомнатная квартира с евроремонтом и мебелью. Обеспечены все коммуникации, постоянная горячая и холодная вода, газ, электричество, интернет и индивидуальная система отопления.Квартира находится в центральной части города.",Dec-12-2022_23-09,"Fridge, stove, washing machine","Yard view, street view, city view",,Outdoor parking,https://list.am/en/item/18669371,4,Yes,No,Not included,By Agreement,"Television, internet, parking space"
Stone,No,Not available,5,72 sq.m.,3,1,from 2.75 m,5,Multiple balconies,Available,Major Renovation,"Chukhajyan street, Vanadzor","65,000 ֏ monthly",AMD,"Sunny, warm, furnished, with all utilities, open and closed balconies. There is a school and a kindergarten in the adjacent area. It is provided with appliances and furniture. The price is 65,000. It is provided with a contract.Translated from Armenian",Dec-12-2022_23-09,"Fridge, stove, washing machine","Yard view, street view",,,https://list.am/en/item/18667138,8+,Yes,Negotiable,Not included,1 month,Television
Monolith,Yes,Not available,3,110 sq.m.,3,1,from 2.75 m,3,Open balcony,Available,Designer Renovation,"Գարեգին Նժդեհի փողոց 9/2-1 , Վանաձոր","10,000 ֏ daily",AMD,"Վանաձոր քաղաքի կենտրոնում եռհարկանի մոնոլիտ նորակառույց շենքում կահավորված, անհատական տաքացման Baxi համակարգով տրվում է վարձով նոր վերանորոգված 110 մ2 տարածքով շքեղ բնակարան:В центре города Ванадзор в новом монолитном 3-х этажном здании сдается в аренду полностью отремонтированная, с индивидуальным отоплением, с кондиционером и мебелью квартира площадью 110м2.",Dec-12-2022_23-09,"Fridge, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",,,,https://list.am/en/item/17754789,6,Yes,No,Not included,By Agreement,"Television, air conditioner, internet, parking space"
Stone,No,Not available,9,75 sq.m.,3,1,from 2.7 m,1,Not available,Available,Euro Renovation,"Moskovyan street, Vanadzor","10,000 ֏ daily",AMD,"A beautifully renovated apartment is for rent in the center of Vanadzor, on Moskovyan Street, the house has all utilities for living, WI-FI network, TV channels, bathroom accessories.Translated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18197508,3,Yes,No,Included,By Agreement,
Stone,No,Not available,2,74 sq.m.,3,1,from 3.2 m,2,Open balcony,Available,Partial Renovation,"Batumi street 5, Vanadzor","100,000 ֏ monthly",AMD,"3-room apartment for rent in Vanadzor, on Batumi street. There is a partial repair. There is hot and cold water. It is equipped with necessary appliances and furniture.Translated from Armenian",Dec-12-2022_23-09,"Fridge, stove, coffee maker, washing machine",Street view,,Outdoor parking,https://list.am/en/item/18662582,4,Yes,No,Not included,By Agreement,Television
Panels,No,Not available,4,63 sq.m.,2,1,from 2.7 m,3,Closed balcony,,Cosmetic Renovation,"Տարոն-2 թաղամաս 10-1, Վանաձոր","70,000 ֏ monthly",AMD,"It is located next to the polyclinic. For the rest, call.Translated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18524789,3,Yes,No,Not included,2 months,
Panels,No,Available,9,97 sq.m.,4,1,from 2.6 m,3,Open balcony,By agreement,Euro Renovation,Lorri › Vanadzor,"280,000 ֏ monthly",AMD,A comfortable apartment is for rent in the center of Vanadzor.Minimum rental period is 1 year.Translated from Armenian,Dec-12-2022_23-09,"Fridge, stove, microwave, washing machine, water Heater, iron","Yard view, city view","Intercom entry, playground",Outdoor parking,https://list.am/en/item/18660805,4,Yes,No,Not included,2 months,"Television, parking space"
Panels,No,Available,9,78 sq.m.,3,1,from 2.7 m,2,Closed balcony,Available,Euro Renovation,Lorri › Vanadzor,"10,000 ֏ daily",AMD,"A 3-room apartment is for daily rent in the center of Vanadzor. Has all the utilities. Located on the 2nd floor.The price can be changed depending on the number of people կապված related days.#house, # daily rent # apartment # Vanadzor # short-term # daily rent house in Vanadzor, # Lori # DilijanTranslated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/14349267,7,Yes,Yes,By Agreement,By Agreement,
Stone,No,Not available,5,48 sq.m.,3,1,from 2.7 m,1,Open balcony,Available,Euro Renovation,Lorri › Vanadzor,"10,000 ֏ daily",AMD,"A newly renovated apartment is for daily rent in the central part of Vanadzor. It has a large, spacious living room, 2 bedrooms, an open balcony, provided with all utilities. Located on the ground floor of a 5-storey building. Heating system: Individual. (Bucky) The price may vary depending on the number of days կապված persons.Apartment for daily rent in Vanadzor, House for daily rentA private house with all the communal amenities is for daily rent. It has constant hot and cold water, internet, TV, refrigerator, sieve and washing machine.Price starting from 8000 AMD per day for the whole house. It is possible to pay by transfer. Price may vary depending on the number of people and season.# daily rent # apartment # Vanadzor # short-term # daily rent in VanadzorTranslated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/16055160,6,Yes,Yes,By Agreement,By Agreement,
Monolith,No,Not available,4,90 sq.m.,3,2,from 3 m,4,Closed balcony,Available,Cosmetic Renovation,"Տավրոսի 1-ին փողոց, Վանաձոր","150,000 ֏ monthly",AMD,For renthas all the amenities for living,Dec-12-2022_23-09,,,,,https://list.am/en/item/18411301,7,Yes,Yes,Not included,1 month,
Stone,Yes,Not available,2,60 sq.m.,3,1,from 3 m,2,Open balcony,Available,Major Renovation,"Եկեղեցու փողոց 4, Ստեփանավան","130,000 ֏ monthly",AMD,"It is located in the center of the city, next to the church. The house has all utilities: Gas, hot and cold water/permanent/, heating. It is fully furnished, including kitchen utensils, washing machine, etc.There is a parking space in the yard. It has an open balcony for relaxation.Translated from Armenian",Dec-12-2022_23-09,"Fridge, stove, coffee maker, washing machine, drying machine, iron","Yard view, street view, city view",,,https://list.am/en/item/18454662,5,Yes,Yes,Not included,By Agreement,"Television, internet, parking space"
Stone,No,Not available,5,44 sq.m.,1,1,from 2.8 m,4,Closed balcony,Available,Cosmetic Renovation,"Lazyan street, Vanadzor","70,000 ֏ monthly",AMD,"The apartment is sunny, it is given with furniture, it has constant hot and cold water, the bathroom is tiled, there is everything for living, except for a refrigerator.Translated from Armenian",Dec-12-2022_23-09,"Washing machine, water Heater",,,,https://list.am/en/item/18286349,4,Yes,Negotiable,Not included,1 month,"Television, internet"
Panels,Yes,Not available,3,45 sq.m.,1,1,from 2.7 m,1,Not available,Available,Cosmetic Renovation,"Yubeka Street 2, Vanadzor","9,000 ֏ daily",AMD,Apartment with daily rent in the opposite district with all amenities.Translated from Armenian,Dec-12-2022_23-09,,,,,https://list.am/en/item/17964876,3,Yes,Yes,Included,By Agreement,
Stone,No,Not available,5,25 sq.m.,6,1,from 2.5 m,2,Closed balcony,Available,Old Renovation,"Կարեն Դեմիրճյան փողոց 16, Վանաձոր","50,000 ֏ monthly",AMD,"The photos of the rooms and floor plan are attached to the description. The rent for 6 months will be paid from the beginning with a monthly payment of 50,000 drams. For details, please call the indicated phone number. Thank you.Translated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18626065,3,Yes,Negotiable,By Agreement,6 months,
Stone,Yes,Not available,2,100 sq.m.,4,2,from 3 m,2,Open balcony,Available,Euro Renovation,"Улица Татеракан 1/1, Ванадзор","250,000 ֏ monthly",AMD,Здание расположено в центре города. Качественный ремонт.,Dec-12-2022_23-09,,,,,https://list.am/en/item/17658166,3,Yes,No,By Agreement,1 month,
Stone,Yes,Not available,4,65 sq.m.,2,1,from 2.7 m,2,Open balcony,,Cosmetic Renovation,"Տարոն-4 թաղամաս, Վանաձոր","130,000 ֏ monthly",AMD,"Сдаётся 2-х комнатная квартира по адресу город Ванадзор Квртал Тарон 4.Сделан ремонт, есть все коммуникации, в квартире так же присутствует индивидуальная система отопления.Квартира предоставляется вместе с имуществом. Второй этаж, есть открытой балкон.Цена 130000 драмов или 350 долларов.",Dec-12-2022_23-09,,,,,https://list.am/en/item/18484652,4,Yes,Yes,Not included,By Agreement,
Stone,Yes,Not available,2,45 sq.m.,2,1,from 2.8 m,1,Not available,,Euro Renovation,Lorri › Gyulagarak,"100,000 ֏ monthly",AMD,"Здам на длительный срок, за месяц цена от 100000, Село Гюлагарак, есть стиралная комната, работница, бесплатный вай фай, столовая, можно заселится когда угодно, отопление электрическое, номерах есть холодильник, телевизор, двухкомнатная. Есть и с кухней",Dec-12-2022_23-09,,,,,https://list.am/en/item/18356502,8+,Yes,Yes,Not included,1 month,
Stone,No,Not available,5,42 sq.m.,2,1,from 2.8 m,3,Not available,Available,Euro Renovation,"Улица Чухаджяна 56, Ванадзор","12,000 ֏ daily",AMD,"Внимание: - Квартира пока не готова к сдаче так как она в данный момент ремонтируется и будет готова к сдаче в конце Ноября-в начале декабря этого года. Будет выглядеть примерно как на указанных фотографий…Квартира будет оснащена всем необходим (Мебель, техника, интернет и т. Д.) Квартира находиться в очень спокойном и чистом районе на набережной в районе джунглинер. До центра на автомобиле примерно 5 минут езды. Возможна сдача на долговременное проживание, желательно русским. Спешите бронировать заранее…",Dec-12-2022_23-09,"Fridge, stove, microwave, coffee maker, dishwasher, washing machine, water Heater, iron, hair dryer",Yard view,,Outdoor parking,https://list.am/en/item/18490442,6,Yes,Yes,By Agreement,By Agreement,"Television, air conditioner, internet, parking space"
Stone,Yes,Not available,5,72 sq.m.,3,1,from 2.8 m,2,Open balcony,,Cosmetic Renovation,"Grigor Lusavorich street, Vanadzor","120,000 ֏ monthly",AMD,The apartment is located on the 2nd floor of a 5-story building. The bedrooms are sunny. It has an open balcony. Water is permanent. It has all utilities (including heating system)Translated from Armenian,Dec-12-2022_23-09,,,,,https://list.am/en/item/18583810,4,Yes,No,Not included,By Agreement,
Panels,No,Available,9,64 sq.m.,2,1,from 2.8 m,3,Open balcony,Available,Euro Renovation,"Moskovyan street 64, Vanadzor","150,000 ֏ monthly",AMD,A 2-room apartment is for rent at 64 Moskovyan St.Translated from Armenian,Dec-12-2022_23-09,"Fridge, stove, washing machine, water Heater",Yard view,,,https://list.am/en/item/18601145,4,Yes,No,Not included,By Agreement,"Television, internet"
Stone,No,Not available,2,55 sq.m.,3,1,from 2.6 m,2,Open balcony,Available,Major Renovation,Lorri › Stepanavan,"15,000 ֏ daily",AMD,"Տրվում է օրավարձով բնակարան Ստեփանանավան քաղաքում, որը գտնվում Արջասարի ստորոտին, գեղատեսիլ բնության գրկում, սոճիների և եղևնիների շրջակայքում։Բնակարանը նոր վերանորոգված է, ապահովված կոմունալ բոլոր հարմարություններով, անհրաժեշտ պարագաներով։Նախատեսված է 4֊6 անձի առողջարանային և պասիվ հանգստի համար։ Մոտենում է փոշոտման շրջանը։ Վայելեք այն մեր հյուրընկալ, գողտրիկ տարածքում։Երկարաժամկետ ամրագրման դեպքում կգործի զեղչային համակարգ։Дата: 04.05.2022",Dec-12-2022_23-09,,,,,https://list.am/en/item/17747278,6,Yes,No,By Agreement,By Agreement,
Panels,No,Not available,9,80 sq.m.,3,1,from 2.8 m,6,Closed balcony,Available,Cosmetic Renovation,"Սանահին Սարահարթ թաղամաս 3/2, Ալավերդի","50,000 ֏ monthly",AMD,Сдаётся 3-х комнатная квартира в городе Алаверди - Санаин.Квартира в чистом состоянии.Есть все необходимые вещи для проживания.,Dec-12-2022_23-09,,,,,https://list.am/en/item/18367595,4,Yes,Yes,Not included,By Agreement,
Stone,No,Not available,5,65 sq.m.,2,1,from 2.8 m,1,Multiple balconies,Available,Cosmetic Renovation,Lorri › Vanadzor,"70,000 ֏ monthly",AMD,"A two-room apartment is for rent in a busy district for AMD 50,000 per monthTranslated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18580024,8+,Yes,Yes,Not included,1 month,
Bricks,Yes,Not available,4,120 sq.m.,3,1,from 2.8 m,4,Not available,,Designer Renovation,Lorri › Vanadzor,"250,000 ֏ monthly",AMD,"It is in perfect condition, ready to live, see the rest in the picturesTranslated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18459438,2,No,No,Not included,1 month,
Stone,No,Not available,5,100 sq.m.,4,1,from 2.75 m,5,Open balcony,,Major Renovation,"Grigor Lusavorich street, Vanadzor","250,000 ֏ monthly",AMD,"4 սենյականոց բնակարան Գրիգոր Լուսավորիչ փողոցում, 100 ք. Մ. , բարձր առաստաղներ, 5/5 հարկ, կապիտալ վերանորոգված։Առկա է լվացքի մեքենա, աման լվալու մեքենայով, սառնարանով, գազոջախ, էլեկտրական վառարան, միկռոալիքային վառարան, հեռուստացույց, բուխարի, 2 խոհանոց։4-комнатная квартира по улице Григора Лусаворича, 100 кв. М. , высокие потолки, 5/5 этаж, евроремонт. Есть стиральная машина, посудомоечная машина, холодильник, газовая плита, электроплита, микроволновая печь, телевизор, камин, 2 кухни.Translated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18424646,4,Yes,No,Not included,1 month,
Panels,No,Available,9,80 sq.m.,4,1,from 2.5 m,8,Open balcony,,Partial Renovation,"Moskovyan street, Vanadzor","120,000 ֏ monthly",AMD,For more information callTranslated from Armenian,Dec-12-2022_23-09,,,,,https://list.am/en/item/18467626,4,Yes,No,Not included,1 month,
Stone,No,Not available,4,78 sq.m.,3,1,from 2.75 m,1,Open balcony,,Partial Renovation,"Улица Газароса Агаяна 83, Ванадзор","85,000 ֏ monthly",AMD,"Сдается трёхкомнатная квартира. Квартира меблирована, имеется холодильник, стиральная машинка, газовая плита, система отопления и подогрева воды Baxi. Дополнительно оплачиваются коммунальные услуги (газ, свет, вода) по счётчикам. Нужен страховой депозит в размере месячной оплаты. Можно с питомцем.",Dec-12-2022_23-09,,,,,https://list.am/en/item/18429936,4,Yes,Yes,Not included,1 month,
Stone,No,Not available,1,75 sq.m.,3,1,from 2.8 m,1,Open balcony,,Euro Renovation,"Րաֆֆու փողոց 3, Ստեփանավան","50,000 ֏ monthly",AMD,Сдается 3 комнатная квартираВ доме есть техника и мебельЦена за месяц 50000драм,Dec-12-2022_23-09,,,,,https://list.am/en/item/18546972,5,Yes,Yes,Not included,1 month,
Stone,No,Not available,5,97 sq.m.,4,1,from 2.8 m,3,Not available,,Major Renovation,"Լոռու խճուղի, Վանաձոր","250,000 ֏ monthly",AMD,"There is property in the apartment, the apartment is located in the center of Vanadzor cityTranslated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/17998831,5,Yes,No,Not included,2 months,
Stone,No,Not available,5,80 sq.m.,3,1,from 3 m,3,Multiple balconies,,Cosmetic Renovation,"Tigran Mets Avenue, Vanadzor","150,000 ֏ monthly",AMD,"BRIGHT and WARM 3-room apartment for rent in the heart of Vanadzor, in the building of детский мир, close to the pedagogical university, the theater, the round department store, the market, etc.An open balcony, a large niche, that is, there can be 4 roomsTranslated from Armenian",Dec-12-2022_23-09,,,,,https://list.am/en/item/18220339,8+,Yes,Yes,Not included,By Agreement,
