Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Facilities,Appliances,Links,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities
Country House,Stone,85 sq.m.,2,2,1,Available,Not available,Cosmetic Renovation,300 sq.m.,Kotayk › Tsakhkadzor,"30,000 ֏ daily",AMD,"Գտնվում է Ծաղկաձորի կենտրոնում դպրոցի հարևանությամբ, մանրամասների համար զանգահարելНаходится в центре Цахкадзора рядом со школой, подробности по телефону",Dec-12-2022_21-28,,,,https://list.am/en/item/17466665,6,Yes,No,Included,By Agreement,
House,Stone,45 sq.m.,1,2,1,Available,Not available,Major Renovation,1000 sq.m.,Kotayk › Geghadir,"100,000 ֏ monthly",AMD,"The house is located in Geghadir village, the house is renovated, permanent water and sewage in the houseTranslated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/18437687,2,Yes,No,Not included,3 months,
Country House,Stone,2000 sq.m.,3,7,2,,,Partial Renovation,2000 sq.m.,"1-ին Ամառանոցային փողոց 10, Քարաշամբ",$800 monthly,USD,"The house is rented by the dayDacha (house) for daily rent in LusakertThe price starts from 60,000 to 120,000. Depending on the services provided (overnight accommodation, possibility to use billiards and tennis. We also provide shisha)The mansion has a rather large and spacious yard (2000 square meters)(It is 23 kilometers away from Yerevan)Swimming pool (permanently filtered and clean)I can provide 8-12 sleeping places for overnight stay (7 bedrooms, living room, the rooms are spacious and comfortable)The mansion is very suitable for making your evenings and gatherings unforgettable and beautiful.Trust us and we will ensure the high mood of you and your relatives.I will send the rest of the photosTranslated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/16558318,,,,,,
Country House,Stone,600 sq.m.,3,6,3+,Available,1 spot,Major Renovation,600 sq.m.,"2-րդ շարք 28, Ձորաղբյուր","$2,000 monthly",USD,"A summer house / house is for rent in Dzoraghbyur. The summer house is capitally renovated. There is a swimming pool, a garden with fruit trees, where there is a pavilion (besetka), a barbecue fireplace. There is a billiard table on the ground floor. Constant hot-cold water, central heating. It is possible for $ 300 per day.Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/17729840,6,Yes,No,By Agreement,By Agreement,
House,Stone,160 sq.m.,1,1,2,,,Designer Renovation,800 sq.m.,"Улица Керу 10, Дзорахбюр","60,000 ֏ daily",AMD,"Summer house for daily rent for vacations and events for up to 30 peopleProvided without overnight stayThere is a furnished kitchen in the yardHot and cold constant water,RefrigeratorSieveTonePavilions1 recreation roomThe bathrooms are tiledDressing roomSwimming pool with high quality filtration systemBook in advanceThe price is different on Saturdays and SundaysDacha for daily rent, country house in Dzoraghbyur, private house for daily rentCheck-in at 10:00, check-out at 23:00Call in case of questionsЧастный дом ранде Посуточно дача, дача in Dzorakhpyure, частный дом псуточноCheck-in 10:00 Check-out 23:00 Price for another night.Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/17961902,,,,,,
Country House,Monolith,250 sq.m.,3,5,3+,Available,3 or more spots,Designer Renovation,400 sq.m.,"Այգեգործների փողոց, Նուռնուս","70,000 ֏ daily",AMD,It is given in a private house in Nurnus. Wonderful view to the gorge. Designed for all occasions for 20-30 people with all its sound and light effects.Translated from Armenian,Dec-12-2022_21-28,,,,https://list.am/en/item/17962811,8+,Yes,Yes,Included,By Agreement,
House,Stone,300 sq.m.,2,4,2,,,Major Renovation,200 sq.m.,"1-ին փողոց 154/1, Զովունի","1,000,000 ֏ monthly",AMD,"2-storey private house for rent with all utilities, urgent negotiation with 1 month depositTranslated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/18400039,2,No,Yes,Not included,1 month,
House,Stone,120 sq.m.,2,2,2,Available,Not available,Designer Renovation,400 sq.m.,"Vladimir Harutyunyan Street 18, Tsaghkadzor","55,000 ֏ daily",AMD,"Persona 1:A beautiful two-story cottage in Tsaghkadzor. The cottage has quality renovation and modern design. Appliances and furniture as pictured. Here you will have a special holiday. The cottage has 2 bedrooms, 2 bathrooms, a full kitchen with all necessary appliances and a spacious living room.Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/18497998,4,Yes,No,By Agreement,By Agreement,
House,Stone,100 sq.m.,1,4,2,Available,1 spot,Euro Renovation,500 sq.m.,"Տիգրան Պետրոսյան փողոց, Ձորաղբյուր","$1,300 monthly",USD,"Տրվում է վարձակալության 1 հարկանի բնակել առանձնատուն Առինջ համայնքում ։Առանձնատունը կապիտալ վերանորոգված է։Տրվում է վարձակալության ողջ գույքի և տեխնիկայի հետ միասին երկարաժամկետ։Ամբողջ տարածքը պարսպապատ է, բակում ունի ամառային խոհանոց, թոնիր, մանղալ, ավտոտնակ և լողավազան ։Сдается 1-этажный особняк в Ариндже. Частный дом полностью отремонтирован. Сдается на длительный срок со всем имуществом и техникой. Вся территория огорожена, во дворе есть бассейн. Есть системы отопления и охлаждения, гараж, высокоскоростной доступ в Интернет.Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/17552209,6,Yes,No,Not included,1 month,
House,Stone,290 sq.m.,3,7,3+,Available,1 spot,Euro Renovation,550 sq.m.,"Tandzaghbyur street, Border Tsakhkadzor","1,200,000 ֏ monthly",AMD,"A newly built, renovated and furnished cottage is for long-term lease in Tsaghkadzor ""Marriott"" hotel complex (Tandaghbyuri 4/9)The cottage has two floors and an attic. Living space: 290 square meters, plot: 550 square meters. It has a yard: 50 square meters, patio: 20 square meters, 5 bedrooms, 5 bathrooms, living room, kitchen, garage, laundry room, balconies, wifi.A beautiful view of the Kecharis monastery complex.Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/18554317,8+,Yes,No,Not included,1 month,
Country House,Stone,280 sq.m.,3,5,2,Available,3 or more spots,Designer Renovation,800 sq.m.,Kotayk › Argel,"600,000 ֏ monthly",AMD,"Сдаётся 3 этажная (5 + комнаты) дача в Лусакерте в долгосрочную/краткосрочную аренду.Общая площадь дачного участка 1200 кв. М. , площадь дома - 280 кв. М.В доме 9 спальных мест, гаражное место (3 машины), налажены коммуникации, 1туалет и 1ванная комната и туалет, хороший интернет, 3-ий этаж с панорамой, большой балкон с видом на реку.На территории есть беседка, мангальная зона, разнообразные плодовитые деревья.Идеальное место для уединения и отдыха.Стоимость - в долгосрочную 600.000 драмов в месяц; суточно -100.000.",Dec-12-2022_21-28,,,"Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18598571,8+,Yes,Negotiable,Not included,2 months,"Television, internet, fireplace, barbecue oven, alarm system"
House,Stone,350 sq.m.,3,5,2,,,Major Renovation,500 sq.m.,Kotayk › Dzoraghbyur,"1,300,000 ֏ monthly",AMD,"A three-storey detached house for rent in Dzoraghbyur, fully renovated and furnished, has 3 bedrooms, a large game room, a spacious and beautiful garden.Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/18454291,8+,Yes,No,Not included,By Agreement,
House,Stone,150 sq.m.,2,5,2,Available,2 spots,Designer Renovation,1800 sq.m.,Kotayk › Ptghni,"$2,000 monthly",USD,"A designer-style renovated, fully furnished and equipped with necessary appliances, completely uninhabited two-story (2nd floor is closed) private house in Ptghni is for rent. The house is connected to all necessary utilities and is heated. The mansion also has a beautiful yard and a well-kept garden with fruit trees. There is also a summer kitchen/cabin for organizing pleasant entertainment and rest in the area, the road to the private house is completely asphalted and has night ``LED'' lighting.Translated from Armenian",Dec-12-2022_21-28,,,"Fridge, stove, microwave, coffee maker, dishwasher, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18524948,6,Yes,No,Not included,1 month,"Television, internet, swimming pool, fireplace, gazebo"
House,Stone,350 sq.m.,3,5,3+,,,Major Renovation,1100 sq.m.,Kotayk › Jrvezh,"$2,000 monthly",USD,"Երկարատեւ վարձակալությամբ է տրվում 3 հարկանի առանձնատուն Ջրվեժ համայնքի ամառանոցային թաղամասում։ Առանձնատունը գտնվում է 10 րոպե հեռավորության վրա Երեւանի կենտրոնից։ Ընդհանուր մակերեսը 1100 քմ, շինությունը՝ 350քմ: Առանձնատունը կապիտալ վերանորոգված է, առկա են տաք եւ սառը ջուր, գազ, ջեռուցման համակարգ։ Ունի 5 ննջասենյակ, հյուրասենյակ, 3 լոգարան, պատշգամբ, սպորտի սենյակ, ավտոտնակ, խորդանոց, լողավազան, 15 + պտղատու ծառեր եւ այլն։ Գինը պայմանագրային։Сдается в долгосрочную аренду 3-х этажный частный дом в дачном поселке Джрвеж. Дом расположен в 10 минутах от центра Еревана. Общая площадь 1100 квадратных метров, площадь здания 350 квадратных метров. Дом полностью отремонтирован, есть горячая и холодная вода, газ, автономное отопление. Он имеет 5 спален, гостиную, 3 ванные комнаты, балкон, спортивный зал, гараж, кладовую, бассейн, более 15 фруктовых деревьев и т. Д. Цена договорная.",Dec-12-2022_21-28,,,,https://list.am/en/item/17684143,8+,Yes,Yes,Not included,By Agreement,
House,Stone,1200 sq.m.,2,3,2,,,Designer Renovation,,Kotayk › Argel,"79,900 ֏ daily",AMD,"A summer house with all amenities is for daily rent for various events and pleasant entertainment. It has a sauna, a large heated indoor pool, a large garden, a summer house, a barbecueThe summer house is located in Argel, Lusakert, 25 km away from Yerevan.Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/17948954,,,,,,
House,Stone,500 sq.m.,3,6,3+,Available,3 or more spots,Major Renovation,1350 sq.m.,Kotayk › Arinj,"$6,000 monthly",USD,"Сдается в аренду шикарный дом.В доме есть 5 спальных комнат, в каждой спальной комнате есть свой отдельный санузел.На кухне есть посудомойка, два холодильника, две стиральные машины, а также есть отдельная прачечная комната.Для досуга есть бильярдный стол, настольный теннис, домашний кинотеатр и тренажерный зал.Есть красивый закрытый бассейн с сауной.Во дворе растут плодотворные деревья, есть гамак, качели, мангал и летняя кухня рассчитанная до двадцать человек.Есть гараж на две машины. Ворота дома автоматически распашные.По вопросам звонить по указанному номеру!",Dec-12-2022_21-28,,,,https://list.am/en/item/18559823,8+,Yes,Yes,Not included,2 months,
House,Stone,240 sq.m.,2,5,2,Available,3 or more spots,Major Renovation,400 sq.m.,"Zovuni 4 Street, Zovuni","$2,000 monthly",USD,"Сдается в аренду двухэтажный частный дом в Зовуни со всеми коммунальными удобствами, площадь 240 кв. М, 120/120. На первом этаже находятся 3 спальни, гостиная, санузел, кухня, на втором этаже – комната для отдыха и развлечений площадью 110 кв. М и санузел. Имеется двор площадью 400 кв. М и бассейн.",Dec-12-2022_21-28,,,,https://list.am/en/item/18506595,8+,Yes,No,By Agreement,2 months,
Country House,Stone,100 sq.m.,2,5,1,Available,1 spot,Major Renovation,500 sq.m.,Kotayk › Jrvezh,"35,000 ֏ daily",AMD,"A beautiful country house in Jrvezh is for daily rent. There is a large swimming pool, a spacious pavilion, barbecue and necessary accessories. The house is completely renovated. It is provided with constant water and gas. The yard is landscaped. It is suitable for organizing family vacations and various events. The price is subject to change depending on the number of people.Code BD000608Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/18293748,8+,Yes,Yes,Not included,By Agreement,
House,Stone,200 sq.m.,2,4,2,,,Major Renovation,600 sq.m.,"Այգեգործական 5-րդ փողոց 12, Ջրվեժ","1,200,000 ֏ monthly",AMD,"The house is for rent, preferably long-term. Furniture is delivered with appliances. It has a beautiful garden, fruit trees, a pavilion. The first floor consists of a hall, kitchen and 5 bedrooms. The house has 2 bathrooms.Code v-0089Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/17800475,8+,Yes,Yes,Not included,By Agreement,
Country House,Stone,800 sq.m.,2,3,3+,,,Designer Renovation,1500 sq.m.,"Jrvezh 2-nd street 1st deadlock, Jrvej","130,000 ֏ daily",AMD,"Вилла в Ярвеже.Он расположен рядом с Национальным парком.Дом посуточно.С ночлегом и без.Бассейн,камин,Крытый павильонзеленый сад,Гараж.На вилле есть большая гостиная,3 спальни,3 ванные комнаты,кухня.Мы предоставляем крутой клуб, где можно танцевать, устраивать игры и веселиться.Вилла доступна с 1:00 до 11:00 следующего дня.",Dec-12-2022_21-28,,,,https://list.am/en/item/18316262,,,,,,
House,Stone,1000 sq.m.,1,1,1,Available,3 or more spots,Designer Renovation,1000 sq.m.,"Mashtots Street, Aring","60,000 ֏ daily",AMD,"Spend all your occasions in this beautiful private house in Arinj. For details and to call, call the mentioned number.Swimming pool with filtration systemRefrigeratorBarbecueMusic:BarbecuePavilionRest roomTranslated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/14344741,8+,Yes,No,By Agreement,By Agreement,
Country House,Stone,1000 sq.m.,1,4,2,By agreement,3 or more spots,Major Renovation,1000 sq.m.,"Verin Ptghni Մ-4, Yerevan","60,000 ֏ daily",AMD,"Do not write mail, just call or write on viber or octopus.View all our announcements and you will find and bookAll the options that interest you. Houses and Elite newly built apartments for high-class guests. Choose, book and hold your events and rest in this beautiful private house.For rent to responsible guests. Private house for daily rent in PtghniSwimming poolRefrigeratorBarbecueRest roomChildren's slideTablewareHall:TV:Music:Outside սի inside pavilionTranslated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/14844317,8+,Yes,Yes,By Agreement,By Agreement,
House,Stone,140 sq.m.,2,5,2,Available,3 or more spots,Major Renovation,700 sq.m.,Kotayk › Garni,"$1,500 daily",USD,Сдается двухэтажный дом на длительный срок в Гарни.Все удобства есть.Новый ремонт.Горячая и холодная вода. Для 10-12 человек.10 мин от храма.Не брокер!Translated from Armenian,Dec-12-2022_21-28,,,,https://list.am/en/item/18029704,8+,Yes,Yes,Not included,By Agreement,
House,Stone,600 sq.m.,2,5,3+,Available,2 spots,Designer Renovation,600 sq.m.,"Ulitsa Kazaryana 5, Նոր Գեղի","140,000 ֏ daily",AMD,"Գեղեցիկ առանձնատուն այգիով։ Ամբողջովին կահավորված, մշտական տաք և սառը ջրով, Wi-Fi ինտերնետով, խոհանոցային և անկողնային բոլոր պարագաներով։ Այգում կա ամառային խոհանոց և բուխարի։ Բակում 2 մեքենայի համար նախատեսված կայանատեղ։ Բակում կա բաց լողավազան։Сдается в аренду собственный дом со всеми коммунальными условиями, Открытый бассейн, Летняя кухня, красивый двор удобства для барбекью бесплатный вайфай парковка для машинThis luxury Villa with outdoor swimming pool (with filtering system) The house is surrounded by a beautiful garden, on the territory there is a large summer sitting place made of wood, with a barbeque/Barbeque placeA big summer sitting place/Large balconyFree Wi-Fi/Parking for carViber and WhatsApp/Telegram/Villa/Swimming pool/Օրավարձով առանձնատուն լողավազանով///",Dec-12-2022_21-28,,,,https://list.am/en/item/18170730,6,Yes,No,Included,By Agreement,
House,Stone,380 sq.m.,2,7,3+,Available,3 or more spots,Major Renovation,750 sq.m.,"Verin Ptghni Մ-4, Yerevan","$2,500 monthly",USD,6 ննջասենյակ1 ճաշասենյակԳեղեցիկ այգիԿապիտալ վերանորոգվածԳտնվում է Հրապարակից 13 կմ հեռավորության վրաԱվտոկայանատեղիՄասիս սարի տեսարանովСдаётся в аренду ВиллаСлучае аренды на шесть месяцев и болееДом полностью будет Меблирован!6 спален1 столоваяКрасивый садКапитальный ремонтНаходится в 13 км от Площади РеспубликиПарковка для машинС видом на гору АраратДля Более подробной информации звоните по указанному номеру!,Dec-12-2022_21-28,,,,https://list.am/en/item/17453495,8+,Yes,No,Not included,By Agreement,
House,Stone,300 sq.m.,2,3,2,Available,3 or more spots,Major Renovation,600 sq.m.,"Dzoraghbyur 1-st block, Dzoraxbyur",$250 daily,USD,"Օրավարձով, նաև գիշերակացով, տրվում է նորակառույց երկհարկանի առանձնատուն Ձորաղբյուրում։ Տունը շատ հարմար է հանգիստը լիարժեք կազմակերպելու համար՝ խնջույքների, հավաքույթների։ Առանձնատունը ապահովված է կոմունալ, կենցաղային բոլոր հարմարություններով։ Բարեկարգ բակ, կանաչապատ այգի, տաղավար, մանղալ, 4 ավտոմեքենայի համար նախատեսված կայանատեղի։Տան 1-ին հարկում առկա է փակ, տաքացվող, ֆիլտրվող լողավազան, սաունա, սանհանգույց / զուգարան, հանդերձարան։2-րդ հարկում առկա է 2 ննջասենյակ, մեծ հյուրասենյակ, խոլ, խոհանոց, սանհանգույց։Առանձնատունը հանձնվում է նաև երկարաժանկետ։ Մանրամասները հեռախոսով։",Dec-12-2022_21-28,,,,https://list.am/en/item/17438193,8+,Yes,No,Not included,By Agreement,
Townhouse,Stone,200 sq.m.,3,4,1,,2 spots,Cosmetic Renovation,200 sq.m.,Kotayk › Ptghni,"350,000 ֏ monthly",AMD,Сдается в аренду особняк 2 этажа с мебелью. Находится в 1-м километре от Еревана.Климат мягкий ровный с Ереванским.Есть бассейн и наружный каминь для летних трапезы (в гостиной также имеется действующий каминь)Сдается Долгосрочно также.Фотки и Все вопросы по указанному телефону,Dec-12-2022_21-28,,,,https://list.am/en/item/18585442,4,Yes,Yes,Not included,2 months,
Country House,Monolith,1000 sq.m.,2,6,3+,,3 or more spots,Designer Renovation,3000 sq.m.,Kotayk › Jrvezh,"130,000 ֏ daily",AMD,"A villa in Jrvezh is for daily rent.* Swimming pool (filterable)* 4 bathrooms (on the 1st floor, 1 in the bedroom, 1 for 4 bedrooms and outside)* Booth hunting (closed and open up to 25 persons)* Crockery (high quality)* 5 bedrooms (one with fireplace)* hunting style living room (with fireplace)* kamen (wood for kamen and barbecue)Check in (entrance) – 13:00Check out - 11:00The price shown is without overnight stay.From Friday to Sunday, the price may be different.Call in advance to book.Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/18400358,8+,Yes,No,Included,By Agreement,
House,Stone,230 sq.m.,2,5,3+,,2 spots,Major Renovation,1500 sq.m.,"Kentronakan street, Akunk","300,000 ֏ monthly",AMD,"Two-storey private house for rentThe house is equipped with all utilities, there are 4 bedrooms, a kitchen.Equipped with property and equipment1500 square meters of land250 square meters residentialGarageWI-FI + TVdishesboothgrillTranslated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/17699783,7,Yes,Yes,Not included,2 months,
House,Stone,670 sq.m.,4+,8+,3+,,1 spot,Major Renovation,1000 sq.m.,Kotayk › Dzoraghbyur,"$5,000 monthly",USD,"4-storey luxurious and beautiful private house is for rent in Dzoraghbyur.Land area - 1000 square metersThe area of the building is 670 square meters.It consists of the 1st, semi-basement floorGarage for 2 cars,spare part,the game hall,sauna with lobby,Indoor poolThe 2nd floor consists of:Large lobbyspacious kitchendining roombathroomopen balconyThe 3rd floor consists of:4 bedrooms (3 of which have separate bathrooms and dressing rooms)officebathroom2 spacious open balconies2 French balconiesThe 4th floor is a mansard floor, it consists of:Entrance hall2 bedroomsbathroomThe house has a green garden with fruit and decorative trees, a spacious outdoor filtered swimming pool, a chat room with its own barbecue.The house is fenced, fire and security systems are installed.It has a boiler house and its own water line.For sale together with all the furniture and equipment.Code 17505545Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/17505545,8+,Yes,Yes,Not included,1 month,
House,Stone,45 sq.m.,4+,4,1,,Not available,Major Renovation,,Kotayk › Kasagh,"200,000 ֏ monthly",AMD,The entire property remains completely renovated insideTranslated from Armenian,Dec-12-2022_21-28,,,,https://list.am/en/item/18164818,3,No,No,Not included,1 month,
House,Stone,150 sq.m.,2,4,1,,2 spots,Major Renovation,3000 sq.m.,Kotayk › Arzni,"450,000 ֏ monthly",AMD,"Տրվում է վարձով երկու հարկանի սեփական տուն հողատարածքով՝ երկարաժամկետ պայմաններով։ Տունն ունի նաև առանձին նկուղային հարկ և 2 ավտոկայանատեղի։ Քաղաքի կենտրոնից մոտ 20-25րոպե՝ մեքենայով։ Տան մոտակայքում կա նաև ավտոբուսի կանգառ։ Վարձատուն սեփականատերն է։Տունը ներառում է ՝150 ք. Մ. Տարածք3 ննջասենյակ, 1 հյուրասենյակ, 1 խոհանոց, 1 սանհանգույց,տաք և սառ ջուր,ջեռուցման համակարգը՝ գազ,Internetանվտանգության տեսախցիկներՀողատարածքը ներառում է՝3000 ք. Մ. Տարածք150 բերքատու ծառ, որոնցից կարելի է օգտվելամառային բեսետկահանգստի սենյակլողավազանդաշտ՝ մինի ֆուտբոլի, բասկետբոլի, վոլեյբոլի համարսեղանի թենիսանվտանգության տեսախցիկներ***Сдается двухэтажный дом с участком земли на длительный срок. В доме также есть отдельный подвал и 2 парковочных места. Около 20-25 минут от центра города на машине. Также рядом с домом находится автобусная остановка. Арендодатель является собственником.Дом включает в себя:150 кв. М. Область3 спальни, 1 гостиная, 1 кухня, 1 ванная комната,горячая и холодная вода,газовая система отопления,Интернеткамеры наблюденияЗемля включает в себя:3000 кв. М. Область150 продуктивных деревьев для использованиялетняя бесеткакомната отдыхабассейнполе для мини-футбола, баскетбола, волейболаПинг-понгкамеры наблюдения",Dec-12-2022_21-28,,,,https://list.am/en/item/18548953,6,Yes,Yes,Not included,1 month,
Townhouse,Stone,380 sq.m.,2,5,2,,3 or more spots,Euro Renovation,1200 sq.m.,Kotayk › Abovian,$600 daily,USD,"Сдаю роскошный коттедж с видом на природу. Очень уютная и комфортая зона отдыха. Можно хорошо провести с семьёй и компанией. Можете громко слушать музыку по скольку на территории дом ограждён и по близости нет вредных соседей) Из крана идёт чистая, горная вода. Для незабываемого отдыха очень хороший выбор.",Dec-12-2022_21-28,,,,https://list.am/en/item/18541751,8+,Yes,Yes,Included,By Agreement,
House,Stone,320 sq.m.,3,5,3+,,1 spot,Major Renovation,1300 sq.m.,"1-ին փողոց 20, Պտղնի","$2,000 monthly",USD,"It has a wonderful yard, a beautiful view11 km away from Republic SquareCall for other questionsTranslated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/18412770,6,Yes,Yes,By Agreement,2 months,
House,Bricks,90 sq.m.,1,3,1,,1 spot,Euro Renovation,500 sq.m.,Kotayk › Tsakhkadzor,"400,000 ֏ monthly",AMD,"Сдаётся в аренду дом в городе Цахкадзор.*Просторный двор.*Парковка.*Цветочный сад.*Фруктовый сад.*Огород.*Мангал с отдельным местом.*Горячая и холодная вода.*Бакси и система отопления.*Все необходимые кухонные приборы.При необходимости добавим кровати одноместные или двухместные.Одним словом, дом для полноценного отдыха. При желании, есть гид с собственной машиной.Վարձով է տրվում տուն` Ծաղկաձորում։*Ընդարձակ բակ*Ավտոկայանատեղի* Ծաղկանոց*Պտղատու այգի*Բանջարանոց*Խորովածանոց` ԱռանձնացվածՀավաքատեղիով* Տաք և սառը ջուր*Բաքսի ջեռուցման համակարգ* Խոհանոցի բոլոր պարագաներով*Հարկ եղած դեպքում մահճակալների ավելացում ` Երկտեղանի կամ միտեղանիՄի խոսքով, տուն` Հանգիստը լիարժեք վայելելու համար.Ցանկության դեպքում հասանելի գիդ իր սեփական մեքենայով.",Dec-12-2022_21-28,,,,https://list.am/en/item/18577882,8+,Yes,Yes,Included,1 month,
House,Stone,120 sq.m.,2,4,2,,Not available,Cosmetic Renovation,700 sq.m.,"Улица Ованнеса Туманяна 1, Касах","180,000 ֏ monthly",AMD,"Сдается первый этаж в двуэтажном доме. Дом теплый. На этаже есть кухня, а так же отдельные спальная и ванная комнаты. Большой участок со своим огородом и беседкой. Второй этаж не заселен.Тихий район, находится недалеко от центра Еревана.Звоните, все подробности по телефону",Dec-12-2022_21-28,,,,https://list.am/en/item/18576988,4,Yes,No,Not included,2 weeks,
House,Stone,400 sq.m.,3,4,2,,3 or more spots,Major Renovation,3000 sq.m.,"Zoravar Andranik street, Yerevan","$3,000 monthly",USD,"Տրվում է վարձակալության 4 սենյականոց առանձնատուն Պտղնիում: Առկա են կոմունալ բոլոր հարմարությունները:Сдается трёхэтажный особняк в 20 минутах езды от центра Еревана (срок аренды от 6 месяцев) В доме созданы все необходимые условия для комфортного проживания и работы (для небольших IT-компаний и групп специалистов иной деятельности) Каждый этаж 120 кв. М. Возможность размещения до 12 человек. Можно с питомцами (рассматривается возможность создать условия содержания)К Вашим услугам просторная, уютная гостиная с камином, биллиардная, четыре спальни, паркинг, гараж, сауна, бассейн, оборудованная шашлычная зона, терраса, сад с плодовыми деревьями (3000 м), wi-fi, бытовая техника, полный комплект посуды, постельные принадлежности. Собственная система отопления. Из окон и балконов комнат открывается прекрасный вид. По Вашему желанию может приходить женщина для уборки дома и приготовления вкусных армянских (и не только) блюд.Крытая терраса от дождя и солнца, где можно покушать или скоротать вечерок в непринужденной обстановке, наслаждаясь живописным видом и свежим воздухом.Капитальный ремонтТрёхэтажный каменный дом в Птгни, 400 кв. М. , 2 ванные, большой участок, капитальный ремонтКотайк ПтгниԿոդ 019348",Dec-12-2022_21-28,,,,https://list.am/en/item/17547860,6,Yes,No,Not included,1 month,
Country House,Stone,250 sq.m.,3,3,2,,,Euro Renovation,,Kotayk › Tsakhkadzor,"39,000 ֏ daily",AMD,"In case of renting for 2 days, 35000 AMD.On March 8, 50,000 drams.A three-storey luxurious private house is for daily rent, with a unique, different fireplace, elegant interior.Outside there is a barbecue with all its amenities, a large pavilion (besedka for 10-12 people), a beautiful open balcony, a garage.The villa has 2 bedrooms. It is provided for 7-9 people.Vacation in Tsakhkadzor, hotel in Tsakhkadzor.Caxkadzor, caxkadzor,Quiet, private house, house.Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/17060696,,,,,,
House,Stone,60 sq.m.,2,2,2,,Not available,Major Renovation,20 sq.m.,"Հատիս փողոց, Աբովյան","20,000 ֏ daily",AMD,"The house has all amenities, it is furnished, there is a Bucks system, a washing machine, a refrigerator, the bedroom has a balcony.To make a reservation, call the indicated phone number.Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/18212319,3,Yes,No,Included,By Agreement,
House,Stone,250 sq.m.,2,5,3+,,3 or more spots,Designer Renovation,2500 sq.m.,Kotayk › Ptghni,"1,700,000 ֏ monthly",AMD,"Роскошный частный дом площадью 2500 кв. М сдается на длительный срок по очень доступной цене. Всего в 6 километрах от Еревана (Птгни), недалеко от города, но вдали от городского шума. Особняк имеет уникальный стиль. Он имеет красивый сад с различными экзотическими растениями, интересным ночным освещением и развлекательными павильонами. Он имеет прекрасный вид на горы. В доме 5 спален, 3 ванные комнаты, 2 балкона и просторная гостиная с кухней. Предназначен для 15 человек.Оснащена всевозможной современной техникой (smart телевизор, стиральная машина, кондиционеры в каждой комнате, система отопления)Для получения дополнительной информации позвоните.—Անհամեմատ մատչելի գնառաջարկով երկարաժամկետ վարձակալության է տրվում շքեղ առանձնատուն 2500քմ. ՝ Երեւանից ընդամենը 6 կիլոմետր հեռավորության վրա (Պտղնիում) ՝ քաղաքին մոտ, սակայն քաղաքային աղմուկից հեռու։ Առանձնատունը ունի յուրահատուկ ոճ: Ունի գեղեցիկ այգի՝ հագեցած տարբեր տեսակի էկզոտիկ բույսերով, գիշերային հետաքրքիր լուսավորությամբ, ժամանցի տաղավարներով: Ունի գեղեցիկ տեսարան դեպի լեռներ: Առանձնատունը ունի 5 ննջասենյակ, 3 սանհանգույց, 2 պատշգամբ և ընդարձակ հյուրասենյակ խոհանոցի հետ միասին։ ՆախատեսվածԷ մինչև 15 հոգու համար:Հագեցած է ամեն տեսակի ժամանակակից տեխնիկայով (սմարթ հեռուստացույց, լվացքի մեքենա, օդորակիչներ ամեն սենյակում, ջեռուցման համակարգ) :Մանրամասների համար զանգահարել։",Dec-12-2022_21-28,,,,https://list.am/en/item/18527993,8+,Yes,No,By Agreement,1 month,
House,Stone,101 sq.m.,1,4,3+,,,Major Renovation,1500 sq.m.,"Ազատության փողոց 78, Ձորաղբյուր","650,000 ֏ monthly",AMD,"One-story stone house for rent in Dzoraghbyur village. The house is fully renovated, has 3 bedrooms, a living room, is furnished and has central heating.Translated from Armenian",Dec-12-2022_21-28,,,,https://list.am/en/item/18527084,5,Yes,Yes,Not included,1 month,
